#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
CH.CERN.N20	AF.MOD.GOV.AF	?B	352.107	198.454	122.999	130.913	109.120	266.269	17.061	14.450	192.035	265.750	.	.	.	168.639	188.301	240.165	.	.	.	.	901.599	.	52.268	64.217	63.899	122.915	72.014	48.383	64.810	105.736	76.330	303.453	389.330	57.663	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	www.mod.gov.af	AF	South_Asia
CH.CERN.N20	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	333.575	376.339	186.997	242.934	246.884	467.591	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	www.multinet.af	AF	South_Asia
CH.CERN.N20	AL.ALBANIAONLINE.NET.N1	?B	814.826	1148.212	1531.658	6633.980	2931.102	2777.957	6580.026	6715.656	3863.135	4520.224	.	.	.	5967.548	6046.472	5940.760	.	6305.894	3415.967	3829.300	4999.105	3426.260	1850.932	1623.149	1779.879	1638.233	1689.800	1574.573	1586.885	1364.290	1251.439	1839.520	1102.915	863.891	964.574	.	1259.166	1229.658	1301.690	1415.249	1141.107	1117.895	1137.620	1075.440	1262.261	1017.038	.	.	.	.	.	.	.	3534.914	2555.480	3943.548	1434.771	1970.154	10995.590	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	aol1.albaniaonline.net	NET	Balkans
CH.CERN.N20	AM.SCI.N1	?B	.	668.582	776.215	931.070	1084.011	803.761	1114.368	842.205	1100.483	617.573	.	.	.	4068.992	3203.647	2893.219	.	2287.276	2995.533	3028.881	6697.510	3770.644	2646.799	3844.539	1907.322	3366.752	1841.123	2590.336	3817.800	2037.801	1811.436	1681.906	1987.298	2546.528	2257.567	.	3133.997	4256.070	2233.005	1640.473	2670.210	.	.	888.908	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	108.707	71.852	40.220	77.658	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	www.sci.am	AM	Central_Asia
CH.CERN.N20	AU.AARNET.ADELAIDE.N1	?B	1481.958	1453.820	1240.108	1550.697	1335.494	1364.388	1385.165	1382.642	1611.333	1605.764	.	.	.	1672.805	1690.449	1640.775	.	966.418	1675.042	1634.594	1661.961	1674.458	1648.682	1625.955	1586.887	1519.338	1560.802	1581.279	731.814	1588.573	1675.363	1633.694	1624.402	1643.306	1282.911	.	1836.330	1783.278	1745.638	1749.577	1720.509	1768.374	1786.510	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	adl-a-ext1.aarnet.net.au	AU	Oceania
CH.CERN.N20	AU.AARNET.BRISBANE.NET	?B	1515.366	1488.750	1171.726	1496.882	1404.179	1391.204	1414.632	1392.364	1537.125	1536.866	.	.	.	1592.827	1608.849	1563.921	.	884.010	1587.280	1550.198	1575.769	1587.012	1566.438	1556.414	1519.865	1457.736	1495.761	1513.938	1483.619	1520.750	1599.677	1571.384	999.339	1571.134	1194.171	.	1642.144	1602.654	1571.991	1575.352	1559.920	1590.578	1605.521	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	bne-a-ext1.aarnet.net.au	AU	Oceania
CH.CERN.N20	AU.AARNET.CANBERRA.NET	?B	1559.118	1530.711	1134.140	1563.521	1383.885	1435.292	1265.967	1469.036	1616.331	1614.277	.	.	.	1677.991	1695.561	1645.274	.	1043.458	1675.704	1634.670	1662.631	1674.968	1648.867	1626.873	1528.773	1520.365	1561.664	1581.181	782.060	1588.772	1675.018	1641.087	1623.817	1642.896	1301.275	.	1732.186	1685.369	1651.306	1654.772	1646.639	1671.695	1688.123	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	cbr-a-ext1.aarnet.net.au	AU	Oceania
CH.CERN.N20	AU.AARNET.HOBART.N2	?B	1475.483	1447.981	1111.122	1498.869	1213.475	1358.674	1378.880	1366.655	1559.740	1556.255	.	.	.	1616.906	1631.898	1579.664	.	963.198	1607.050	1573.929	1599.433	1610.936	1586.897	1563.793	1453.122	1464.920	1503.468	1521.533	1490.326	1522.458	968.113	1547.168	1535.066	1565.499	1002.812	.	1681.044	1640.691	1618.633	1588.199	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	hba-a-pm1.aarnet.net.au	AU	Oceania
CH.CERN.N20	AU.AARNET.PERTH.NET	?B	1689.583	1655.074	1118.153	1578.420	1404.390	1273.750	1291.551	1071.737	1611.964	2086.031	.	.	.	2132.285	2142.095	2127.621	.	2139.135	2134.519	2132.340	2148.101	2131.571	1474.992	1985.521	2066.327	1949.285	1953.317	1952.121	945.667	1860.639	2069.028	1939.458	1988.692	1948.851	1785.058	.	1942.467	1942.876	1900.290	1894.687	1838.762	1920.036	1945.529	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	per-a-ext1.aarnet.net.au	AU	Oceania
CH.CERN.N20	BA.UTIC.NET.N1	?B	12658.373	12114.280	12190.709	10391.033	12484.416	4815.801	2616.851	2666.052	2581.049	2646.347	.	.	.	2571.259	2909.587	2776.112	.	2545.899	2877.518	4154.907	2633.147	3928.034	2627.940	3802.505	3212.512	3389.055	2803.304	1213.129	1638.341	3079.437	2922.905	3365.664	10766.463	12246.524	12077.051	.	9106.861	11308.755	7945.078	4605.113	6790.999	8815.630	1015.284	1669.596	5094.587	7801.863	.	.	.	.	.	.	.	1475.420	1767.287	1545.695	2531.865	4532.460	5857.955	4457.621	6327.327	4743.581	2246.068	2965.117	1677.861	1725.585	2495.369	2453.410	4118.553	3752.084	2969.084	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cern.ch	CH	Europe	linhost2.utic.net.ba	BA	Balkans
