#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
DZ.ARN.N3	AF.MOD.GOV.AF	?B	293.732	80.149	53.818	.	.	.	.	.	.	.	.	.	.	.	72.925	43.987	39.873	.	.	.	852.469	.	47.664	76.601	126.303	128.675	106.054	89.507	130.024	120.510	61.147	174.919	147.471	46.381	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	www.mod.gov.af	AF	South_Asia
DZ.ARN.N3	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	353.635	246.949	112.734	181.066	180.243	217.348	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	www.multinet.af	AF	South_Asia
DZ.ARN.N3	AL.ALBANIAONLINE.NET.N1	?B	603.367	919.931	615.704	.	.	.	.	.	.	.	.	.	.	.	412.781	196.421	263.408	127.434	54.951	1631.573	2421.189	2417.805	2546.845	1568.441	1425.888	1078.885	1173.692	1076.109	357.790	1416.036	1017.505	858.830	616.673	33.715	169.581	.	1418.943	1079.731	1352.333	912.697	538.497	553.296	503.788	598.695	646.165	748.407	678.833	1246.164	2179.211	3184.803	647.595	1161.746	533.702	433.903	606.825	592.675	588.305	959.835	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	aol1.albaniaonline.net	NET	Balkans
DZ.ARN.N3	AM.SCI.N1	?B	.	775.335	266.417	.	.	.	.	.	.	.	.	.	.	.	248.368	86.436	134.388	89.099	240.820	878.772	1343.177	1812.555	1776.985	3637.196	1577.139	2568.211	282.299	1091.318	1004.502	121.070	86.218	72.409	134.782	99.412	401.148	.	2008.470	921.611	1498.605	917.975	484.127	564.688	.	527.791	.	.	.	1066.956	1445.888	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	www.sci.am	AM	Central_Asia
DZ.ARN.N3	AU.AARNET.ADELAIDE.N1	?B	370.392	252.573	147.041	.	.	.	.	.	.	.	.	.	.	.	126.638	61.920	71.190	67.539	128.736	324.743	433.912	934.249	1047.246	1002.021	745.026	1362.692	169.449	365.076	490.609	156.940	194.732	82.324	93.350	229.472	439.752	.	1261.155	886.517	1162.770	637.092	232.145	241.480	212.208	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	adl-a-ext1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	AU.AARNET.BRISBANE.NET	?B	470.890	267.838	147.673	.	.	.	.	.	.	.	.	.	.	.	128.821	63.203	70.334	66.329	114.128	351.086	446.196	857.513	1118.206	1390.585	811.240	1391.131	167.043	388.065	590.421	162.160	95.546	196.670	179.451	217.500	425.186	.	1167.210	789.962	1584.654	681.347	217.033	237.165	209.850	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	bne-a-ext1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	AU.AARNET.CANBERRA.NET	?B	372.328	246.560	153.625	.	.	.	.	.	.	.	.	.	.	.	136.498	62.955	71.012	66.934	131.831	245.037	465.637	823.793	1076.160	1439.237	739.507	1438.029	164.988	434.502	702.719	364.838	446.839	211.022	184.500	203.111	431.085	.	973.037	851.830	1642.749	642.577	228.706	229.319	226.962	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	cbr-a-ext1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	AU.AARNET.HOBART.N2	?B	390.372	275.929	141.754	.	.	.	.	.	.	.	.	.	.	.	129.983	63.357	70.312	64.840	124.541	223.058	415.120	773.619	908.845	589.035	764.858	1413.869	169.693	385.495	522.513	147.237	109.688	94.470	98.888	215.097	437.064	.	974.018	752.131	1549.204	859.357	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	hba-a-pm1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	AU.AARNET.PERTH.NET	?B	412.735	258.520	132.568	.	.	.	.	.	.	.	.	.	.	.	116.500	59.884	68.246	65.925	122.491	287.936	414.082	793.557	639.048	774.656	623.939	1048.956	170.405	361.600	433.180	187.065	282.023	104.680	124.008	211.456	417.028	.	1169.384	938.113	1454.537	667.113	227.347	245.146	246.370	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	per-a-ext1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	BA.UTIC.NET.N1	?B	2407.127	1821.333	550.371	.	.	.	.	.	.	.	.	.	.	.	305.755	163.603	198.959	111.416	55.058	1372.153	1556.721	2145.104	1693.264	2247.141	2723.285	2207.889	1420.005	1496.490	345.330	860.201	764.233	784.094	1369.553	56.288	331.016	.	6984.433	1803.347	4816.985	1539.130	904.727	787.927	473.032	796.333	1005.623	1281.578	1972.027	3711.972	2526.281	2396.148	819.404	994.528	603.721	365.269	498.201	498.915	944.208	1564.828	407.927	816.967	2542.307	743.450	896.958	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.arn.dz	DZ	Africa	linhost2.utic.net.ba	BA	Balkans
