#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
EDU.STANFORD.N9	AF.MOD.GOV.AF	?B	334.050	70.478	43.860	118.716	103.330	294.051	15.474	12.841	139.119	179.179	.	.	.	126.554	134.297	168.176	74.438	.	.	.	694.378	.	53.499	58.982	80.931	110.679	79.310	64.128	75.994	133.568	74.712	216.122	212.392	47.757	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	www.mod.gov.af	AF	South_Asia
EDU.STANFORD.N9	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	370.527	187.387	134.640	184.497	143.526	236.981	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	www.multinet.af	AF	South_Asia
EDU.STANFORD.N9	AL.ALBANIAONLINE.NET.N1	?B	304.311	408.366	580.591	2464.809	1109.496	1280.249	1512.928	2489.063	669.109	1999.275	.	.	.	2128.143	2368.331	2440.001	1957.823	2096.638	815.944	1153.028	842.859	857.623	1121.946	877.773	578.600	557.030	566.709	474.796	518.172	387.962	499.999	523.078	465.093	295.292	311.800	.	477.296	450.075	428.465	458.376	442.796	459.395	397.533	402.805	262.639	243.787	226.358	326.885	632.831	641.165	642.317	671.589	639.923	1038.113	888.939	263.896	467.258	699.390	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	aol1.albaniaonline.net	NET	Balkans
EDU.STANFORD.N9	AM.SCI.N1	?B	.	381.487	362.042	431.887	482.802	308.004	353.256	280.655	346.906	216.780	.	.	.	1514.893	1010.162	891.311	703.165	694.872	712.937	922.048	2179.989	1214.907	1255.412	2254.224	731.940	999.717	860.713	1083.298	1271.129	664.294	612.633	648.895	812.074	821.698	768.063	.	1017.620	806.988	851.249	536.957	869.478	301.399	.	188.177	.	.	.	401.457	863.094	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	www.sci.am	AM	Central_Asia
EDU.STANFORD.N9	AU.AARNET.ADELAIDE.N1	?B	2830.349	2819.493	2816.538	2814.455	2802.207	2619.623	2762.951	2799.357	2799.162	2793.725	.	.	.	2792.005	2792.567	2804.563	2730.821	2820.224	2803.996	2818.869	2819.263	2819.863	2812.691	2640.371	2643.281	2643.506	2651.006	2823.480	2824.611	2772.143	2749.776	2839.171	2837.590	2827.479	2799.835	.	1757.756	2425.757	2654.501	2650.198	2331.044	2651.878	2628.283	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	AU.AARNET.BRISBANE.NET	?B	2935.149	2936.220	2921.702	2914.288	2906.012	2720.595	2875.340	2914.526	2914.600	2908.440	.	.	.	2906.689	2907.136	2904.688	2789.955	2883.409	2866.449	2882.050	2882.352	2883.780	2876.593	2695.910	2696.293	2695.343	2704.745	2882.476	2884.054	2196.280	2806.711	2907.979	2896.791	2888.275	2863.010	.	1752.274	2250.173	2845.219	2761.960	2845.396	2842.589	2817.017	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	AU.AARNET.CANBERRA.NET	?B	3136.892	3137.891	3124.575	3112.918	3102.747	2892.442	3066.278	3113.274	3113.013	3106.225	.	.	.	3104.091	3104.731	3050.609	2968.264	3120.785	3101.438	3091.253	3118.862	3046.488	3030.795	2728.448	2782.111	2718.668	2744.139	3095.591	2964.810	2294.276	3064.415	3127.755	3124.334	3112.979	3082.392	.	1971.310	3060.856	2968.172	3060.418	1945.142	3061.880	3031.459	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	AU.AARNET.HOBART.N2	?B	2822.743	2820.856	2797.950	1189.172	2778.399	2597.224	2738.421	2774.155	2774.000	2768.621	.	.	.	2766.782	2762.917	2715.443	2662.775	1688.463	2756.539	2760.926	2783.628	2725.498	2709.709	2452.970	2496.042	2445.295	2465.813	2746.060	2640.533	2751.899	2039.145	2709.820	2688.955	2703.449	1897.369	.	1727.899	2570.556	2586.158	2501.672	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	AU.AARNET.PERTH.NET	?B	2466.015	2457.971	2455.782	2454.135	2444.846	2305.056	2414.401	2442.808	2442.515	2437.120	.	.	.	2437.210	2437.535	2446.467	2389.930	2458.427	2445.821	2456.653	2457.500	2458.190	1808.496	2284.785	2314.843	2320.694	2330.089	2457.985	2449.412	1862.265	2370.945	2452.546	2456.263	2439.726	2410.945	.	1518.873	2296.901	1897.685	2284.612	2006.989	2283.201	2294.287	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	BA.UTIC.NET.N1	?B	2662.077	2663.937	2666.888	2262.395	2816.304	1209.456	647.685	790.777	713.057	674.229	.	.	.	692.146	668.887	790.782	921.046	625.817	767.929	763.879	653.059	738.204	669.998	885.286	798.588	882.219	752.683	546.202	512.242	445.018	541.015	509.116	1460.117	1336.240	833.018	.	1070.884	865.929	628.377	999.313	1718.613	1544.886	289.029	438.921	426.958	473.304	752.726	561.902	830.417	1321.281	2109.334	565.564	1194.658	300.976	420.457	128.522	664.358	1120.168	703.774	731.583	230.875	1203.225	395.931	524.853	285.910	313.256	371.953	449.006	399.654	279.700	255.352	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.stanford.edu	EDU	North_America	linhost2.utic.net.ba	BA	Balkans
