#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
GOV.DOE.N8	AF.MOD.GOV.AF	?B	225.528	169.902	545.788	123.477	125.395	279.692	16.165	13.728	157.523	294.276	.	.	.	158.088	144.676	193.474	90.262	.	.	.	193.893	.	64.637	261.874	221.064	175.011	102.467	94.220	125.137	157.564	86.391	310.993	260.468	49.774	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	www.mod.gov.af	AF	South_Asia
GOV.DOE.N8	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	335.339	215.500	114.911	195.427	186.390	367.502	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	www.multinet.af	AF	South_Asia
GOV.DOE.N8	AL.ALBANIAONLINE.NET.N1	?B	342.624	526.815	879.550	1744.697	1408.463	1651.762	3570.734	2399.144	3116.977	1949.047	.	.	.	2568.459	1546.205	1200.682	2146.791	2445.116	1207.174	1689.232	1145.042	1594.838	3210.468	991.922	731.891	884.236	855.545	698.084	785.417	702.385	841.160	1020.342	749.610	458.545	551.657	.	800.638	746.121	772.575	549.688	671.608	585.708	616.173	430.405	522.724	626.397	448.462	637.321	975.752	960.132	954.404	1210.114	1250.507	1590.832	1225.469	2109.295	631.019	853.642	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	aol1.albaniaonline.net	NET	Balkans
GOV.DOE.N8	AM.SCI.N1	?B	.	517.576	460.635	566.587	740.735	446.326	530.599	430.323	528.374	332.612	.	.	.	2025.275	919.846	715.270	808.879	939.956	1267.856	1310.369	1098.039	1251.558	1632.415	1292.430	841.007	1142.384	1356.991	798.205	1428.041	1407.630	862.952	991.250	2184.279	1314.870	999.519	.	1277.473	1306.992	1069.153	729.289	1143.250	700.384	.	265.044	.	.	.	677.747	837.153	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	www.sci.am	AM	Central_Asia
GOV.DOE.N8	AU.AARNET.ADELAIDE.N1	?B	2153.008	2146.186	2144.237	2141.945	2116.877	2036.009	2113.844	2143.415	2144.866	2160.794	.	.	.	2176.103	1383.212	822.693	1612.554	2196.802	1484.353	986.627	882.646	1511.503	1803.144	680.148	441.872	435.749	548.922	1208.398	1299.233	2169.739	2146.439	2201.806	2199.841	2194.328	2189.636	.	2090.759	2088.326	2087.777	2094.784	2100.739	2103.530	2103.104	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	AU.AARNET.BRISBANE.NET	?B	2212.450	2212.247	2184.315	2199.258	2196.494	2096.281	2178.690	2211.265	2212.026	2229.166	.	.	.	2244.709	1159.502	919.701	1492.051	2234.809	1345.154	935.122	880.719	1479.894	2119.536	1428.068	1549.087	894.675	1704.043	1069.018	1673.509	2207.435	2183.294	2245.851	2237.856	2232.353	2228.442	.	2204.203	2204.777	1928.705	2035.872	2218.315	2221.668	840.206	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	AU.AARNET.CANBERRA.NET	?B	2326.852	2327.676	2318.132	2310.371	2306.901	2197.115	2292.471	2315.514	2324.623	2345.990	.	.	.	2356.037	1293.471	821.817	2051.311	2375.583	828.151	738.962	671.267	1219.877	1588.042	1178.234	1349.567	1006.656	1950.760	1171.773	1622.168	2371.940	2334.566	2373.517	2370.238	2363.367	2358.733	.	2332.912	2334.255	2212.069	2343.313	2307.318	2354.597	1584.610	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	AU.AARNET.HOBART.N2	?B	2148.828	2147.272	2133.951	2127.926	2121.332	2022.639	2099.310	2129.330	2129.969	2146.086	.	.	.	2160.548	1176.361	707.690	2120.103	1660.078	714.479	638.441	546.281	713.939	1131.228	1462.637	1198.911	1224.603	1596.667	1125.337	1283.233	2154.886	1162.780	2114.672	2109.859	2121.387	2104.812	.	2047.135	2038.923	1609.037	2003.360	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	AU.AARNET.PERTH.NET	?B	1935.741	1930.152	1928.669	1926.706	1922.346	1840.494	1903.857	1924.318	1928.992	1941.586	.	.	.	1952.469	1026.630	781.223	1497.262	1970.931	1047.969	970.616	840.764	1429.361	1025.140	1043.577	1139.022	786.777	1717.119	1253.576	1835.198	1936.236	1906.952	1957.664	1961.425	1949.581	1946.101	.	1864.513	1853.541	1531.349	1860.462	1881.170	1883.196	481.268	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	BA.UTIC.NET.N1	?B	2599.296	4026.985	3240.867	4086.508	2417.927	1854.772	969.643	1132.519	1220.932	1100.443	.	.	.	879.151	911.536	773.188	1186.433	876.956	702.949	738.673	744.442	1042.702	924.348	993.988	1094.757	1096.228	862.043	938.319	767.381	1054.952	992.821	1121.073	2080.447	2833.377	3176.015	.	1534.447	1228.128	1485.924	1353.190	2102.637	1693.447	442.417	666.770	1375.022	1870.654	1360.816	1828.069	1452.714	1403.184	3727.925	3192.773	2188.394	506.664	781.393	633.435	1063.647	1253.202	1606.423	1382.344	1563.676	1985.086	917.864	1814.876	619.807	562.137	828.343	941.737	873.291	949.882	1489.616	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ascr.doe.gov	GOV	North_America	linhost2.utic.net.ba	BA	Balkans
