#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
GOV.ESNET.NOC.N4	AF.MOD.GOV.AF	?B	232.856	89.764	64.058	126.890	139.064	299.281	51.458	26.651	269.598	141.103	.	.	.	139.469	168.430	214.801	112.357	.	.	.	729.677	.	74.210	208.943	261.078	156.024	82.385	78.475	98.544	151.240	69.327	512.326	703.470	61.710	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	www.mod.gov.af	AF	South_Asia
GOV.ESNET.NOC.N4	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	263.465	193.152	110.296	170.637	162.838	216.275	462.862	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	www.multinet.af	AF	South_Asia
GOV.ESNET.NOC.N4	AL.ALBANIAONLINE.NET.N1	?B	229.467	340.067	630.442	1387.205	938.125	1045.165	2444.748	2494.651	2150.920	1361.901	.	.	.	2059.027	1607.935	1102.662	1543.761	1874.987	994.955	1647.973	1053.341	1047.460	1309.319	815.705	630.882	588.091	575.310	614.703	608.924	474.563	511.640	589.092	506.552	253.961	312.762	.	386.614	284.751	322.491	286.764	270.575	236.716	356.717	284.945	357.534	440.044	280.575	470.968	763.313	773.322	683.721	1176.121	767.158	1200.454	697.917	1170.050	408.205	564.432	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	aol1.albaniaonline.net	NET	Balkans
GOV.ESNET.NOC.N4	AM.SCI.N1	?B	.	388.891	387.464	471.134	546.338	302.011	365.221	285.751	366.786	202.020	.	.	.	1366.582	528.679	469.713	545.380	634.041	746.526	835.574	1209.219	1095.115	724.383	952.463	593.081	554.556	481.226	698.347	1692.938	792.225	804.283	499.967	1788.846	1074.825	838.109	.	909.242	929.267	763.340	484.653	889.550	360.029	.	313.280	.	.	.	467.104	849.820	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	www.sci.am	AM	Central_Asia
GOV.ESNET.NOC.N4	AU.AARNET.ADELAIDE.N1	?B	2875.772	2870.241	2847.462	2832.257	2822.370	2610.045	2753.234	2781.490	2790.365	2797.140	.	.	.	2791.411	2792.049	2803.042	2770.270	2820.109	2805.812	2820.952	2821.002	2821.898	2814.421	2652.408	2647.432	2647.737	2644.040	2825.358	2826.436	2788.057	2748.717	2840.824	2835.546	2825.309	2816.285	.	2290.006	2651.127	2652.055	2650.612	2652.122	2652.478	2652.353	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	AU.AARNET.BRISBANE.NET	?B	2973.089	2974.398	2939.481	2918.581	2916.947	2710.317	2864.498	2895.289	2904.945	2912.717	.	.	.	2906.382	2906.849	2903.422	2831.209	2883.512	2868.313	2884.066	2884.273	2885.833	2878.443	2706.364	2698.929	2698.130	2695.557	2579.869	2886.208	2846.775	2806.087	2909.812	2894.635	2886.183	2880.385	.	2738.510	2842.035	2843.211	2072.512	2844.923	2845.443	2846.118	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	AU.AARNET.CANBERRA.NET	?B	3181.147	3183.255	3144.729	3117.450	3114.791	2881.285	3054.422	3090.570	3102.078	3110.654	.	.	.	3104.565	3105.548	3050.808	3017.080	3121.399	3104.135	3094.277	3121.276	3048.608	3032.535	2744.329	2784.907	2720.640	2724.108	3096.334	2966.782	3126.777	3061.431	3129.806	3122.130	3110.427	3102.473	.	2636.750	3059.943	3059.747	3061.433	2597.452	3064.317	3064.848	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	AU.AARNET.HOBART.N2	?B	2850.426	2841.727	2800.782	2774.621	2776.170	2588.190	2728.517	2756.579	2765.355	2772.191	.	.	.	2766.345	2762.325	2714.319	2700.491	1825.578	2758.656	2763.591	2785.225	2727.078	2711.151	2465.899	2498.485	2446.710	2449.837	2746.638	2642.937	2759.670	1413.229	2709.951	2687.957	2701.428	1971.743	.	2227.295	2566.100	2585.392	2500.691	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	AU.AARNET.PERTH.NET	?B	2500.639	2496.460	2479.275	2467.674	2460.339	2297.193	2407.241	2429.245	2435.897	2440.780	.	.	.	2436.684	2437.200	2445.332	2420.304	2458.270	2447.011	2458.400	2459.108	2459.664	1604.544	2316.156	2319.681	2323.637	2324.615	2458.961	2446.367	2412.911	2373.926	2449.338	2456.675	2436.033	2431.255	.	2086.941	2291.456	2303.245	2287.134	2283.047	2279.924	2292.625	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	BA.UTIC.NET.N1	?B	1852.187	2701.397	2703.341	2729.723	1373.694	1178.225	555.365	709.311	776.274	723.268	.	.	.	814.809	618.530	506.786	692.038	517.110	435.487	623.321	530.202	545.566	491.195	655.665	669.031	513.698	582.869	268.867	505.289	699.593	574.006	559.250	1227.803	1405.070	2132.736	.	1051.110	461.883	482.536	429.586	385.367	408.522	241.837	284.214	844.817	1089.592	827.803	1223.813	943.619	1861.660	1794.495	1559.409	1595.580	302.907	530.404	346.595	573.180	711.106	682.332	583.510	732.731	1226.859	538.840	196.522	632.674	543.673	559.987	703.161	880.398	827.339	717.398	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.es.net	NET	North_America	linhost2.utic.net.ba	BA	Balkans
