#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
HK.CSE.UST.N1	AF.MOD.GOV.AF	?B	217.437	95.854	188.353	86.995	89.799	110.850	14.320	12.302	125.580	122.159	.	.	.	42.883	46.516	125.220	65.755	.	.	.	590.079	.	29.714	37.937	41.295	53.387	49.441	40.720	42.240	74.135	50.629	96.418	130.724	37.720	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	www.mod.gov.af	AF	South_Asia
HK.CSE.UST.N1	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	182.219	125.919	103.161	118.455	140.084	215.009	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	www.multinet.af	AF	South_Asia
HK.CSE.UST.N1	AL.ALBANIAONLINE.NET.N1	?B	294.784	271.762	502.929	1268.879	481.670	795.278	640.766	1376.221	933.021	1020.616	.	.	.	367.591	238.751	779.086	759.121	709.277	621.131	1050.104	391.958	567.344	400.657	516.977	465.770	580.462	641.151	519.065	450.882	427.088	316.712	324.698	358.000	226.826	271.380	.	147.781	245.143	276.578	230.735	191.891	304.429	269.306	254.098	273.584	305.063	224.164	387.130	257.230	420.935	355.610	466.044	330.535	414.582	522.478	605.238	238.990	296.128	276.800	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	aol1.albaniaonline.net	NET	Balkans
HK.CSE.UST.N1	AM.SCI.N1	?B	.	205.058	254.210	299.832	322.396	207.474	216.331	191.012	181.796	118.693	.	.	.	241.019	212.929	492.221	426.579	215.077	249.915	395.026	972.728	494.803	417.965	408.251	448.449	547.925	366.259	451.429	340.239	302.438	258.714	233.680	396.372	429.553	440.759	.	585.294	571.621	532.035	363.278	469.802	313.019	.	90.245	.	.	.	276.977	1352.818	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	www.sci.am	AM	Central_Asia
HK.CSE.UST.N1	AU.AARNET.ADELAIDE.N1	?B	2385.161	1502.637	2244.149	4059.482	988.531	633.043	807.772	1909.800	1540.008	1940.802	.	.	.	209.678	236.743	2437.050	2096.334	1320.267	2604.855	1979.458	3969.516	2739.436	3077.585	2466.959	2260.950	3737.507	4812.527	1899.599	1597.938	1019.306	622.039	459.057	1191.781	1924.319	2438.406	.	2170.991	1537.230	3263.581	3221.998	3628.163	1899.635	3099.642	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	AU.AARNET.BRISBANE.NET	?B	1457.576	1568.983	1912.282	1946.213	797.248	721.315	843.859	2417.326	1459.615	1943.944	.	.	.	211.827	205.916	1645.014	1464.969	903.714	1853.251	1782.405	2806.417	2192.157	2561.380	1939.959	1436.005	3005.664	2982.231	1584.138	1080.003	902.950	752.727	454.191	1050.799	1353.363	1874.958	.	1688.145	1339.332	2669.737	2502.677	2168.583	1559.355	2629.245	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	AU.AARNET.CANBERRA.NET	?B	1641.710	1589.114	1976.482	2124.831	1020.280	727.446	775.842	2395.722	1790.488	1809.939	.	.	.	168.884	216.662	1311.493	992.002	718.659	1179.019	1627.263	1759.616	1330.950	1944.811	1183.289	1647.070	1777.271	1829.307	1174.805	596.766	793.701	858.892	538.245	1233.444	1804.522	1969.700	.	1829.462	1964.147	2696.820	2333.074	3241.503	1765.223	2887.880	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	AU.AARNET.HOBART.N2	?B	1225.006	1546.898	2075.188	1205.871	992.777	576.304	667.310	2187.354	1564.912	1931.295	.	.	.	187.442	257.322	1284.096	912.436	568.193	1031.133	1200.126	1410.057	1347.009	1485.538	909.514	1226.840	2131.511	1824.425	970.153	583.280	779.134	758.759	494.075	1051.067	1601.857	1923.186	.	2272.729	1472.781	2849.286	2227.769	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	AU.AARNET.PERTH.NET	?B	2941.279	3694.575	3976.598	5390.868	930.261	626.490	718.919	1845.581	2015.615	2070.352	.	.	.	253.445	272.533	3188.985	2556.599	1492.156	2964.188	4448.116	4566.420	4116.327	2835.599	3071.401	2911.731	4075.981	5117.948	2912.635	1992.051	1033.583	724.976	493.893	1190.868	2704.210	3166.585	.	2878.138	2075.346	3846.014	3267.828	3744.868	1520.057	2938.902	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	BA.UTIC.NET.N1	?B	1221.657	467.820	969.531	923.460	724.616	611.150	368.256	523.099	519.440	420.065	.	.	.	273.155	206.725	450.239	513.607	310.892	353.685	474.806	240.430	204.779	186.166	381.707	457.692	455.058	369.883	366.203	341.637	311.965	346.910	309.684	605.342	665.813	372.120	.	482.739	498.659	720.081	549.999	346.704	837.829	162.081	235.044	460.421	463.223	629.113	636.228	214.899	556.867	433.890	465.514	308.284	161.008	250.150	200.074	310.370	303.143	369.067	427.679	255.548	346.590	274.989	377.976	201.961	223.512	261.232	267.625	451.420	315.715	353.359	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cse.ust.hk	HK	East_Asia	linhost2.utic.net.ba	BA	Balkans
