#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
IN.CDACMUMBAI.N1	AF.MOD.GOV.AF	?B	173.568	107.984	123.391	95.766	82.070	84.923	14.652	12.658	115.685	174.402	.	.	.	132.136	141.023	164.296	76.799	.	.	.	731.561	.	45.840	92.547	115.658	95.802	76.669	74.271	90.958	92.609	60.888	114.448	122.145	59.640	166.996	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	www.mod.gov.af	AF	South_Asia
IN.CDACMUMBAI.N1	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	139.863	96.874	81.960	125.418	193.918	211.636	587.301	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	www.multinet.af	AF	South_Asia
IN.CDACMUMBAI.N1	AL.ALBANIAONLINE.NET.N1	?B	285.091	332.970	388.303	288.055	288.525	278.693	507.904	831.937	718.468	712.165	.	.	.	410.048	750.359	1117.322	1414.944	453.588	374.131	468.320	335.993	436.590	399.932	325.651	321.444	357.458	335.434	394.136	315.850	299.241	284.973	383.694	357.868	203.566	330.724	.	285.422	277.326	254.778	259.800	211.546	268.421	307.962	285.790	236.185	254.584	224.819	301.627	273.681	307.475	291.085	331.686	310.723	393.247	314.121	316.056	178.876	269.154	293.682	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	aol1.albaniaonline.net	NET	Balkans
IN.CDACMUMBAI.N1	AM.SCI.N1	?B	.	309.246	301.086	210.817	207.157	270.273	384.295	325.211	369.625	252.177	.	.	.	1228.620	778.045	694.599	675.867	556.509	527.338	560.351	493.655	385.185	398.980	361.243	378.457	399.956	390.698	548.544	384.546	346.818	378.259	352.738	452.041	352.875	116.379	.	247.710	308.579	303.934	205.270	182.865	264.370	.	167.070	.	.	.	148.992	193.077	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	www.sci.am	AM	Central_Asia
IN.CDACMUMBAI.N1	AU.AARNET.ADELAIDE.N1	?B	806.098	715.868	506.497	627.564	712.460	907.715	1534.651	982.585	1023.540	2442.240	.	.	.	2531.274	1548.848	1706.393	998.607	631.766	460.980	492.413	410.846	313.715	311.325	259.174	326.719	278.240	350.159	376.040	354.311	319.730	306.298	375.317	402.576	350.309	110.716	.	336.345	564.810	624.517	501.004	320.491	199.353	192.756	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	AU.AARNET.BRISBANE.NET	?B	707.717	693.101	516.669	549.317	744.275	961.511	1693.249	1030.283	1005.575	2102.179	.	.	.	1727.436	1386.618	1195.801	575.233	634.182	402.270	484.863	364.903	302.472	310.629	244.036	326.048	277.342	337.670	372.236	315.743	305.032	276.865	326.750	365.329	329.853	108.118	.	287.539	436.505	469.503	402.763	303.228	194.963	189.286	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	AU.AARNET.CANBERRA.NET	?B	966.033	739.757	597.191	581.971	743.543	953.466	1910.170	539.166	897.286	1826.831	.	.	.	2242.175	1335.088	1310.244	1327.142	707.131	431.348	513.569	383.465	321.319	321.265	258.777	341.303	305.125	340.826	402.478	325.118	334.088	314.636	363.321	423.219	365.563	109.567	.	301.163	503.238	561.210	443.512	301.702	208.739	167.517	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	AU.AARNET.HOBART.N2	?B	758.019	672.656	518.747	560.592	760.446	927.016	1355.765	972.401	919.141	1778.846	.	.	.	2217.600	1290.985	1383.648	581.463	520.729	417.195	494.738	362.989	286.668	315.469	237.898	317.640	280.771	339.516	369.905	307.117	291.378	280.925	327.912	369.406	338.121	107.295	.	289.516	466.309	523.932	527.721	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	AU.AARNET.PERTH.NET	?B	1765.553	1317.818	1096.218	848.114	658.550	723.554	1357.735	479.019	1217.007	3608.480	.	.	.	2956.030	2250.245	2218.401	1039.630	606.576	445.893	531.453	390.723	314.329	323.573	268.458	333.917	295.174	358.328	380.573	330.852	331.023	314.154	365.632	395.510	342.459	111.434	.	348.175	612.198	766.032	624.382	375.776	189.523	187.892	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	BA.UTIC.NET.N1	?B	772.661	455.300	376.992	236.247	286.147	299.604	523.153	494.176	512.131	556.391	.	.	.	628.168	579.460	599.984	574.522	370.318	269.130	383.842	311.089	283.606	279.653	303.344	301.822	303.606	265.104	182.115	257.991	268.301	257.798	277.340	399.262	321.515	544.366	.	349.954	323.415	321.998	342.281	274.284	315.495	223.610	271.549	268.077	176.926	226.198	300.466	234.931	259.338	240.172	209.760	226.691	209.343	213.638	203.159	168.522	275.732	340.616	259.877	149.562	131.172	171.145	238.157	179.627	134.070	111.457	222.520	280.954	267.097	184.714	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.cdacmumbai.in	IN	South_Asia	linhost2.utic.net.ba	BA	Balkans
