#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
IT.ICTP.N1	AF.MOD.GOV.AF	?B	146.326	84.400	73.378	152.525	166.941	426.057	17.125	14.767	222.072	308.252	.	.	.	163.703	175.255	266.879	100.407	.	.	.	883.654	.	57.000	163.759	865.162	379.690	107.662	107.345	152.323	158.371	83.593	271.537	308.082	55.708	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	www.mod.gov.af	AF	South_Asia
IT.ICTP.N1	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	617.482	351.861	186.683	253.067	287.811	468.586	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	www.multinet.af	AF	South_Asia
IT.ICTP.N1	AL.ALBANIAONLINE.NET.N1	?B	507.695	749.458	1286.582	5370.448	3436.445	5349.790	6311.278	6429.975	4755.028	6296.096	.	.	.	3390.995	3561.552	6911.163	3528.959	7929.409	2973.056	5732.023	1797.269	2186.431	3991.052	2178.793	1202.665	1427.128	1656.229	1612.762	1628.901	1103.409	1006.028	1889.594	1131.554	692.467	839.451	.	930.065	833.223	563.652	582.133	527.217	584.764	1042.142	1087.179	908.316	849.080	645.505	969.761	1883.085	1485.253	987.878	526.947	561.288	720.307	618.947	212.808	178.350	244.587	243.087	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	aol1.albaniaonline.net	NET	Balkans
IT.ICTP.N1	AM.SCI.N1	?B	.	849.763	859.667	840.770	1270.626	791.752	1070.930	833.811	1061.683	640.044	.	.	.	6245.346	3637.218	2330.281	2384.177	1819.446	1891.527	1754.319	7071.929	3206.480	5429.676	4984.702	1995.592	6675.484	1935.872	3676.104	2021.802	2033.056	1854.725	2191.716	2572.434	2652.322	2465.483	.	4009.944	3752.433	2472.437	1571.982	2122.249	879.320	.	431.927	.	.	.	1178.344	1986.915	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	www.sci.am	AM	Central_Asia
IT.ICTP.N1	AU.AARNET.ADELAIDE.N1	?B	1401.913	1402.605	1391.593	1822.536	1522.770	1416.459	1432.290	1411.528	1229.414	1861.800	.	.	.	1822.046	1819.884	1795.413	1813.431	1814.069	1820.307	1817.914	1806.809	1804.757	1794.640	1808.382	1689.256	1753.757	1718.318	1679.583	1650.665	1094.682	1309.718	1383.520	1677.387	1675.029	1562.867	.	1751.202	1685.670	1642.879	1654.949	1638.827	1561.671	1659.576	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	adl-a-ext1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	AU.AARNET.BRISBANE.NET	?B	1437.466	1441.199	1422.706	1650.553	1529.229	1455.480	1233.453	1495.470	1436.634	1646.028	.	.	.	1605.795	1604.045	1588.619	1599.844	1601.064	1607.122	1605.130	1594.874	1593.580	1586.820	1623.674	1616.689	1579.096	1550.695	1518.360	1495.388	1525.701	1105.739	1542.302	1516.407	1514.813	1422.777	.	1576.175	1523.639	1488.571	1498.569	1468.100	1421.738	1503.459	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	bne-a-ext1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	AU.AARNET.CANBERRA.NET	?B	1469.583	1474.076	1459.724	1751.372	1555.628	1489.827	1505.144	1553.975	1359.007	1765.576	.	.	.	1721.737	1719.936	1697.929	1713.868	1714.547	1721.799	1719.628	1707.937	1619.648	1696.060	1708.844	1597.239	1659.762	1628.231	1592.714	1567.595	1600.627	1236.508	1617.978	1590.540	1588.388	1487.533	.	1529.324	1597.932	1559.294	1570.070	1555.801	1486.122	1575.615	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	cbr-a-ext1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	AU.AARNET.HOBART.N2	?B	1392.919	1392.108	1387.658	1655.540	1489.676	1414.014	970.818	1380.497	1279.014	1742.837	.	.	.	1702.902	1700.627	1672.735	1688.499	1458.549	1689.858	1693.415	1682.630	1588.682	1672.136	692.923	1574.229	1636.858	1606.285	1571.921	1546.936	1417.071	1152.394	1571.398	1564.835	1564.938	1457.774	.	1615.848	1557.789	1529.543	1502.644	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	hba-a-pm1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	AU.AARNET.PERTH.NET	?B	2022.673	1907.975	1577.255	2064.513	1471.676	1322.587	1332.905	1363.033	1671.478	2045.324	.	.	.	2012.493	2009.982	1979.206	2002.615	2002.494	2007.452	1702.111	1994.668	1992.081	1980.670	1983.410	1981.102	1929.099	1886.345	1838.336	1795.585	1572.873	1341.721	1816.542	1828.101	1822.049	1687.735	.	1904.491	1826.789	1781.268	1784.307	1765.516	1678.123	1798.189	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	per-a-ext1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	BA.UTIC.NET.N1	?B	13012.001	12542.930	12826.184	12824.964	11814.526	6897.674	2119.884	2397.282	2895.924	2210.835	.	.	.	2242.199	2252.827	2108.855	2358.457	3021.813	3552.327	3254.090	2177.139	2985.514	2719.921	2962.325	2502.080	5173.531	2337.397	1660.786	1987.779	2567.196	2725.003	3052.388	7625.000	8175.912	9903.014	.	5066.883	11727.296	8855.911	4009.099	7744.653	11488.347	1023.102	1727.961	4491.608	11005.915	3082.775	9632.975	4530.286	7491.469	2764.840	1185.581	1076.201	807.722	1165.035	406.908	373.307	350.978	289.599	311.836	320.687	326.737	276.455	968.640	933.806	.	775.448	961.313	954.804	904.791	1268.241	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.ictp.it	IT	Europe	linhost2.utic.net.ba	BA	Balkans
