#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
JP.RIKEN.N3	AF.MULTINET.N1	?r	80.556	43.619	81.867	78.570	166.826	265.828	401.148	344.966	204.644	308.688	.	.	.	417.597	194.227	358.926	289.897	210.305	501.446	129.854	122.657	211.108	321.534	317.297	349.622	282.453	245.513	134.854	268.505	259.700	115.685	149.003	148.047	227.942	192.092	.	239.457	76.972	79.813	156.560	233.292	197.150	206.743	199.295	221.604	215.851	196.342	260.798	319.132	304.983	305.927	285.578	156.495	174.997	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	www.multinet.af	AF	South_Asia
JP.RIKEN.N3	AF.NEDA.N1	?r	.	.	.	.	.	.	.	.	.	305.990	.	.	.	613.388	277.251	506.812	256.816	249.388	412.792	144.842	238.637	353.695	164.880	232.742	188.815	202.990	252.747	260.277	154.901	240.045	150.010	200.445	134.353	100.450	176.873	.	175.947	140.001	104.483	225.601	220.827	244.205	100.776	292.985	532.043	393.048	103.695	141.927	159.785	227.509	109.511	149.783	109.695	183.835	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	mail.neda.af	AF	South_Asia
JP.RIKEN.N3	AM.SCI.N1	?B	1250.773	155.513	233.039	325.713	415.924	229.577	237.238	200.932	243.449	154.056	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	411.896	122.038	237.278	128.968	214.385	155.299	234.771	293.319	283.585	205.977	224.333	230.629	274.701	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	www.sci.am	AM	Central_Asia
JP.RIKEN.N3	AM.SEUA.N1	?r	.	.	.	.	.	1384.789	223.960	219.919	446.556	545.274	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	456.681	556.178	559.855	349.239	277.434	361.069	.	948.966	330.815	379.459	414.178	467.894	261.700	142.223	126.495	118.929	211.378	257.150	241.718	283.668	357.342	265.333	296.697	400.834	413.206	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	www.seua.am	AM	Central_Asia
JP.RIKEN.N3	AO.NEXUS.N1	?r	114.067	67.151	170.557	251.986	218.538	250.725	283.436	226.969	264.836	192.512	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	158.929	.	306.921	237.577	.	.	74.658	262.152	86.470	49.466	57.869	116.907	241.457	284.640	450.513	283.291	153.857	140.478	98.763	66.955	75.709	143.049	107.287	162.672	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	www-05.nexus.ao	AO	Africa
JP.RIKEN.N3	AR.RETINA.N1	?r	438.752	475.530	390.155	321.008	383.456	340.381	289.949	388.468	453.231	535.955	.	.	.	440.602	531.799	508.977	375.286	578.144	552.015	577.683	579.253	770.118	358.969	483.576	509.782	527.485	443.288	386.996	410.684	656.968	501.456	603.104	599.545	456.684	470.051	.	351.147	343.182	343.304	343.313	382.374	697.324	297.845	551.458	642.100	956.154	628.390	182.683	297.424	368.157	233.894	223.206	356.215	405.806	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	ns1.retina.ar	AR	Latin_America
JP.RIKEN.N3	AR.RETINA.N2	?r	694.189	449.639	401.538	317.634	348.663	315.255	319.850	352.715	480.281	395.559	.	.	.	427.532	479.274	452.051	363.612	538.101	532.911	563.529	576.561	741.486	368.105	466.011	511.146	560.607	411.571	372.522	378.493	858.981	522.765	662.797	604.946	465.272	510.993	.	319.112	316.246	339.249	320.661	370.443	930.480	316.493	558.561	656.425	729.030	676.382	182.357	319.466	343.142	244.270	220.431	382.241	521.661	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	ns2.retina.ar	AR	Latin_America
JP.RIKEN.N3	AU.AARNET.ADELAIDE.N1	?B	1668.304	1620.030	1607.627	1712.396	1498.184	1659.969	1715.129	1733.083	1734.988	1993.523	.	.	.	2306.951	2308.350	2300.445	1868.355	2309.649	2309.253	2323.191	2318.480	2324.930	2311.687	1313.297	1404.737	2091.997	2100.341	1305.197	1921.621	1464.584	1131.010	1757.505	1966.232	2306.297	2295.047	.	3258.231	3332.255	3431.761	3283.416	3147.355	2911.231	3124.621	3116.678	3118.197	3119.122	2188.954	2236.338	2167.903	2267.357	2236.451	2228.399	2211.833	2200.836	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
JP.RIKEN.N3	AU.AARNET.DARWIN.N2	?r	1480.461	1443.218	1435.760	1519.937	1419.300	1496.226	1525.145	1550.407	1552.483	1695.861	.	.	.	1883.346	1966.683	1553.826	1343.933	1544.774	1535.920	1537.858	1402.246	1395.463	1528.168	1146.942	983.740	1348.298	983.279	771.913	1181.998	1051.711	1681.589	1559.688	1715.504	1964.490	1952.364	.	2601.117	2656.545	2726.515	2646.272	2553.917	2383.380	2549.868	2545.613	2547.208	2541.300	1904.868	1960.591	1904.099	1981.638	1958.345	1948.537	1940.290	1931.862	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	drw-a-pm1.aarnet.net.au	AU	Oceania
JP.RIKEN.N3	AU.AARNET.HOBART.N2	?B	1659.016	1609.413	1604.927	1693.035	1732.469	1652.355	1706.785	1724.023	1725.811	1947.383	.	.	.	2201.785	2199.812	938.539	893.662	780.768	992.319	782.664	792.005	910.799	982.714	857.668	754.174	746.553	731.405	652.746	750.169	1179.457	864.132	977.870	1338.098	2154.531	1789.931	.	2818.733	2864.231	2973.416	2766.696	2523.112	1344.864	2636.783	2748.455	2753.983	2732.192	2061.559	1997.070	2054.071	2140.248	2125.556	2122.088	2103.924	2094.089	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
