#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.COMSATS.EDU.N2	AF.MOD.GOV.AF	?B	509.815	65.842	40.783	97.056	85.721	127.061	15.458	13.014	143.970	174.576	.	.	.	120.959	139.236	126.218	70.932	.	.	.	722.791	.	55.139	130.285	72.767	49.885	48.450	58.796	104.829	135.614	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.COMSATS.EDU.N2	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	197.144	180.342	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	www.multinet.af	AF	South_Asia
PK.COMSATS.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	294.008	263.628	370.263	1088.250	504.494	320.831	504.116	679.565	528.037	1014.240	.	.	.	485.633	796.951	974.171	1189.620	491.439	552.590	1158.938	447.771	542.091	854.666	517.394	684.177	588.689	601.745	542.778	668.051	406.809	.	.	.	.	.	.	.	.	.	669.710	.	.	.	.	.	.	.	224.871	411.356	647.529	545.054	600.097	882.967	821.653	783.294	690.912	279.108	537.381	593.955	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.COMSATS.EDU.N2	AM.SCI.N1	?B	.	659.356	402.034	356.549	320.471	253.204	339.005	330.428	573.606	650.922	.	.	.	311.053	600.218	491.654	606.478	367.668	427.910	629.853	667.425	644.557	592.485	421.699	527.229	626.976	493.953	599.686	534.188	538.329	.	.	.	.	.	.	.	.	.	518.107	.	.	.	.	.	.	.	186.091	420.913	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.COMSATS.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	246.391	446.602	446.009	600.066	269.212	233.636	237.502	352.691	250.729	273.348	.	.	.	228.400	270.548	317.181	320.119	265.353	261.329	404.299	298.774	256.489	313.668	221.782	306.978	347.043	274.902	311.377	346.426	346.410	.	.	.	.	.	.	.	.	.	524.445	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	AU.AARNET.BRISBANE.NET	?B	303.151	460.747	421.583	655.477	263.072	225.306	249.324	338.051	256.946	278.538	.	.	.	249.233	340.662	495.644	233.844	234.463	410.164	412.370	275.130	233.223	331.082	288.152	333.756	316.215	344.346	379.177	419.693	307.388	.	.	.	.	.	.	.	.	.	275.669	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	AU.AARNET.CANBERRA.NET	?B	1073.786	522.248	486.098	756.669	284.164	279.436	250.011	422.624	280.014	268.794	.	.	.	300.905	314.408	363.589	314.207	277.300	440.138	581.958	353.020	246.703	335.287	193.363	318.022	348.548	318.893	327.531	334.755	391.193	.	.	.	.	.	.	.	.	.	575.465	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	AU.AARNET.HOBART.N2	?B	771.347	600.918	416.864	551.375	130.983	234.356	262.671	280.236	255.115	201.625	.	.	.	229.426	296.421	295.127	232.895	258.502	383.610	558.691	311.318	241.579	309.500	281.000	292.499	282.548	293.989	450.241	417.516	316.350	.	.	.	.	.	.	.	.	.	384.007	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	AU.AARNET.PERTH.NET	?B	932.778	405.106	452.614	612.904	303.454	255.625	249.106	222.540	245.850	242.829	.	.	.	199.303	315.154	442.613	397.198	259.698	371.218	390.257	273.155	247.375	291.852	269.637	288.648	286.184	303.988	332.071	390.922	266.864	.	.	.	.	.	.	.	.	.	221.127	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	BA.UTIC.NET.N1	?B	2750.721	992.309	1132.486	682.252	673.748	325.184	420.615	579.988	543.256	551.560	.	.	.	318.242	577.594	469.413	674.148	391.845	428.420	438.922	449.432	406.743	399.107	473.925	579.576	559.797	468.711	355.065	446.874	.	.	.	.	.	.	.	.	.	.	620.725	.	.	.	.	.	.	.	229.901	1370.062	1288.907	801.838	695.732	993.284	294.597	462.919	257.814	276.119	594.416	1034.413	659.444	1125.517	464.673	434.061	418.520	485.112	545.573	496.252	568.164	477.508	462.129	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.comsats.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
