#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
UK.DL.AC.N2	CA.CARLETON.N1	?B	4681.172	2691.793	2664.263	4446.608	4228.184	4017.810	3958.061	3410.038	4016.659	1966.168	.	.	.	4005.884	3999.696	4024.740	4485.176	4652.136	4030.287	4028.555	2816.100	2812.836	3878.403	3897.312	4359.685	4602.852	4601.556	3581.514	4647.078	4570.385	3202.071	4605.139	4414.577	3384.605	3434.880	.	4032.682	2738.143	4516.692	4693.562	4528.142	4333.419	4474.831	4679.720	4653.837	4402.490	4209.380	3957.705	3429.100	4676.833	4321.864	3656.928	3359.426	4266.809	1303.546	4297.646	4335.728	4318.004	1221.249	1131.709	4014.394	3631.012	4270.631	4313.850	1996.560	1657.485	1511.784	1281.705	1456.536	1638.656	1776.519	1907.116	1874.344	4256.436	4263.397	4216.288	4233.187	3984.409	791.066	1605.757	4158.931	3515.559	362.280	513.499	5128.120	5047.395	5111.620	1928.477	5176.601	3316.662	2931.198	5148.677	5062.484	3191.970	5397.378	421.235	2672.343	2400.729	1536.381	2312.605	1831.298	2844.259	673.130	2392.895	1178.272	5719.023	5576.552	2461.577	1713.387	5280.839	5141.379	4330.044	5599.052	2758.740	5373.601	3863.313	976.570	147.124	19.015	24.768	7.810	312.241	.	859.289	61.565	19.894	22.563	15.753	68.384	16.867	762.372	727.256	373.054	1881.888	1755.428	1506.620	1115.760	609.194	877.766	.	803.315	876.991	770.031	389.599	705.016	352.223	518.455	582.507	587.239	524.095	628.332	534.848	290.447	310.076	303.271	313.735	380.981	913.375	1146.348	377.835	219.455	157.743	250.979	193.929	275.581	189.602	205.988	291.197	363.964	374.955	243.102	272.558	80.098	44.127	61.855	104.445	228.232	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	ftp.physics.carleton.ca	CA	North_America
UK.DL.AC.N2	CA.TRIUMF.N1	?M	1378.174	1300.812	1000.608	1577.691	2024.889	1791.732	868.684	1050.174	955.848	1226.488	.	.	.	913.896	905.204	703.921	879.697	904.299	764.649	729.395	1400.180	2038.653	1511.955	2303.892	2604.741	3218.827	2562.698	2306.933	2063.053	2562.289	1376.114	3256.097	2151.369	2249.914	2665.778	.	3181.232	1993.893	3162.118	3246.808	3253.556	3233.755	3251.255	3224.552	2961.528	3260.217	3261.606	3246.429	3262.081	3249.323	3260.217	3263.998	3257.655	3262.595	3260.609	1554.186	3263.372	3261.688	2335.201	3253.312	2506.550	3243.573	2697.223	3249.044	3250.535	3194.048	3262.063	3260.652	3051.234	1177.566	3253.784	3226.969	3007.223	2322.860	3091.213	2713.887	3068.934	2923.210	2639.856	2233.197	2958.632	1905.025	3148.673	3120.302	2780.624	3456.185	3448.865	.	.	.	.	.	.	.	.	.	.	.	1343.510	.	2078.373	1963.864	368.723	1838.641	1632.708	3705.892	3599.883	2640.796	3666.983	1851.525	1785.766	3571.303	2795.033	3598.487	3215.108	3124.233	1257.438	3286.091	1384.320	2516.790	3198.159	2712.972	.	2235.273	3460.864	2230.519	1616.158	1484.922	522.729	933.629	739.945	870.318	269.720	2131.934	1500.071	1295.114	1459.734	1717.189	694.388	.	742.375	396.798	510.634	341.177	691.740	238.353	772.033	522.648	674.872	498.132	602.497	403.225	232.978	238.714	266.657	246.359	303.415	755.183	800.062	291.805	305.871	228.037	313.727	453.942	492.771	520.467	249.739	251.235	526.037	124.136	155.873	120.587	127.282	121.383	119.691	150.600	250.948	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	sitka.triumf.ca	CA	North_America
UK.DL.AC.N2	CH.CERN.N1	?B	26646.654	26313.394	25432.875	24209.669	26228.834	26255.993	26278.134	26278.676	26248.772	26291.030	.	.	.	26309.912	21004.539	26070.557	24898.888	25332.795	14134.664	19126.862	21640.820	26311.055	26155.790	26271.620	19586.791	26320.576	26344.564	22554.535	22356.285	26321.858	26322.969	25983.543	26320.879	26158.605	26257.497	.	26226.622	21480.495	25985.096	10512.641	26169.351	26114.527	26341.617	9779.591	25861.702	25973.511	26082.497	25937.141	26040.580	26142.067	26014.819	22550.798	26030.549	23434.971	26036.945	21327.274	26136.666	25620.605	25850.284	22113.214	20599.396	4814.839	7496.395	19782.588	25363.612	21855.914	26135.885	26047.450	26131.393	25922.595	25823.758	26037.815	26178.286	25881.709	25207.615	26147.766	22695.016	24352.901	14382.253	25968.708	20988.934	24074.968	25024.616	24574.892	19201.485	24981.541	25047.363	4662.948	13806.914	13046.614	10055.415	11257.696	11775.324	12222.393	11394.264	20986.456	24659.650	15826.133	9819.528	10536.124	13660.011	10115.111	4728.467	10089.737	8149.791	12614.000	25167.818	25068.051	25691.845	17027.806	6005.790	23591.517	16655.758	6535.038	7815.675	17840.449	23493.271	13817.681	12937.945	21766.844	16332.349	24433.786	.	18870.643	9326.024	9209.136	8818.100	2955.889	9039.500	8170.013	8375.821	6813.080	2218.282	7830.978	11028.317	11182.062	8972.287	2891.801	5399.317	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	ping.cern.ch	CH	Europe
UK.DL.AC.N2	DE.DESY.N1	?M	17307.479	17326.041	16398.885	13079.459	13246.875	13047.166	13063.933	13122.046	13644.595	12984.913	.	.	.	12983.535	13002.973	13011.753	13048.392	13059.922	13033.043	13043.029	13057.710	13180.103	13092.869	13124.522	10008.101	13150.324	13116.678	6869.237	6331.901	7641.041	11362.310	7861.854	4628.429	2465.454	5124.088	.	10447.967	12909.408	12872.310	12701.659	12975.462	12909.433	6407.866	12983.119	13029.237	13003.675	13057.114	14448.152	16213.366	16405.738	16090.124	15197.601	14229.784	14101.942	15473.422	14168.684	17101.717	17064.017	16921.233	16534.395	15255.096	15585.514	10614.721	11560.885	12703.032	9705.839	8243.297	13085.230	13101.947	13002.855	13058.384	13030.762	13105.266	12615.496	6691.390	10285.649	13060.193	13084.275	13101.533	5071.951	2472.965	6078.208	6449.914	2497.140	2700.127	12849.501	12822.710	5122.484	8072.123	7359.875	3932.232	4827.349	6869.018	12000.614	13870.303	16542.938	15492.599	6608.072	6104.916	6683.792	8781.045	5980.275	3195.730	5522.012	13071.928	9683.767	15482.588	17149.941	8548.232	8493.032	9794.238	13428.819	19663.463	7001.689	11662.380	7134.937	17306.179	17099.731	12648.664	6728.910	18258.865	7820.039	.	17059.018	16722.403	12649.939	6538.466	6773.392	8324.068	7304.739	10881.538	7546.821	1753.508	11632.671	11380.993	11779.535	10726.299	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	ping.desy.de	DE	Europe
UK.DL.AC.N2	DE.DESY.N5	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1390.638	2167.772	1317.730	2974.447	3504.843	1310.053	1266.334	1365.788	1045.768	1094.245	1050.293	1403.686	1497.643	900.085	1182.067	1776.273	1767.068	3231.025	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	sun01a.desy.de	DE	Europe
UK.DL.AC.N2	DE.IFH.N1	?r	16801.492	12629.748	12227.642	7273.609	9334.000	9827.809	6882.791	7740.220	9366.980	8353.874	.	.	.	9572.367	10518.025	10452.574	10516.059	10487.751	10526.241	9790.194	12962.900	13071.000	13021.473	13043.018	9158.783	11095.600	4434.372	7247.753	7244.703	7079.940	9220.000	13061.597	13085.293	8197.100	13036.087	.	13011.303	12949.102	12828.126	10146.229	12893.588	12801.211	12906.714	12901.940	12858.474	12928.810	12966.312	10435.342	10480.730	13089.863	13046.297	10758.731	13035.174	13003.592	13009.466	11501.944	13114.373	13101.566	13014.096	13011.850	13008.975	12957.848	12970.556	12922.554	12606.035	12787.557	6593.202	12993.773	12981.377	12906.629	12955.059	12888.922	12986.062	13299.310	16797.763	12893.177	16690.967	16600.623	17233.457	16913.707	17046.734	14965.071	15925.944	10877.008	16922.315	9877.137	16805.942	5870.751	11408.713	16245.702	16717.501	11322.450	10621.959	13214.001	17221.827	16695.893	13451.795	9671.065	6468.602	7019.375	8496.440	7172.153	3437.662	6144.703	9539.899	17384.531	16107.286	17461.358	17465.514	17392.496	10663.852	17464.169	17257.198	10652.580	5853.523	12777.672	16785.600	16273.831	16089.359	10148.856	17028.037	16594.088	.	7976.936	9190.977	6978.546	13777.038	8528.395	10937.091	16225.571	12843.894	8655.045	1734.715	11468.537	8128.312	10497.010	7581.898	5394.804	3967.907	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	znsun1.ifh.de	DE	Europe
UK.DL.AC.N2	DK.NBI.N1	?r	25834.813	18935.893	25768.158	20702.849	21865.950	24522.648	19987.634	9171.150	14878.860	9186.924	.	.	.	22576.563	20784.548	21609.786	22730.439	22042.594	21605.027	19227.252	17522.094	17472.125	15035.970	17543.751	10011.703	13879.060	17608.713	14099.035	17691.274	19601.905	18235.841	17573.781	16894.367	16134.805	17004.653	.	17634.910	3692.038	18774.841	15948.855	19179.434	18660.826	8377.688	24395.259	24219.301	24743.553	24696.364	18116.510	22177.025	22420.030	23958.018	20276.068	25723.026	22696.160	25330.527	17535.973	25889.861	25880.083	25671.489	25500.385	25505.524	25344.036	20555.250	25360.389	25037.059	25129.919	19015.460	25124.960	21681.839	20240.725	25698.676	25544.273	25718.962	24983.005	18889.682	25569.388	24618.384	25486.098	25635.375	23416.099	23859.547	15029.126	18191.268	14479.738	23750.011	23040.314	22833.811	4158.185	13554.705	13372.570	12080.415	8533.586	10128.838	10147.031	10228.891	10095.915	9310.318	5109.925	3946.884	5178.147	5533.361	5315.812	1617.512	5060.094	9236.824	8947.796	8109.992	8271.185	8280.106	8396.017	7231.243	8532.672	8229.749	8830.809	6322.627	8183.348	10224.906	10211.347	9211.543	5096.437	7892.314	10110.213	.	5707.974	9639.815	5232.260	5871.831	4835.208	5004.659	3511.105	8023.927	4410.860	1112.146	7991.792	4261.825	1751.352	3949.103	3374.142	2667.719	.	3055.342	3272.944	2354.662	1979.043	1535.877	1230.127	2344.743	1601.847	886.046	1085.708	1556.421	1365.335	1231.838	1052.890	1252.556	1555.376	2597.589	3059.331	1042.704	855.495	1031.180	533.296	605.251	1597.148	1295.225	827.011	1112.750	1242.024	1271.516	1322.119	1985.650	1597.495	1820.434	2096.883	2376.460	1630.136	3413.069	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	www.nbi.dk	DK	Europe
UK.DL.AC.N2	EDU.CORNELL.N2	?r	4026.346	4589.145	4744.027	4563.425	4741.169	4828.654	4337.311	4326.958	4298.167	4226.030	.	.	.	2668.222	4070.623	3920.608	4160.741	3080.273	2632.446	4709.120	4723.833	4461.666	4710.837	4551.232	3352.811	4706.638	2505.101	2699.193	4193.995	1820.621	3255.456	3012.064	4541.687	4104.590	4048.056	.	3797.092	2131.387	2895.648	5116.340	5119.380	4415.008	5061.618	4353.150	4960.724	4866.299	5146.152	4340.636	4668.753	5139.189	5160.102	5172.957	5159.856	4670.013	5170.704	3101.040	5174.504	5171.043	4373.150	5080.566	4778.229	4693.002	4905.495	4690.495	3219.918	5061.016	5146.567	5163.508	4450.668	2973.799	3876.897	5128.919	2748.157	3639.904	5167.731	3748.116	5157.507	4148.815	4747.780	4739.625	4994.756	3422.712	2254.325	3457.882	4511.671	5213.137	5983.924	2904.269	6382.697	5525.507	6414.353	5218.368	6475.677	5014.043	6316.953	2859.011	6370.523	3937.096	1739.154	2190.286	2532.373	2997.681	826.508	3167.129	3863.313	6428.907	5763.529	4557.162	5185.120	6274.104	2431.935	4049.756	3530.166	4708.106	.	.	6390.407	.	2442.285	4669.150	4263.221	4112.033	.	4510.110	5122.909	2694.975	2123.881	1689.223	3435.612	1111.371	2558.300	2449.480	504.255	4633.818	3005.425	5252.597	3756.901	1398.376	1695.940	.	2293.483	2262.170	1242.292	1347.533	3473.915	677.976	3151.058	2336.464	5157.733	1498.048	1299.350	621.950	354.681	338.435	736.285	1226.690	2844.409	2238.809	1382.237	520.253	716.534	595.284	455.047	1361.309	1204.182	1014.285	615.189	354.650	809.252	719.521	416.210	380.719	217.874	220.729	149.852	238.913	356.325	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	lns62.lns.cornell.edu	EDU	North_America
UK.DL.AC.N2	EDU.HAWAII.N3	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2445.944	2100.257	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	218.413	1664.394	1002.670	643.619	809.149	817.787	516.643	.	593.917	579.131	497.802	949.535	469.133	173.617	749.896	1023.630	1924.169	621.785	597.207	314.567	183.902	245.381	393.348	518.373	1180.352	712.012	263.918	136.652	172.870	179.026	342.181	378.092	383.636	375.765	179.528	197.082	235.105	184.522	206.912	239.404	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	ftp.jach.hawaii.edu	EDU	North_America
UK.DL.AC.N2	EDU.NOAO.N1	?r	2335.200	2484.990	2881.466	2884.788	2884.630	1945.450	2840.597	1263.829	2503.238	2260.897	.	.	.	2896.246	2238.550	2160.572	2844.203	1782.121	2430.525	3047.353	3056.773	2053.892	2505.501	3018.987	2881.873	2891.298	1491.549	1671.178	2620.333	2007.966	2515.365	1185.995	2753.413	2716.688	2753.465	.	2803.753	1643.855	1689.228	1352.090	1775.119	1758.914	1155.487	1141.059	1913.589	2893.948	2899.931	2883.191	2891.226	2605.249	2890.297	2776.710	2335.817	2779.761	2916.032	2367.121	1099.951	1062.234	2890.818	2865.197	2766.746	2887.959	2895.229	2889.657	2637.871	2868.844	1580.662	2889.061	2888.623	2888.729	2803.453	2687.828	2866.439	1919.235	2767.395	2288.367	2743.898	2096.382	2059.151	1673.510	2502.807	2719.788	1433.093	2578.060	3183.363	3201.453	3176.912	2243.909	3203.454	3875.043	3862.984	3889.630	3903.226	2612.045	3418.376	2581.530	3788.273	2440.174	972.150	1677.294	2072.255	1885.160	335.761	2221.908	2364.404	887.725	2516.199	3586.617	3589.614	3563.064	3506.897	3580.130	2761.111	2548.581	3461.717	3556.571	3182.290	3442.471	2381.880	3548.110	3488.523	2060.096	.	2816.721	2812.930	3175.719	1570.949	1279.501	2262.878	1185.813	1424.997	1139.563	330.115	1343.532	1643.777	1518.462	1269.981	3678.569	1326.727	.	261.328	699.937	1108.483	263.468	191.864	130.801	143.223	314.614	3420.297	1135.762	1009.639	476.131	286.670	238.279	537.678	777.613	1845.320	1837.553	1046.155	369.993	460.829	446.834	778.934	1353.333	1314.198	654.884	639.919	536.822	499.605	461.852	400.814	731.432	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	icfamon.dl.ac.uk	UK	Europe	ftp.noao.edu	EDU	North_America
