#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BR.ORG.SPRACE.N2	AF.MOD.GOV.AF	?B	471.185	331.837	240.971	241.661	471.081	341.382	241.584	470.243	470.048	154.388	197.399	192.781	173.081	469.216	.	333.708	340.731	251.482	336.580	468.915	467.888	.	.	.	467.166	339.120	465.886	239.552	465.630	337.996	466.363	339.118	271.599	467.606	40.917	22.844	26.769	31.050	27.049	39.436	42.754	101.890	38.063	32.346	35.139	63.404	33.066	67.022	121.800	99.939	120.801	33.820	46.742	31.220	34.257	86.445	111.770	339.879	56.255	93.878	pinger.sprace.org.br	BR	Latin_America	www.mod.gov.af	AF	South_Asia
BR.ORG.SPRACE.N2	AL.ALBANIAONLINE.NET.N1	?B	213.453	239.594	143.069	269.089	321.992	220.977	227.889	219.371	306.654	356.032	283.076	263.838	301.409	260.610	.	232.412	205.215	247.682	296.494	338.793	333.919	.	.	.	294.604	343.785	308.807	315.681	227.580	255.396	400.211	401.571	479.212	566.203	428.477	373.883	363.639	566.979	367.252	954.201	690.279	462.996	291.906	264.495	374.308	303.046	305.980	530.530	272.081	671.373	909.080	1250.728	310.680	324.860	300.132	295.846	300.398	668.794	349.970	347.214	pinger.sprace.org.br	BR	Latin_America	aol1.albaniaonline.net	NET	Balkans
BR.ORG.SPRACE.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	267.077	236.792	192.972	363.115	318.147	181.888	288.961	346.511	264.771	393.839	393.654	199.792	278.253	231.618	206.483	241.587	137.025	122.048	116.858	111.732	169.335	317.616	694.551	472.887	914.231	993.674	1030.926	1031.707	367.773	1031.550	723.385	976.409	1006.985	138.556	766.727	pinger.sprace.org.br	BR	Latin_America	www.sci.am	AM	Central_Asia
BR.ORG.SPRACE.N2	AU.AARNET.ADELAIDE.N1	?B	1018.724	1018.812	1018.794	1019.983	1020.499	1019.209	1019.302	1019.452	1017.452	1016.647	1019.287	1019.210	1018.832	440.762	.	1017.576	1018.572	1019.421	1019.713	1019.365	1019.404	.	.	.	1019.140	1019.109	1019.443	1019.445	1019.411	1019.512	1019.416	1019.465	1017.324	1020.859	1017.124	1019.516	1019.519	1019.185	1019.227	1019.210	1019.466	1019.584	1019.595	1019.608	1019.538	1020.299	1019.031	1018.162	1018.404	1019.497	1019.535	1015.995	1012.377	1010.563	1012.731	1012.723	1012.687	1012.724	1006.281	1009.428	pinger.sprace.org.br	BR	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	AU.AARNET.BRISBANE.NET	?B	1034.154	1034.224	1034.206	1035.360	1037.163	1037.287	1037.417	1037.602	1035.803	1033.180	1037.306	1037.444	1037.307	634.518	.	1035.556	1036.418	1037.372	1037.643	1037.383	1037.490	.	.	.	1037.028	1036.748	1037.511	1037.537	1037.248	1037.249	1037.207	1037.282	1035.301	1038.627	1035.120	1037.274	1036.731	1036.852	1039.041	1037.152	1037.023	1037.649	1037.401	1037.653	1037.613	1038.015	1037.064	1036.211	1037.165	1037.568	1037.608	1036.055	1033.175	1031.238	1033.548	1035.418	1033.542	1033.613	1026.929	1030.174	pinger.sprace.org.br	BR	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	AU.AARNET.CANBERRA.NET	?B	1068.036	1068.873	1069.030	1069.624	1071.847	1071.317	1071.623	1072.377	1071.488	1069.348	1070.823	1072.161	1071.705	1070.870	.	1071.342	1071.816	1069.827	1072.626	1071.100	1070.254	.	.	.	1072.197	1070.771	1070.720	1069.750	1070.719	1072.615	1071.907	1072.574	1070.206	1073.767	1070.006	1072.665	1072.633	1072.558	1072.433	1072.504	1072.618	1072.723	1072.727	1072.742	1072.687	1073.102	1072.172	1071.181	1072.065	1072.659	1072.668	1070.924	1067.822	1065.916	1068.317	1068.326	1068.238	1068.346	1061.148	1064.398	pinger.sprace.org.br	BR	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	AU.AARNET.HOBART.N2	?B	1014.053	1013.702	1014.061	1015.089	1014.478	1014.056	1014.054	1014.286	520.820	1011.545	1014.002	1013.998	1014.289	619.504	.	1012.473	1013.050	1014.260	1013.191	1013.148	1014.103	.	.	.	1013.816	1012.324	1014.352	1011.510	1014.038	1012.737	1012.637	1012.439	1010.297	1014.207	1012.017	1014.421	1012.109	1013.949	1013.358	1014.314	1012.908	1014.492	1012.730	1011.046	1013.179	1015.295	1013.976	1013.126	1014.048	1014.459	1014.476	1014.913	1013.175	1011.191	1013.456	1013.506	1013.434	1013.499	1006.980	1009.953	pinger.sprace.org.br	BR	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	AU.AARNET.PERTH.NET	?B	947.509	947.592	947.616	948.556	949.245	947.913	948.023	948.190	947.107	945.710	947.846	947.895	948.161	579.213	.	948.210	947.289	948.089	948.448	948.056	948.118	.	.	.	947.884	947.862	948.146	948.180	948.117	948.192	948.116	948.164	946.302	949.374	946.138	948.233	948.229	947.947	947.959	947.943	948.172	948.274	948.296	948.289	948.259	948.893	947.801	947.019	947.328	948.224	948.244	945.242	942.015	940.541	942.356	942.353	942.235	942.348	936.769	939.486	pinger.sprace.org.br	BR	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	BA.UTIC.NET.N1	?B	1376.105	1385.504	1373.412	1375.005	737.988	1376.228	1373.691	1373.650	1371.891	1370.165	996.710	992.607	1369.406	835.672	.	1367.243	1367.293	1360.385	1364.002	1364.953	1370.639	.	.	.	729.630	1354.566	1358.720	1353.564	1355.403	1357.391	1350.009	575.739	1349.712	1347.997	1348.783	1365.149	1359.024	1356.730	1381.143	1362.758	1358.629	1362.440	1363.429	1360.497	985.096	1362.255	547.490	986.044	1358.352	1363.708	1363.056	1370.350	1357.914	1356.428	1403.742	1414.688	1424.288	1413.616	989.804	1362.813	pinger.sprace.org.br	BR	Latin_America	linhost2.utic.net.ba	BA	Balkans
BR.ORG.SPRACE.N2	BD.DUET.AC.N1	?B	796.260	796.798	797.279	796.123	132.312	796.983	795.511	577.782	578.077	577.184	342.044	164.477	217.038	176.834	.	791.350	797.113	299.527	909.757	179.024	210.866	.	.	.	131.918	145.613	137.676	153.962	248.523	907.899	909.814	241.795	485.917	311.035	157.001	273.879	338.518	455.141	147.554	300.075	333.046	156.351	174.766	447.696	837.962	221.988	797.203	798.021	798.492	123.970	.	801.118	334.773	579.645	151.477	177.972	283.699	795.564	408.840	295.937	pinger.sprace.org.br	BR	Latin_America	www.duet.ac.bd	BD	South_Asia
