#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BR.UNESP.N1	AF.MOD.GOV.AF	?B	467.366	467.082	466.786	339.298	465.795	466.885	469.203	467.470	240.178	240.233	81.099	444.844	95.608	89.425	465.839	140.586	464.564	88.349	91.279	121.181	49.975	466.044	466.939	466.432	466.075	94.789	338.022	464.566	103.538	48.614	146.634	254.322	464.284	333.662	239.223	119.783	338.980	469.383	469.514	468.434	467.216	468.259	39.286	37.209	468.589	468.781	40.041	16.523	11.638	85.262	202.301	129.377	134.591	340.717	327.236	455.330	453.655	457.658	468.091	340.641	pinger.unesp.br	BR	Latin_America	www.mod.gov.af	AF	South_Asia
BR.UNESP.N1	AL.ALBANIAONLINE.NET.N1	?B	156.893	146.449	114.332	160.089	156.392	205.087	199.731	139.645	167.101	197.733	179.090	172.747	182.077	175.623	147.920	180.995	169.458	233.971	161.421	229.801	187.534	165.012	194.002	199.168	178.773	213.098	183.568	187.994	191.832	214.535	177.793	264.585	244.052	411.903	659.152	240.110	216.083	295.247	283.240	251.625	297.891	231.513	204.229	338.148	368.553	351.879	269.941	257.677	226.373	237.133	242.345	173.142	244.970	208.059	278.887	218.189	288.287	262.485	910.831	306.877	pinger.unesp.br	BR	Latin_America	aol1.albaniaonline.net	NET	Balkans
BR.UNESP.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	948.263	.	347.412	198.971	172.098	445.149	318.659	217.185	192.191	264.246	390.428	299.917	203.985	152.429	176.979	226.637	278.026	310.500	120.561	116.498	126.291	101.097	145.865	601.017	678.502	472.621	912.374	1009.559	773.501	1048.583	425.671	1014.979	420.627	954.518	501.252	142.779	407.703	pinger.unesp.br	BR	Latin_America	www.sci.am	AM	Central_Asia
BR.UNESP.N1	AU.AARNET.ADELAIDE.N1	?B	1016.820	1016.708	1016.364	1016.976	1016.288	1015.499	1015.652	1015.950	1015.978	1015.648	1015.410	924.375	921.158	940.749	1015.999	1015.860	1015.290	1015.263	1013.415	1015.608	1015.787	1015.855	1014.985	1015.821	1003.886	1010.146	1015.398	327.502	1015.963	1016.115	991.361	970.057	738.985	1017.528	1013.553	1016.066	1016.096	1015.716	1015.764	1015.617	1014.595	1016.008	1016.313	333.137	1015.941	1015.290	1012.198	1015.892	1015.499	1016.198	1016.283	462.735	1014.789	1014.459	1014.591	1014.404	1015.131	1015.063	1008.346	1011.380	pinger.unesp.br	BR	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	AU.AARNET.BRISBANE.NET	?B	1032.022	1032.003	1031.653	1032.468	1033.601	1033.752	1034.010	1034.262	1034.292	1034.037	1030.104	939.861	936.307	957.199	1034.250	1036.278	1031.859	1033.828	1034.308	1034.039	1034.123	1034.339	1034.094	1036.038	1021.693	1028.221	1033.834	1034.004	1033.801	1033.919	1007.811	985.574	975.083	1036.065	1031.975	1034.187	1033.867	1033.621	1035.668	1033.626	1032.943	1034.277	1034.640	1034.191	1034.224	1033.122	1032.386	1034.211	1034.284	1034.591	1034.610	1032.584	1030.122	1029.833	1029.738	1031.621	1030.547	1030.455	1023.511	1026.548	pinger.unesp.br	BR	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	AU.AARNET.CANBERRA.NET	?B	1065.489	1066.800	1066.383	1066.574	1068.068	1067.605	1066.666	1068.691	1069.182	1068.986	1067.392	967.892	964.146	986.337	1066.986	1067.841	1067.895	1067.639	1069.295	1068.172	1066.576	1069.286	1067.631	1069.455	1055.785	1060.126	1066.712	343.766	1069.281	1069.353	1043.205	1019.656	1006.230	1070.782	1066.704	1069.365	1069.395	1068.961	1068.903	1068.979	1068.670	1069.172	1069.602	486.592	1069.074	1068.212	774.008	1069.077	1069.197	1069.457	1069.501	381.196	1064.701	1064.475	1064.541	1066.457	1065.092	1064.984	1057.641	1061.125	pinger.unesp.br	BR	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	AU.AARNET.HOBART.N2	?B	1012.018	1011.944	1011.725	1012.456	1012.608	1011.169	1011.320	735.168	1011.699	1011.427	1007.610	921.129	917.853	939.482	1011.622	1013.553	1010.960	1011.056	1011.930	1011.415	1011.431	1011.622	1011.627	1011.400	999.530	1005.784	1011.294	1011.461	1011.668	1011.657	986.434	965.355	954.747	1013.267	1009.278	1011.625	1011.648	1011.395	1011.430	1011.336	1011.185	1011.555	1011.976	294.354	1011.526	1010.672	1008.057	1011.426	1011.508	1011.797	1011.880	288.669	1004.653	1004.377	1004.555	1004.319	1005.089	1004.938	998.376	1001.577	pinger.unesp.br	BR	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	AU.AARNET.PERTH.NET	?B	945.815	945.799	945.527	946.157	945.429	944.812	944.893	945.232	945.142	944.940	944.622	865.389	862.407	880.272	945.061	945.033	944.610	944.530	942.947	944.833	945.064	945.073	944.383	945.030	934.708	940.183	944.643	304.695	945.159	945.214	924.769	906.615	895.597	946.458	943.083	945.245	945.198	944.981	944.949	944.901	943.944	945.125	945.443	945.177	945.057	944.443	684.387	945.055	944.777	945.371	945.382	945.347	944.110	943.952	944.001	943.821	944.447	944.377	938.605	941.099	pinger.unesp.br	BR	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	BA.UTIC.NET.N1	?B	1351.187	1361.243	1349.448	1352.308	583.507	980.126	976.395	1344.213	1343.689	1339.435	975.381	1346.731	1347.208	672.640	1340.378	1345.575	1344.288	1351.202	1346.241	1342.835	1341.688	1345.163	1347.488	1345.588	721.333	1344.566	1346.030	1339.690	1345.418	1342.793	1339.481	421.243	1323.409	1337.156	1333.206	1346.230	1343.418	1338.962	1364.263	1346.695	1344.969	1347.903	1351.943	1358.119	1351.029	1356.173	1323.151	1351.238	1352.438	1352.793	1357.112	383.221	1351.872	1348.633	1290.294	1277.193	1281.996	1305.059	1351.917	1287.462	pinger.unesp.br	BR	Latin_America	linhost2.utic.net.ba	BA	Balkans
BR.UNESP.N1	BD.DUET.AC.N1	?B	793.841	794.654	794.464	794.515	577.862	792.821	795.453	793.099	792.524	793.110	261.508	148.449	152.290	98.067	159.728	790.966	577.060	422.825	660.048	328.576	191.577	485.989	658.025	882.619	195.293	113.778	126.209	131.232	659.574	906.973	908.370	660.245	279.604	211.858	124.499	209.777	661.402	298.658	136.635	413.439	204.425	150.253	207.787	356.267	606.889	185.261	795.046	794.681	798.051	112.185	.	794.521	426.912	577.845	205.102	260.572	803.377	804.425	575.709	578.400	pinger.unesp.br	BR	Latin_America	www.duet.ac.bd	BD	South_Asia
BR.UNESP.N1	BJ.GOUV.N1	?B	375.101	191.794	166.256	179.694	138.431	125.529	126.605	320.828	313.622	188.207	209.846	153.907	159.440	175.250	290.604	249.228	170.857	341.667	195.736	259.496	279.514	839.390	593.370	160.807	144.228	212.257	294.276	238.374	979.630	711.844	155.505	183.402	139.999	159.411	186.978	987.615	988.121	244.674	209.419	233.019	243.073	157.481	996.747	724.237	417.378	723.946	404.621	156.521	146.551	247.096	173.835	139.794	160.077	156.539	139.518	149.736	378.604	379.725	124.397	126.694	pinger.unesp.br	BR	Latin_America	waib.gouv.bj	BJ	Africa
BR.UNESP.N1	BO.UMSS.EDU.N1	?M	1451.485	1416.888	1433.142	1473.408	1070.238	1473.675	1473.066	1473.982	1461.267	1465.678	1472.784	1444.630	1532.426	1407.691	1462.001	1476.746	1477.536	670.523	1473.192	1473.164	1473.064	1474.136	1457.491	1466.128	1454.934	1454.782	1443.785	1443.803	1444.932	1460.028	1448.389	465.538	822.165	548.628	1457.059	1486.581	1486.346	1485.915	753.107	405.454	1443.575	1486.543	1487.584	1486.042	1480.478	1474.571	1455.899	1488.358	1488.126	1488.960	1480.355	369.263	1411.267	460.944	1203.791	1183.944	1186.970	1217.594	1297.885	1283.706	pinger.unesp.br	BR	Latin_America	www.umss.edu.bo	BO	Latin_America
BR.UNESP.N1	BY.MTEC.N1	?B	1012.555	584.789	1389.954	1364.474	697.467	523.393	970.261	484.745	1281.005	611.533	1006.209	1397.750	1001.166	1184.858	1369.179	1458.206	990.437	1364.867	474.021	310.252	451.916	424.421	606.454	1018.429	393.190	453.893	716.098	474.404	414.039	708.685	1392.307	610.911	496.969	501.418	406.914	407.824	1303.976	426.497	456.959	459.944	578.087	266.359	443.582	395.233	993.670	1003.450	490.761	383.415	502.798	444.081	983.796	323.726	442.728	511.579	305.082	755.742	1419.348	1441.951	1036.673	731.831	pinger.unesp.br	BR	Latin_America	www.mtec.by	BY	Europe
BR.UNESP.N1	CA.CARLETON.N1	?B	2220.828	2220.141	2217.553	2210.247	2216.773	2218.368	2220.609	2222.320	2220.708	2215.077	585.560	922.805	1799.861	1918.955	2221.177	2216.132	2198.839	2207.266	2220.466	2217.568	2219.246	2219.366	2218.693	1972.777	2222.014	2159.589	350.991	392.553	2222.786	1140.938	1533.190	1992.278	717.317	1136.520	1601.289	1613.494	2223.503	2211.848	1613.691	2222.807	1608.202	1139.314	2220.584	569.481	2215.114	2209.155	2203.222	2220.207	2223.040	2224.434	2224.504	519.665	929.993	2219.757	2219.415	2223.988	2222.662	2220.003	2023.636	1614.932	pinger.unesp.br	BR	Latin_America	ftp.physics.carleton.ca	CA	North_America
BR.UNESP.N1	CA.TRIUMF.N1	?M	1683.604	1683.460	1681.568	861.980	1681.112	490.297	1683.944	1684.931	1683.487	1680.253	1210.806	423.625	1037.598	326.649	1683.904	1685.514	1214.047	1674.939	1683.803	1221.907	1682.430	1222.239	864.170	1221.603	1689.269	1233.186	1682.916	291.340	536.149	1680.309	831.298	1548.664	1540.783	585.552	607.945	1223.363	1684.833	1682.921	1683.357	1221.890	704.125	565.386	1682.457	702.196	861.077	1217.711	1671.716	1032.210	1390.560	1391.148	1390.660	305.064	1589.414	1681.676	1682.162	1681.171	1223.481	946.822	1574.113	1223.938	pinger.unesp.br	BR	Latin_America	sitka.triumf.ca	CA	North_America
BR.UNESP.N1	CH.CERN.N1	?B	1384.251	1383.437	1383.337	1383.817	1384.345	743.636	1387.248	1384.567	1384.415	1385.218	1375.062	1226.014	1204.646	1382.846	1384.616	1385.644	1385.592	1387.012	1344.014	1263.063	917.763	1295.756	1359.266	1324.378	1367.024	1347.895	1333.184	1332.158	1332.160	967.705	1274.812	894.973	620.105	438.285	554.521	1331.825	976.556	1359.042	1359.442	1359.608	565.807	1403.312	1401.524	430.477	1332.994	1331.064	1338.280	1333.976	1333.983	1333.190	969.432	400.465	1334.270	333.865	458.366	1375.090	1378.574	1224.452	1381.456	1375.990	pinger.unesp.br	BR	Latin_America	ping.cern.ch	CH	Europe
BR.UNESP.N1	CH.EPFL.N1	?B	1515.893	1515.919	1515.039	1508.460	1511.852	1524.860	1525.985	1109.110	1526.586	1526.176	1100.745	1335.717	1305.200	1357.309	1526.444	1526.709	1529.363	1525.672	1524.468	1525.849	1526.476	1526.565	1525.949	1510.047	1525.666	1525.321	1520.497	1519.224	1529.596	1524.992	1449.801	1004.167	1104.385	1529.454	1526.675	1529.651	1529.471	1527.372	1518.389	1518.024	1517.494	1518.370	1519.502	1527.691	1528.351	1529.901	1514.313	1512.827	1516.067	1521.722	1521.954	410.185	1516.667	1509.731	1509.988	1509.025	1511.293	1510.917	1503.931	1515.596	pinger.unesp.br	BR	Latin_America	eltca1.epfl.ch	CH	Europe
