#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
CA.TRIUMF.N1	AF.MOD.GOV.AF	?B	514.269	514.041	373.753	512.208	262.692	273.811	509.901	510.237	509.981	262.136	.	.	112.111	509.127	370.403	122.078	370.382	74.255	140.105	126.600	55.894	510.217	262.487	511.350	509.422	125.662	274.019	510.823	136.502	49.994	511.364	259.627	176.318	117.992	115.622	96.421	179.535	371.904	262.599	510.828	273.051	510.753	40.111	39.758	203.480	482.805	47.318	19.301	12.168	82.033	198.531	214.819	104.619	127.244	258.431	262.721	510.641	185.339	371.237	273.960	sitka.triumf.ca	CA	North_America	www.mod.gov.af	AF	South_Asia
CA.TRIUMF.N1	AL.ALBANIAONLINE.NET.N1	?B	203.425	168.482	171.269	196.615	216.115	254.069	320.815	211.085	267.626	277.660	.	.	335.956	252.044	208.175	244.753	272.976	233.637	248.631	316.014	254.123	262.645	271.412	245.884	281.961	333.127	264.587	293.336	265.283	258.701	247.292	485.862	411.916	539.477	431.601	376.366	383.123	375.679	383.831	377.125	491.170	469.623	292.244	367.930	570.405	649.725	372.498	466.666	319.376	361.976	315.157	348.178	305.009	352.373	430.152	498.863	439.179	356.129	1383.319	373.772	sitka.triumf.ca	CA	North_America	aol1.albaniaonline.net	NET	Balkans
CA.TRIUMF.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1229.301	.	386.855	533.054	369.900	595.710	595.760	349.187	577.983	345.415	126.411	390.415	507.968	331.918	288.583	334.622	288.578	878.792	185.351	146.500	169.053	157.068	228.353	420.086	259.194	450.480	154.249	254.434	367.733	377.917	934.348	1290.137	394.469	428.577	405.343	189.321	398.456	sitka.triumf.ca	CA	North_America	www.sci.am	AM	Central_Asia
CA.TRIUMF.N1	AU.AARNET.ADELAIDE.N1	?B	2198.833	2197.653	2198.241	2198.299	1003.252	625.838	2195.555	2195.322	2195.278	2182.731	.	.	2197.290	2192.438	2198.741	2198.856	2198.469	1597.196	2197.184	2198.523	2198.164	2198.823	2196.664	2195.744	2198.680	2198.059	2198.707	2198.251	699.964	2198.704	2197.622	2197.246	2196.476	2196.189	2197.898	2198.806	2198.773	2198.645	2198.467	1596.482	2198.003	1179.798	2198.138	2198.583	2194.869	2194.853	2197.490	2163.234	2117.110	2198.421	1587.661	1580.312	2164.974	2158.303	2164.746	2165.459	2165.921	2166.488	2164.896	2163.774	sitka.triumf.ca	CA	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	AU.AARNET.BRISBANE.NET	?B	2271.090	2269.984	2271.023	2271.457	1218.626	656.686	2268.298	2270.474	2267.146	2254.977	.	.	2269.355	2263.907	2271.016	2271.637	2267.609	1166.488	2268.866	2271.150	861.546	2269.391	2269.012	2265.669	2271.624	2269.971	2271.084	2269.885	723.031	2268.421	2269.347	2268.787	913.596	2267.729	2269.770	2269.958	2268.846	2269.497	2278.217	2268.279	2269.128	1219.044	1648.840	2270.986	2267.103	2267.181	2270.986	2233.881	1590.541	2271.265	2257.053	2255.582	2249.563	2242.584	2249.529	2258.708	2251.527	2251.604	2249.217	1633.175	sitka.triumf.ca	CA	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	AU.AARNET.CANBERRA.NET	?B	2441.161	2444.155	2446.170	2441.586	1114.674	704.848	2438.830	2437.854	2435.813	2428.846	.	.	2442.707	2430.260	2441.092	2442.460	2441.408	2439.532	2441.892	2439.161	2433.176	2446.761	2437.401	2439.343	2446.406	2440.033	2439.172	2429.930	777.401	2446.404	2445.506	2441.794	2445.203	2442.760	2445.885	2446.924	2445.509	2446.709	2439.011	2444.906	1777.403	2446.510	2446.727	1777.759	1774.644	1773.519	2446.189	2401.683	2350.339	2446.117	2430.801	2428.477	2421.525	2412.119	2421.328	1759.792	2422.566	2423.004	2421.367	1757.280	sitka.triumf.ca	CA	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	AU.AARNET.HOBART.N2	?B	2175.434	2174.606	2175.945	2176.463	1158.936	622.357	2147.682	2150.441	2150.187	2135.732	.	.	2148.959	2145.131	2151.808	2151.230	2139.199	1562.787	2145.746	2143.723	816.354	2140.396	2149.597	2149.160	2151.150	2142.395	2151.378	2139.365	684.647	2141.430	2134.841	2149.906	835.172	2146.179	2150.162	2151.815	2140.307	2148.695	2133.186	2149.860	2146.490	1154.849	2145.147	2136.338	2148.088	2151.747	2151.360	2117.090	1067.055	2151.237	2137.511	2145.930	2145.169	1553.890	1558.521	2145.041	2146.224	2146.665	2144.716	2143.298	sitka.triumf.ca	CA	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	AU.AARNET.PERTH.NET	?B	1891.264	1890.293	1891.279	1891.397	863.359	539.313	1889.625	1889.147	1889.809	1881.615	.	.	1890.674	1886.227	1892.005	1892.002	1891.670	1890.944	1891.127	1891.669	1891.335	1891.863	1890.602	1888.612	1891.878	1891.425	1891.631	1891.929	602.297	1891.751	1891.180	1890.966	1890.759	1890.041	1891.206	1891.858	1891.935	1891.825	1891.706	1890.945	1891.383	1015.297	1891.714	972.082	1889.231	1372.116	1891.304	1864.443	1831.547	1891.695	1882.177	1361.664	1866.933	1353.071	1866.527	1866.983	1867.722	1868.093	1866.727	1355.845	sitka.triumf.ca	CA	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	BA.UTIC.NET.N1	?B	1220.292	1651.581	599.336	639.778	617.663	871.499	396.558	702.606	364.705	712.065	.	.	864.712	738.863	562.930	1246.772	570.794	890.533	1741.038	754.073	636.613	1266.091	899.364	1696.163	1711.143	1720.550	1713.731	1726.872	1709.200	527.524	1702.818	881.228	1243.644	1222.303	708.631	1734.278	1741.865	1242.083	1274.626	1155.596	1690.099	1237.206	703.234	1702.436	1230.226	1259.031	1685.966	1695.636	1238.710	1245.244	1259.031	881.400	1228.317	1232.655	1707.050	1712.753	1250.695	1716.987	1277.505	1254.623	sitka.triumf.ca	CA	North_America	linhost2.utic.net.ba	BA	Balkans
CA.TRIUMF.N1	BD.DUET.AC.N1	?B	1367.432	1368.317	996.184	994.709	274.910	1360.168	1346.021	978.481	977.127	1346.117	.	.	270.245	343.782	258.655	1339.095	369.355	427.141	812.002	248.953	227.987	364.280	467.587	559.264	225.359	145.787	161.858	157.625	415.009	811.231	573.289	1113.659	225.123	204.848	174.356	335.069	811.682	365.759	224.805	809.498	327.602	172.427	276.967	1274.481	554.481	1367.347	575.000	705.459	522.282	202.902	.	1364.529	497.693	1373.672	333.183	705.760	1000.553	1004.781	1379.193	412.745	sitka.triumf.ca	CA	North_America	www.duet.ac.bd	BD	South_Asia
CA.TRIUMF.N1	BJ.GOUV.N1	?B	361.393	248.705	226.866	273.691	187.329	169.110	185.590	607.231	388.942	207.435	.	.	189.770	353.628	340.508	501.555	198.316	236.558	203.576	292.348	320.128	607.463	743.972	285.337	213.524	354.707	305.033	330.694	1447.046	421.895	269.583	266.115	278.573	224.024	211.335	1446.595	606.972	203.265	304.611	516.870	310.213	255.174	595.541	1452.869	526.433	1054.841	358.907	272.748	195.469	336.704	279.384	208.603	204.049	179.849	227.021	181.433	823.130	509.260	200.800	194.443	sitka.triumf.ca	CA	North_America	waib.gouv.bj	BJ	Africa
CA.TRIUMF.N1	BO.UMSS.EDU.N1	?M	1091.857	1073.609	534.875	629.080	1509.955	502.820	1503.166	1508.230	400.188	1684.941	.	.	330.776	277.792	373.481	381.078	320.208	328.738	432.392	296.490	372.100	661.063	457.983	302.679	250.685	357.717	357.335	412.538	473.880	359.635	645.044	404.168	328.112	184.373	360.625	372.731	265.938	275.512	195.404	176.007	349.384	339.426	960.688	471.068	219.376	251.721	271.804	300.119	236.799	324.744	271.774	268.804	177.211	261.884	214.763	164.934	191.638	174.413	197.762	180.066	sitka.triumf.ca	CA	North_America	www.umss.edu.bo	BO	Latin_America
CA.TRIUMF.N1	BR.UNESP.N1	?M	1683.978	1499.210	864.361	609.420	1221.551	1677.976	1684.281	1224.469	1221.725	858.682	.	.	476.029	380.904	1684.133	902.297	1671.491	1676.630	553.383	1681.679	1682.972	1222.103	1682.000	1673.977	1689.700	1696.094	1683.328	1684.195	1224.197	861.901	1595.920	1520.412	324.942	520.853	581.279	1683.832	1684.536	1682.998	1223.420	1671.895	862.528	799.858	1223.166	702.105	1678.249	1676.762	356.607	398.870	437.950	446.271	393.781	578.836	479.967	439.013	1222.212	1218.322	1683.942	1675.494	1574.294	1680.628	sitka.triumf.ca	CA	North_America	pinger.unesp.br	BR	Latin_America
CA.TRIUMF.N1	BY.MTEC.N1	?B	1982.028	1983.204	1438.140	1981.999	460.148	1989.866	1980.929	1981.606	1981.458	1982.253	.	.	1993.416	1447.738	1993.274	1992.695	1994.087	1018.097	1436.703	645.482	1445.786	1992.485	1992.028	1991.864	1994.378	1992.289	886.374	1447.459	1992.648	1992.524	1996.555	1447.505	1446.970	1404.945	1992.820	1993.203	1993.075	1993.965	2005.557	1018.623	1432.546	1993.054	1993.080	1992.208	1992.730	1997.290	1446.922	1448.047	1991.597	1991.236	1449.780	1075.204	1447.476	1446.225	1419.518	752.494	1983.222	1984.116	1442.633	1433.700	sitka.triumf.ca	CA	North_America	www.mtec.by	BY	Europe
CA.TRIUMF.N1	CA.CARLETON.N1	?B	5757.509	5749.074	5752.230	5746.983	3084.816	1644.743	5752.569	5751.816	5695.524	5630.186	.	.	5631.921	4142.320	5758.900	5755.711	5748.872	5749.271	5744.201	5665.334	5722.054	4172.273	4149.207	5723.982	5747.967	4846.950	1113.738	5753.932	1784.067	5752.812	5741.730	5729.347	5726.001	5734.380	5502.983	5756.679	5752.618	5659.991	5751.599	5633.177	5738.720	5744.770	5719.827	5705.011	5715.398	5707.233	5743.021	510.464	996.754	522.517	817.148	577.181	3861.429	5600.212	5731.121	5731.466	5745.958	5740.600	4169.322	5632.171	sitka.triumf.ca	CA	North_America	ftp.physics.carleton.ca	CA	North_America
CA.TRIUMF.N1	CH.CERN.N1	?B	1962.758	1962.740	1961.440	1962.882	1938.127	1033.741	1955.861	1960.624	1958.372	1930.762	.	.	667.124	604.966	1961.690	1054.094	1968.123	1965.475	1962.582	1962.379	1963.326	1958.965	1962.074	1451.707	1426.013	1961.971	1960.984	1958.707	1964.041	1427.141	1423.311	1960.707	1940.417	738.647	1897.591	1954.303	1960.182	1960.153	1964.076	1948.137	842.183	2155.345	1563.976	2007.813	1958.750	1963.267	1424.585	385.697	623.541	275.721	365.630	816.681	842.488	1955.401	1998.237	2154.264	1567.339	2121.243	1568.148	2142.981	sitka.triumf.ca	CA	North_America	ping.cern.ch	CH	Europe
CA.TRIUMF.N1	CH.EPFL.N1	?B	2079.139	2082.418	871.583	673.455	1511.604	1503.168	2082.551	2082.326	1509.002	2050.247	.	.	637.723	710.040	1513.255	899.006	2080.857	1509.328	1511.653	1509.106	2088.723	2104.659	1508.867	1496.969	2086.398	1511.507	2078.046	2073.355	1505.362	1063.120	458.150	882.256	774.415	881.597	1494.400	2110.453	2112.779	1509.716	2096.049	2090.411	1527.121	1873.818	1527.948	2087.598	1526.756	768.162	690.428	450.488	2032.632	449.617	272.586	353.395	642.736	2098.490	1530.321	1532.301	1084.638	2095.644	2109.538	1081.842	sitka.triumf.ca	CA	North_America	eltca1.epfl.ch	CH	Europe
