#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
EDU.SDSC.N1	CA.CARLETON.N1	?B	3847.438	3846.603	3843.268	3847.438	3787.437	3843.268	3809.410	3832.467	3847.438	3819.258	1085.393	3847.438	3797.985	3847.438	3842.435	3847.438	3847.438	3844.101	3847.438	3784.204	3843.268	3814.327	3847.438	3802.057	3847.438	1017.143	595.691	3846.603	3844.935	3820.080	3820.080	3837.444	3839.106	3839.938	3703.571	3831.639	3847.438	3839.106	3844.101	3810.229	3762.520	3844.935	3829.983	3837.444	3841.602	3744.244	3813.507	588.661	1287.527	493.277	546.592	367.502	1109.102	3760.126	3841.602	3846.603	3844.935	3807.774	3847.438	3810.229	multivac.sdsc.edu	EDU	North_America	ftp.physics.carleton.ca	CA	North_America
EDU.SDSC.N1	CA.TRIUMF.N1	?M	11192.546	11192.546	11171.388	11192.546	11080.621	11018.641	11192.546	11171.388	11052.988	10998.135	11178.432	11178.432	11171.388	3639.387	11192.546	11192.546	11178.432	11178.432	11192.546	11185.485	10897.613	11192.546	11192.546	10977.705	11164.354	11185.485	11032.354	11192.546	4139.687	11178.432	11178.432	11192.546	11185.485	10559.754	11115.356	11185.485	11185.485	11185.485	11192.546	11136.302	11087.551	11171.388	11192.546	11108.392	11129.312	11087.551	11192.546	10744.845	9860.397	11171.388	3868.753	3013.003	11192.546	10991.316	11171.388	4144.914	10964.127	7754.424	10966.411	10534.161	multivac.sdsc.edu	EDU	North_America	sitka.triumf.ca	CA	North_America
EDU.SDSC.N1	CH.CERN.N1	?B	2096.617	2114.118	2117.400	2075.612	2129.097	1477.033	2135.252	2133.196	2132.940	2127.564	2133.966	2133.966	2133.966	2127.820	2131.145	2125.524	2131.145	2134.737	2036.645	1853.334	1817.789	1931.473	2029.536	1992.917	1969.925	2011.458	2003.955	1390.582	2008.951	2008.041	1972.385	2013.057	621.676	876.010	588.350	2000.112	2036.177	2061.751	2073.082	486.606	2121.708	2160.228	2168.154	2060.313	525.234	971.304	1968.808	1395.638	1137.465	2009.406	1970.595	1139.016	2016.492	2014.658	552.056	2110.594	2109.841	1460.350	1451.892	2105.831	multivac.sdsc.edu	EDU	North_America	ping.cern.ch	CH	Europe
EDU.SDSC.N1	DE.DESY.N1	?M	2105.081	2122.724	2122.724	2123.233	2123.996	2158.125	2159.702	2159.965	2159.439	2153.929	2159.176	2159.965	2159.702	2154.715	2159.965	2153.406	2158.650	2159.702	2156.287	2153.406	2161.545	2154.453	2158.125	2159.965	2116.325	2157.599	2148.448	2157.599	2159.965	2151.838	2122.979	2159.702	2159.702	2141.183	2159.965	2155.763	2159.439	2151.055	2158.650	2154.453	2158.387	2138.600	2159.965	2158.913	2141.700	2123.487	2123.487	2122.470	2074.125	2123.996	2123.233	2123.487	2119.425	2113.614	2123.487	2122.724	2122.979	2116.389	2070.417	2122.979	multivac.sdsc.edu	EDU	North_America	ping.desy.de	DE	Europe
EDU.SDSC.N1	DE.IFH.N1	?r	2064.872	2065.353	2019.625	1430.252	675.407	683.056	834.109	2108.873	.	2106.582	2060.348	2059.615	2060.837	2103.083	2107.584	2105.081	2061.571	2057.176	2058.639	2085.273	1182.808	2088.713	2040.263	1018.695	2054.986	1184.485	1448.980	1182.669	2053.771	2052.315	825.564	2045.548	2047.477	2080.868	1450.863	2097.113	2090.930	2054.743	1453.610	1183.646	2053.285	1447.785	2048.926	2088.467	1014.175	1428.755	2030.722	2067.280	1158.488	2068.245	2028.114	2028.588	2027.640	2020.800	2072.112	2032.147	2070.902	2073.082	2026.458	2066.316	multivac.sdsc.edu	EDU	North_America	znsun1.ifh.de	DE	Europe
EDU.SDSC.N1	DK.NBI.N1	?r	2247.875	2244.176	2252.159	2263.083	2285.253	2284.959	2280.256	2292.641	2288.498	2287.612	2238.216	2289.089	2290.864	2289.384	2289.384	2292.345	2290.272	2291.752	2284.370	2284.370	2289.089	2287.317	2281.724	2287.022	2284.959	2271.201	2270.038	910.580	2285.253	1293.068	2242.840	1117.093	1295.406	2287.907	2289.089	2290.864	1292.235	2291.160	2272.365	2269.166	2289.680	2284.959	2263.950	2289.680	2279.963	2272.365	2287.907	2289.089	2286.432	2287.317	2291.456	2287.317	2289.089	2242.261	2288.498	2289.089	2287.612	2291.456	1580.418	2289.976	multivac.sdsc.edu	EDU	North_America	www.nbi.dk	DK	Europe
EDU.SDSC.N1	EDU.CORNELL.N2	?r	4158.807	4195.219	4170.547	2892.161	4158.807	4176.441	4184.327	4195.219	4196.211	4163.690	2879.280	4188.281	4164.668	4185.315	4184.327	2897.619	4182.353	4172.510	4166.626	4178.410	4184.327	4180.380	4190.261	4171.528	4148.103	2898.303	1665.867	1674.521	4168.585	4192.242	2862.505	4187.292	4161.736	4163.690	4188.281	4190.261	4188.281	4195.219	4193.234	4145.194	2046.030	4179.395	4190.261	4194.226	4188.281	4186.303	4171.528	4160.759	4193.234	4192.242	4195.219	4172.510	4193.234	4172.510	4163.690	4185.315	4195.219	4182.353	2900.356	4176.441	multivac.sdsc.edu	EDU	North_America	lns62.lns.cornell.edu	EDU	North_America
EDU.SDSC.N1	EDU.SLAC.STANFORD.N1	?B	33138.306	32117.742	31268.066	33577.639	33325.176	33262.652	33387.935	32352.178	33514.165	31944.132	32352.178	30254.255	32892.381	33076.480	33387.935	33387.935	33387.935	33076.480	33577.639	33325.176	33076.480	32770.783	33577.639	32892.381	32953.519	33200.362	31886.679	32411.323	33076.480	33076.480	33200.362	32953.519	33514.165	33262.652	33514.165	33262.652	33577.639	32892.381	31715.552	33325.176	32470.684	33200.362	33577.639	33577.639	33450.931	33514.165	33076.480	32590.062	32892.381	33577.639	32770.783	33200.362	33387.935	33325.176	33577.639	32710.320	33200.362	33577.639	32892.381	33577.639	multivac.sdsc.edu	EDU	North_America	ping.slac.stanford.edu	EDU	North_America
EDU.SDSC.N1	EDU.STANFORD.N1	?r	33076.480	32059.663	31378.750	33514.165	33387.935	33450.931	33325.176	32117.742	33387.935	31886.679	25105.703	31323.310	32831.469	32770.783	33577.639	33450.931	33387.935	32953.519	33076.480	33262.652	32953.519	32710.320	33450.931	33076.480	32650.080	33200.362	32293.249	32650.080	32953.519	25995.592	22965.017	22729.479	23024.667	23024.667	23024.667	22846.641	22994.803	22700.376	22272.605	22905.676	22133.575	22817.237	28275.907	32650.080	32176.032	33262.652	32770.783	32590.062	33014.885	33200.362	32892.381	33262.652	33076.480	33138.306	33450.931	32352.178	33325.176	33514.165	32411.323	33450.931	multivac.sdsc.edu	EDU	North_America	argus.stanford.edu	EDU	North_America
EDU.SDSC.N1	EDU.UCSC.N1	?r	30620.023	30202.715	31268.066	31378.750	30940.652	31490.219	31602.484	31378.750	31546.252	31103.497	30672.999	30833.032	31103.497	31490.219	31658.917	31490.219	31158.161	31103.497	31886.679	30833.032	31213.017	30151.349	31715.552	31378.750	30305.972	31434.386	31378.750	31378.750	30672.999	31546.252	31049.025	31886.679	31658.917	31546.252	30409.937	32117.742	32710.320	32530.263	30726.159	30886.748	31602.484	30672.999	32411.323	32059.663	31886.679	31602.484	29947.624	28827.632	31829.432	31715.552	31886.679	31715.552	31829.432	30514.619	30886.748	30994.744	32117.742	30886.748	31715.552	30940.652	multivac.sdsc.edu	EDU	North_America	scipp.ucsc.edu	EDU	North_America
