#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
GOV.DOE.N8	AF.MOD.GOV.AF	?B	292.294	181.073	413.082	305.365	567.414	134.681	180.750	563.707	401.966	289.762	136.093	164.101	131.582	559.864	560.824	120.341	148.641	71.510	207.883	89.771	75.298	561.115	560.668	407.770	288.140	229.614	185.414	560.646	241.776	408.311	561.889	562.605	143.983	408.417	562.305	116.146	127.493	559.990	562.530	127.563	562.332	408.726	408.416	562.068	562.617	562.656	408.281	560.655	560.264	560.337	560.828	561.361	178.559	561.342	407.718	406.597	561.093	560.585	560.646	407.083	pinger.ascr.doe.gov	GOV	North_America	www.mod.gov.af	AF	South_Asia
GOV.DOE.N8	AL.ALBANIAONLINE.NET.N1	?B	331.779	302.500	225.507	369.582	343.441	431.059	412.348	331.956	308.548	553.308	416.268	410.269	506.418	437.036	368.683	451.400	347.999	273.129	492.255	597.311	841.304	445.384	616.953	431.169	430.736	468.815	523.760	459.316	435.221	555.289	656.158	970.625	658.903	867.716	813.753	646.963	657.508	1827.436	735.733	1301.444	720.457	1242.509	387.285	489.175	467.686	891.690	562.686	711.414	540.877	814.921	1063.958	1107.415	838.029	676.546	1359.585	747.265	1061.151	2574.749	819.460	860.994	pinger.ascr.doe.gov	GOV	North_America	aol1.albaniaonline.net	NET	Balkans
GOV.DOE.N8	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	632.585	704.642	469.834	1181.721	1177.645	1190.428	1657.591	886.966	584.432	1235.643	614.496	360.408	548.787	379.421	500.520	510.092	233.416	230.446	219.172	217.938	224.444	1760.557	909.499	871.339	1665.540	1634.651	1721.938	1715.231	466.683	1715.106	538.864	1123.970	624.870	311.709	1296.443	pinger.ascr.doe.gov	GOV	North_America	www.sci.am	AM	Central_Asia
GOV.DOE.N8	AU.AARNET.ADELAIDE.N1	?B	1531.012	1531.069	1523.870	1531.080	1521.921	1518.408	1515.572	1518.541	1518.059	1518.653	1518.518	1517.928	1518.640	1518.459	1518.574	1513.810	1517.754	1518.599	1518.643	1518.278	1518.368	1103.289	1518.603	1518.679	1518.090	1518.275	1518.066	1518.111	1518.393	1518.416	1518.026	1518.448	1506.606	1517.921	1518.150	1513.295	1518.017	1518.099	1518.284	1517.932	1518.118	1518.314	1518.193	1518.213	1518.106	1519.694	1518.203	1517.806	1518.018	1518.385	1518.195	1516.569	1515.144	1515.414	1515.869	1515.782	1515.956	1515.882	1515.956	1513.687	pinger.ascr.doe.gov	GOV	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	AU.AARNET.BRISBANE.NET	?B	1565.993	1566.095	1552.720	1566.198	1565.940	1565.787	1562.808	1565.947	1565.560	1565.990	1565.878	1564.963	1566.059	1565.781	1565.595	1562.453	1564.561	1565.985	1566.034	1565.493	1564.423	1565.845	1565.865	1566.080	1562.847	1564.877	1561.631	1562.518	1562.913	1565.994	1564.254	1565.178	1553.576	1564.983	1564.350	1556.697	1564.492	1565.533	1567.943	1565.419	1565.345	1565.614	1565.556	1565.592	1565.478	1565.495	1565.652	1565.026	1565.371	1565.739	1565.608	1559.023	1556.282	1555.769	1556.314	1560.331	1556.511	1556.434	1556.454	1554.145	pinger.ascr.doe.gov	GOV	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	AU.AARNET.CANBERRA.NET	?B	1647.309	1647.331	1632.818	1646.359	1647.183	1647.051	1643.766	1646.140	1646.482	1647.274	1647.071	1646.425	1647.284	1647.023	1643.093	1646.431	1641.219	1644.159	1645.595	1642.466	1647.065	1647.319	1647.259	1647.343	1647.287	1646.773	1646.452	1647.392	1647.262	1647.409	1647.114	1647.052	1633.568	1646.257	1646.834	1647.003	1646.753	1646.704	1646.921	1646.485	1646.726	1646.842	1646.696	1646.799	1646.630	1646.605	1646.900	1646.401	1646.613	1646.950	1646.870	1639.466	1636.505	1636.214	1636.492	1636.493	1636.615	1636.512	1636.623	1633.916	pinger.ascr.doe.gov	GOV	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	AU.AARNET.HOBART.N2	?B	1520.303	1520.392	1513.813	1520.448	1521.142	1520.067	1516.854	1520.286	1520.221	1520.285	1520.185	1519.309	1519.939	1520.156	1520.425	1516.539	1519.258	1518.359	1519.758	1519.877	1516.898	1520.398	1518.250	1520.354	1515.566	1519.732	1520.058	1518.890	1512.473	1520.307	1514.537	1519.783	1508.748	1519.081	1519.063	1514.108	1519.769	1519.782	1520.012	1519.701	1519.740	1518.152	1520.023	1520.016	1519.905	1518.114	1519.903	1519.525	1519.718	1520.075	1519.981	1509.242	1504.752	1504.366	1504.833	1504.649	1504.895	1504.790	1504.784	1502.676	pinger.ascr.doe.gov	GOV	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	AU.AARNET.PERTH.NET	?B	1375.695	1375.684	1370.285	1375.726	1368.355	1365.386	1363.196	1365.655	1365.381	1365.737	1365.586	1365.012	1365.693	1365.530	1365.644	1362.060	1364.445	1365.638	1365.705	1365.375	1365.473	1365.345	1365.666	1365.720	1365.283	1365.344	1365.246	1365.280	1365.597	1365.643	1365.170	1365.298	1356.229	1365.116	1365.304	1361.701	1365.171	1365.199	1364.943	1365.176	1365.206	1365.401	1365.333	1365.358	1365.310	1366.817	1365.411	1365.057	1365.191	1365.459	1365.371	991.116	1362.822	1363.012	1363.473	1363.442	1363.513	1363.484	1363.511	1361.653	pinger.ascr.doe.gov	GOV	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
GOV.DOE.N8	BA.UTIC.NET.N1	?B	2967.357	2989.439	2972.835	2976.994	2927.291	780.187	2949.656	2959.788	2968.211	2960.078	2958.744	2959.273	2939.865	2941.605	2978.052	2964.369	2949.286	2936.592	2921.857	2852.255	2858.269	2867.224	2883.138	2849.382	2844.958	2847.152	2847.361	2815.038	2867.223	2853.002	2818.014	2822.055	2842.615	2826.598	2739.455	2626.719	2727.136	2776.774	2846.222	2775.006	2780.635	2781.067	2816.687	2809.280	2779.490	2798.989	2809.598	2780.530	2751.075	2791.033	2788.919	2769.273	2780.879	2768.669	2760.499	2759.904	2795.462	2777.046	2800.722	2043.779	pinger.ascr.doe.gov	GOV	North_America	linhost2.utic.net.ba	BA	Balkans
GOV.DOE.N8	BD.DUET.AC.N1	?B	1194.841	1195.517	1196.345	868.946	1188.118	1187.684	1175.778	630.931	388.952	1175.404	387.061	424.013	231.128	490.013	323.054	1172.159	1180.217	1142.264	537.513	378.499	236.798	388.325	350.051	1083.054	407.672	144.296	131.677	183.880	576.663	793.029	1124.769	605.391	311.301	324.997	178.538	434.564	752.762	225.445	240.812	604.694	419.269	168.121	229.044	1188.435	861.849	1191.393	1188.374	636.021	1173.761	149.318	.	1191.364	497.895	610.890	275.345	270.773	1196.193	1197.409	515.969	433.311	pinger.ascr.doe.gov	GOV	North_America	www.duet.ac.bd	BD	South_Asia
