#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
GOV.ESNET.NOC.N4	AF.MOD.GOV.AF	?B	519.958	161.147	520.315	359.913	518.967	145.827	103.230	516.541	348.675	358.092	516.821	510.384	517.503	490.409	514.327	514.537	514.793	514.893	508.568	514.762	357.282	515.839	516.235	515.899	515.274	514.924	357.068	514.211	515.275	491.310	516.805	517.171	515.065	507.792	71.077	41.262	31.472	45.165	40.365	50.802	48.025	119.269	42.914	38.945	41.363	50.151	43.113	88.513	92.077	112.911	84.210	41.817	68.065	35.813	43.957	116.265	159.440	514.014	66.157	355.560	pinger.es.net	NET	North_America	www.mod.gov.af	AF	South_Asia
GOV.ESNET.NOC.N4	AL.ALBANIAONLINE.NET.N1	?B	212.416	216.946	175.681	220.012	307.723	266.886	188.919	230.968	190.491	356.520	367.819	283.865	331.389	225.817	220.377	239.582	302.995	240.470	328.049	381.293	473.328	330.390	270.174	408.869	358.529	270.645	300.674	344.418	311.621	316.080	260.864	1208.272	705.330	464.073	652.051	378.469	447.368	428.821	468.541	591.989	474.165	686.869	339.725	367.377	620.017	397.658	394.898	409.090	468.521	539.776	599.182	856.416	411.014	557.043	1256.394	606.512	538.795	1228.156	504.646	694.405	pinger.es.net	NET	North_America	aol1.albaniaonline.net	NET	Balkans
GOV.ESNET.NOC.N4	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1361.063	.	357.224	234.658	417.199	631.700	446.887	1306.324	287.233	657.367	352.378	653.859	535.846	292.666	327.111	375.729	404.218	924.409	248.580	170.584	185.712	165.754	248.820	614.306	669.637	1137.938	671.093	1251.510	1300.813	1297.114	1296.697	900.829	431.614	1215.128	614.476	259.999	654.022	pinger.es.net	NET	North_America	www.sci.am	AM	Central_Asia
GOV.ESNET.NOC.N4	AU.AARNET.ADELAIDE.N1	?B	2042.477	2042.333	2031.650	2037.961	2037.040	2030.317	2030.129	2031.095	2030.556	2028.737	2026.102	2028.585	2030.032	2027.863	2030.760	2030.261	2030.369	2024.005	2030.228	2030.594	2030.570	2030.758	2030.659	2030.566	2027.092	2030.189	2029.299	2030.856	2031.224	2028.811	2030.740	2027.750	2030.033	2030.261	2029.852	2029.191	2030.057	2030.083	2026.108	2030.001	2029.979	2029.843	2030.074	2029.947	2029.772	2026.817	2029.000	2029.855	2029.944	2030.173	2030.102	1404.382	2021.528	2025.772	2025.886	2008.543	2005.151	2005.165	2005.124	2001.581	pinger.es.net	NET	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	AU.AARNET.BRISBANE.NET	?B	2105.171	2105.128	2085.675	2100.303	2104.578	2104.768	2104.512	2105.521	2104.801	2103.096	2101.814	2103.058	2104.063	2104.476	2105.287	2104.139	2104.742	2100.565	2103.904	2105.044	2104.319	2105.266	2102.975	2096.826	2098.545	2101.324	2102.388	2104.059	2100.940	2104.482	2103.786	2100.819	2103.434	2104.720	2101.844	2102.899	2103.704	2104.178	2106.024	2104.319	2103.811	2103.849	2104.404	2101.608	2102.901	2098.095	2103.740	2104.350	2104.337	2104.624	2104.586	2093.180	2084.251	2087.668	2087.881	2077.678	2066.073	2066.012	2065.992	2060.654	pinger.es.net	NET	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	AU.AARNET.CANBERRA.NET	?B	2255.160	2253.865	2225.628	2249.369	2253.675	2253.843	2252.488	2249.023	2251.065	2249.366	2250.349	2251.710	2252.175	2254.634	2246.069	2252.647	2254.598	2243.025	2248.644	2253.396	2249.929	2249.883	2250.160	2247.714	2246.016	2245.457	2246.981	2254.942	2254.115	2250.894	2248.488	2248.373	2246.875	2254.097	2253.713	2253.949	2253.837	2253.898	2250.535	2253.769	2253.740	2253.844	2254.127	2253.980	2253.787	2248.332	2252.728	2253.675	2253.574	2253.960	2253.714	2240.805	2230.222	2234.470	2234.699	2213.524	2209.242	2209.387	2209.301	2202.472	pinger.es.net	NET	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	AU.AARNET.HOBART.N2	?B	2023.578	2023.510	2013.399	2019.769	2018.862	2012.829	2012.428	2013.450	2013.131	2011.302	2008.965	2010.725	2012.848	2013.100	2013.404	2011.037	2013.421	2005.645	2012.566	2011.995	2011.255	2013.193	2012.359	2007.826	2009.078	2012.630	2009.378	2013.211	2011.384	2000.352	2003.669	2009.253	1999.090	2011.901	2003.214	2012.685	2011.928	2004.696	2002.026	2011.763	2012.494	2003.689	2005.179	2001.979	2012.429	2008.733	2011.802	2012.133	2012.336	2012.685	2012.774	1994.775	1982.130	1986.095	1986.222	1969.426	1966.169	1966.262	1966.206	1962.154	pinger.es.net	NET	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	AU.AARNET.PERTH.NET	?B	1775.221	1774.903	1766.115	1771.480	1770.837	1765.847	1765.777	1766.338	1766.205	1764.573	1763.206	1764.661	1765.280	1764.146	1766.252	1765.778	1765.930	1760.894	1765.821	1766.031	1766.102	1766.163	1766.099	1766.100	1763.660	1765.523	1765.043	1766.279	1766.521	1764.679	1766.164	1763.159	1765.651	1765.754	1765.574	1764.697	1765.645	1765.715	1763.072	1765.648	1765.611	1765.552	1765.732	1765.466	1765.421	1763.980	1764.976	1765.441	1765.591	1765.720	1765.690	1763.422	1758.883	1762.510	1762.500	1749.381	1746.772	1746.792	1746.791	1743.516	pinger.es.net	NET	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
GOV.ESNET.NOC.N4	BA.UTIC.NET.N1	?B	2005.239	1375.012	2003.794	1978.962	1960.997	677.481	1956.200	1962.188	1959.702	1972.248	1366.260	1967.460	1993.968	1998.483	1993.935	975.593	2003.413	1991.199	1961.862	1920.246	1928.533	1931.302	1944.373	1935.899	1921.626	1910.532	1917.407	1917.091	1950.844	1914.820	1896.088	1315.006	1901.791	1943.692	1302.103	1808.155	1820.510	1875.906	1904.182	1185.970	1787.358	1775.197	1858.649	1881.768	1854.843	1860.297	1864.647	1862.137	1862.114	1870.640	1881.166	1863.220	1881.863	1895.058	1895.023	1915.676	1937.308	1939.206	1918.211	1909.205	pinger.es.net	NET	North_America	linhost2.utic.net.ba	BA	Balkans
GOV.ESNET.NOC.N4	BD.DUET.AC.N1	?B	1486.835	1484.275	1480.647	1481.114	1483.148	1469.442	1458.469	1458.491	1456.644	1457.840	1000.220	315.678	255.705	332.652	367.800	1456.314	1019.560	1400.647	1262.228	274.603	328.405	435.141	872.519	759.349	245.815	192.779	158.146	157.542	397.190	807.441	555.452	1130.881	311.601	249.345	160.739	238.345	864.911	323.274	199.871	553.457	491.748	189.525	347.944	1474.793	1474.772	1024.816	1477.942	1475.898	242.768	191.176	.	1475.542	1016.457	1475.604	341.543	479.439	1042.717	738.750	600.723	518.354	pinger.es.net	NET	North_America	www.duet.ac.bd	BD	South_Asia
