#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
IN.CDACMUMBAI.N1	AF.MOD.GOV.AF	?B	200.904	129.363	187.948	265.743	265.590	261.122	230.471	216.587	290.521	138.467	97.828	186.415	153.692	152.297	221.303	433.396	78.919	76.918	142.947	213.653	47.849	.	.	.	120.673	157.082	212.678	209.697	159.234	63.623	251.523	166.702	215.234	195.087	126.889	40.714	126.482	152.140	154.924	184.895	509.094	205.404	511.873	180.465	182.192	78.281	125.702	174.936	187.443	377.926	519.234	519.732	80.383	368.915	371.331	367.719	213.197	216.862	260.779	258.695	pinger.cdacmumbai.in	IN	South_Asia	www.mod.gov.af	AF	South_Asia
IN.CDACMUMBAI.N1	AL.ALBANIAONLINE.NET.N1	?B	215.277	252.871	212.082	322.770	291.414	343.522	389.902	258.816	363.311	313.441	353.853	348.736	291.169	341.499	297.932	326.732	311.841	298.743	319.853	379.030	690.464	.	.	.	319.988	322.236	278.772	289.894	340.387	252.994	218.741	376.134	288.173	338.651	339.298	312.831	377.962	677.085	475.308	296.373	594.638	436.533	299.770	308.086	349.319	174.569	222.685	342.496	474.102	830.747	434.504	544.934	517.559	549.968	985.435	449.739	491.552	558.090	542.365	515.985	pinger.cdacmumbai.in	IN	South_Asia	aol1.albaniaonline.net	NET	Balkans
IN.CDACMUMBAI.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	354.392	376.152	653.772	641.430	410.410	330.142	295.392	385.671	444.233	270.272	251.950	290.612	297.048	280.656	197.677	376.785	221.204	179.155	150.005	153.674	250.877	606.038	1006.173	596.332	828.474	956.814	722.197	596.134	422.554	509.551	496.853	929.310	970.831	249.863	527.668	pinger.cdacmumbai.in	IN	South_Asia	www.sci.am	AM	Central_Asia
IN.CDACMUMBAI.N1	AU.AARNET.ADELAIDE.N1	?B	694.601	1456.622	492.584	1184.874	1634.270	495.796	1190.164	1646.604	1469.582	840.051	580.571	530.487	1179.694	685.106	1625.123	920.228	394.966	829.740	1633.088	1630.767	1572.154	.	.	.	1167.726	1150.974	1165.561	1555.927	1618.266	1167.908	806.155	819.742	883.822	320.580	420.616	1171.284	594.159	474.187	576.529	583.602	1461.667	673.664	1170.582	299.251	1616.298	1145.984	687.352	1199.878	1167.542	1649.116	1644.334	689.444	1629.376	1184.997	534.216	1183.230	1648.441	927.212	1201.481	1649.323	pinger.cdacmumbai.in	IN	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	AU.AARNET.BRISBANE.NET	?B	598.250	662.895	1247.555	411.223	742.590	552.299	966.814	1253.949	969.042	746.046	1217.379	886.466	885.248	524.377	1254.359	969.216	345.097	637.243	1725.814	1250.879	1022.588	.	.	.	1694.251	1224.192	1222.995	1211.568	1220.676	1682.620	608.455	546.824	703.414	469.215	449.964	615.552	411.417	461.344	611.384	1213.977	871.432	1659.120	1226.980	329.504	1214.249	1617.334	863.439	626.538	938.420	969.441	715.593	559.847	867.388	1236.535	1244.174	1699.584	1724.411	1726.080	1724.398	1719.901	pinger.cdacmumbai.in	IN	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	AU.AARNET.CANBERRA.NET	?B	758.113	1770.324	996.574	1770.825	1778.726	483.564	1294.649	1301.838	1299.122	919.097	730.955	1298.296	748.275	525.118	917.309	913.066	409.908	640.814	1785.253	1293.039	1734.815	.	.	.	979.561	974.794	728.229	1705.831	1710.542	1732.714	731.118	631.132	527.535	563.877	481.777	737.448	634.538	569.302	559.926	889.172	1752.481	636.203	1741.905	378.310	1722.084	1204.524	1283.092	1786.743	1740.194	1591.737	1299.711	1781.552	1268.545	741.337	740.929	739.312	1791.055	1299.926	1794.045	1300.900	pinger.cdacmumbai.in	IN	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	AU.AARNET.HOBART.N2	?B	524.331	840.928	1186.665	497.467	837.423	500.088	1627.373	842.144	1642.339	751.594	1160.320	831.289	1176.217	428.679	678.175	833.309	321.653	1169.633	1449.734	838.354	1566.304	.	.	.	709.401	1558.071	1630.233	1139.368	1162.669	1151.122	514.503	469.710	509.711	703.675	1150.602	519.625	436.436	670.884	514.102	672.170	873.256	1168.087	1150.571	332.372	668.181	1123.208	1612.710	1455.210	1588.259	1191.238	1185.416	1186.563	1621.024	1167.000	1184.042	834.263	840.402	1190.813	1647.197	1184.951	pinger.cdacmumbai.in	IN	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	AU.AARNET.PERTH.NET	?B	1642.677	2439.427	3366.315	1193.879	1722.964	1132.293	2458.787	1745.389	2446.598	2477.341	1629.854	2448.905	1726.240	1426.763	3021.373	997.283	661.209	1220.825	1516.213	3367.147	3198.037	.	.	.	1524.277	1276.618	3277.994	2273.067	3068.923	1718.297	1577.218	1376.123	879.288	1043.258	1079.283	1095.473	1171.154	1053.488	840.396	1142.002	2328.521	2308.097	3070.635	637.658	3112.801	2182.653	2357.665	1461.430	1648.659	3375.417	3322.442	3347.037	2368.767	1387.910	3317.792	2384.230	2466.195	3374.568	3383.202	2449.713	pinger.cdacmumbai.in	IN	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
IN.CDACMUMBAI.N1	BA.UTIC.NET.N1	?B	592.248	604.908	1049.611	1394.675	522.659	1041.732	1046.357	741.134	601.430	732.310	1429.715	724.149	745.722	525.737	611.806	755.615	369.366	739.115	1055.785	1421.338	1383.243	.	.	.	646.576	916.700	403.579	506.200	1260.563	1280.593	300.322	426.188	337.075	473.892	667.479	291.515	390.432	302.461	319.925	172.539	1076.797	266.365	1266.374	603.613	511.066	184.790	275.731	710.048	1055.888	468.789	648.212	736.631	313.503	730.698	745.132	1034.863	506.906	742.279	841.964	1057.537	pinger.cdacmumbai.in	IN	South_Asia	linhost2.utic.net.ba	BA	Balkans
IN.CDACMUMBAI.N1	BD.DUET.AC.N1	?B	1505.529	2983.376	3007.770	1654.205	709.071	1312.234	966.542	1838.785	2997.344	2947.272	1503.930	1099.441	932.974	752.138	825.599	2291.993	622.333	1190.486	742.857	806.205	685.456	.	.	.	373.851	196.284	209.695	193.560	431.205	626.407	402.917	351.880	295.313	434.627	260.162	481.702	844.046	453.827	231.491	394.694	255.166	196.247	646.601	826.692	2772.337	953.095	969.965	1595.733	3779.752	437.560	.	1681.184	1377.494	1270.799	840.736	1468.921	4096.575	1206.547	1170.983	1097.870	pinger.cdacmumbai.in	IN	South_Asia	www.duet.ac.bd	BD	South_Asia
