#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
IT.ICTP.N1	AF.MOD.GOV.AF	?B	450.223	350.654	60.932	41.574	97.438	190.580	229.072	447.469	615.896	616.518	614.477	614.572	182.414	604.599	611.703	208.771	431.053	612.108	606.073	611.302	435.439	611.841	612.580	612.551	612.357	611.416	611.687	611.804	611.523	608.710	613.096	614.864	611.543	614.139	56.102	34.647	32.964	40.160	37.839	50.905	46.571	237.131	46.202	42.824	59.262	85.433	46.123	75.436	219.933	145.637	234.256	51.146	45.390	45.697	44.866	447.924	175.578	615.707	81.942	85.019	pinger.ictp.it	IT	Europe	www.mod.gov.af	AF	South_Asia
IT.ICTP.N1	AL.ALBANIAONLINE.NET.N1	?B	434.378	373.994	363.722	482.858	533.007	596.929	854.052	527.595	560.389	807.488	471.226	682.674	625.155	723.317	631.368	583.208	753.354	538.067	666.004	663.287	807.154	637.036	617.203	778.801	889.863	689.639	652.813	689.399	736.110	610.249	931.781	1256.045	1656.884	2034.127	1020.271	728.968	683.837	3852.080	927.377	812.531	860.870	1007.956	982.360	859.379	1218.610	1129.917	776.746	777.656	757.026	930.352	1468.995	947.451	1196.504	1133.261	1348.468	887.228	979.586	1163.010	1556.589	1044.470	pinger.ictp.it	IT	Europe	aol1.albaniaonline.net	NET	Balkans
IT.ICTP.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1678.662	1388.541	881.143	2076.131	1038.473	640.788	1166.078	1092.285	2089.366	941.142	701.799	559.917	792.822	922.721	860.950	1128.110	463.502	330.691	423.496	389.592	466.607	1180.853	2232.840	2112.735	2826.888	2688.560	2990.457	3034.853	3055.543	850.938	1976.513	2209.322	1001.444	740.717	1342.914	pinger.ictp.it	IT	Europe	www.sci.am	AM	Central_Asia
IT.ICTP.N1	AU.AARNET.ADELAIDE.N1	?B	985.350	991.975	987.547	992.894	990.077	994.455	993.177	992.103	992.683	994.753	989.396	993.632	990.435	993.938	995.614	996.523	996.151	999.700	995.310	1000.937	966.619	980.994	988.957	991.554	994.132	984.173	996.601	989.101	990.080	1001.782	999.429	1000.085	992.601	989.625	996.331	992.799	992.804	986.546	987.454	988.113	987.589	987.371	988.055	988.984	987.676	983.176	987.006	991.681	983.218	994.698	995.317	989.483	978.385	970.201	919.631	976.295	988.246	989.045	993.281	985.530	pinger.ictp.it	IT	Europe	adl-a-ext1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	AU.AARNET.BRISBANE.NET	?B	1015.742	1015.587	1013.394	1017.840	1013.805	1018.304	1017.591	1016.710	1018.542	1018.574	1014.806	1017.449	1023.137	1027.436	1027.868	1026.751	1025.432	1026.233	1026.553	1026.915	993.458	1014.881	1017.356	1021.919	1023.205	1022.084	1025.521	1026.204	1027.254	1027.516	1025.072	1025.937	1019.515	1015.168	387.306	1011.538	1011.246	1008.471	1007.122	1007.234	1008.010	1006.643	1006.877	1007.134	1007.307	1003.507	1006.912	1012.501	1002.231	1015.781	1015.699	1011.648	1000.824	992.430	940.020	999.574	1011.259	1012.034	1015.978	1008.179	pinger.ictp.it	IT	Europe	bne-a-ext1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	AU.AARNET.CANBERRA.NET	?B	1038.210	1038.087	1035.384	1040.527	1035.779	1040.868	1040.150	1040.800	1041.015	1041.182	1038.709	1039.708	1045.210	1048.132	1050.913	1049.072	1048.370	761.445	1049.678	1049.766	1014.859	1037.319	1039.883	1042.064	1046.028	1042.603	1047.319	1049.343	1050.260	1050.131	1043.100	1045.169	1041.206	1035.809	1045.383	1039.756	1039.781	1036.220	1034.176	1034.922	1035.820	1033.996	1034.491	1034.867	1034.129	1029.423	1033.362	1038.432	1028.971	1042.599	1042.539	1037.475	1026.791	1017.806	962.932	1024.599	1037.810	1038.652	1043.347	1034.614	pinger.ictp.it	IT	Europe	cbr-a-ext1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	AU.AARNET.HOBART.N2	?B	978.383	982.203	981.696	987.774	982.097	988.942	987.479	988.451	986.663	987.776	983.034	986.018	983.541	985.851	989.776	989.540	989.068	993.308	989.464	994.482	959.072	975.915	981.060	982.788	987.284	977.078	990.326	982.832	504.054	994.578	988.306	990.178	986.745	982.374	375.881	985.241	985.241	978.005	978.558	980.452	977.787	980.522	980.529	981.158	978.894	977.474	980.534	985.599	976.163	989.049	989.010	986.315	710.438	969.415	918.825	975.494	987.451	988.204	992.297	984.368	pinger.ictp.it	IT	Europe	hba-a-pm1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	AU.AARNET.PERTH.NET	?B	1428.210	1428.170	1423.574	1432.551	1424.342	1433.298	1431.926	1433.124	1433.485	1433.847	1430.280	1431.646	1443.492	1451.849	1452.427	1449.623	1447.733	1449.362	1452.309	1450.486	1384.814	1426.584	1431.468	1440.554	1443.082	1441.078	1447.681	1449.407	1451.209	1451.763	1446.713	1449.386	1435.650	485.388	1306.795	1123.427	1123.471	1119.304	1116.828	1117.807	1118.672	1117.005	1117.255	1116.372	1118.436	1113.310	1117.608	1153.781	1110.091	1127.424	1128.247	1141.088	1106.490	1096.044	1032.797	1103.874	1119.203	1120.201	1125.448	1115.605	pinger.ictp.it	IT	Europe	per-a-ext1.aarnet.net.au	AU	Oceania
IT.ICTP.N1	BA.UTIC.NET.N1	?B	9193.753	9271.953	9191.322	9092.388	9339.642	9107.625	9271.623	9156.393	9221.402	9188.225	9180.812	9132.330	9355.028	8844.314	9127.402	9322.973	9072.548	9061.438	9168.117	9004.855	9062.587	9043.864	9126.153	8932.833	8837.207	8834.997	8629.952	8555.093	8816.061	9193.324	6412.300	8845.267	8657.927	7579.538	5505.285	9275.135	9089.293	8734.759	9013.609	9005.981	4593.363	8886.740	8972.580	8806.725	8807.783	8994.166	8994.777	9006.511	9225.260	9344.239	9212.690	9257.834	9000.284	9116.373	8878.658	9152.234	9065.645	8760.232	9280.165	8175.137	pinger.ictp.it	IT	Europe	linhost2.utic.net.ba	BA	Balkans
IT.ICTP.N1	BD.DUET.AC.N1	?B	378.773	876.978	877.509	636.669	634.869	778.105	870.997	632.148	869.272	467.373	296.004	177.328	161.081	362.680	156.914	868.347	366.568	278.821	886.167	292.732	271.046	1219.045	303.464	549.856	251.193	154.139	130.792	163.824	1204.910	764.395	479.607	590.418	291.927	352.800	166.019	178.123	1052.960	185.368	230.789	560.773	465.113	192.191	211.065	882.596	460.078	399.967	876.303	877.014	482.384	90.571	.	487.643	367.659	636.371	153.677	271.365	879.769	879.082	879.748	318.345	pinger.ictp.it	IT	Europe	www.duet.ac.bd	BD	South_Asia
