#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
JO.SESAME.ORG.N1	AF.MOD.GOV.AF	?B	303.313	300.477	428.971	590.535	587.682	563.385	413.838	290.236	416.766	174.803	96.661	288.129	205.673	239.501	287.769	198.624	415.568	72.629	175.561	114.563	61.331	401.252	293.842	293.349	291.561	176.073	117.743	414.429	144.608	82.470	415.742	203.341	413.740	413.328	207.529	133.151	295.110	311.683	156.581	243.828	238.368	140.857	202.954	424.410	252.117	180.485	239.435	205.337	210.723	240.131	574.698	295.233	127.470	417.251	242.725	171.233	299.431	189.013	252.965	244.135	pinger.sesame.org.jo	JO	Middle_East	www.mod.gov.af	AF	South_Asia
JO.SESAME.ORG.N1	AL.ALBANIAONLINE.NET.N1	?B	531.335	463.173	407.124	543.342	887.424	869.141	536.138	643.916	711.555	787.893	804.118	1234.237	554.423	599.344	808.804	479.215	455.935	431.583	570.913	595.652	602.498	556.137	620.599	680.377	561.117	593.668	444.333	385.777	328.486	489.563	755.972	804.637	733.225	1254.169	2306.150	602.565	611.858	777.876	632.915	989.880	1001.658	342.950	573.522	547.933	480.260	589.505	756.223	678.444	411.619	721.758	638.601	537.171	597.082	868.485	1309.397	1744.357	1013.890	988.710	942.554	1013.249	pinger.sesame.org.jo	JO	Middle_East	aol1.albaniaonline.net	NET	Balkans
JO.SESAME.ORG.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	165.355	.	1595.101	466.090	2485.057	2269.537	1802.022	1804.075	685.522	1800.224	877.667	1277.106	1838.264	1294.934	1362.302	886.718	988.609	1040.905	697.730	401.793	815.979	810.090	379.874	858.307	786.233	1244.354	1215.306	397.141	2464.620	705.774	361.357	575.349	603.357	914.794	554.271	315.249	876.077	pinger.sesame.org.jo	JO	Middle_East	www.sci.am	AM	Central_Asia
JO.SESAME.ORG.N1	AU.AARNET.ADELAIDE.N1	?B	970.501	695.534	969.530	971.372	498.032	951.153	676.815	935.967	489.177	949.238	933.744	941.905	903.103	487.034	486.139	690.330	692.192	387.349	679.229	312.511	689.852	938.508	396.119	689.910	306.006	342.701	305.108	689.733	940.556	689.874	398.424	240.969	677.827	480.476	678.313	276.520	489.739	353.925	310.273	350.367	311.867	226.785	274.550	356.692	411.880	687.584	483.934	683.339	343.083	344.798	346.896	956.814	952.113	278.555	476.960	486.143	273.263	421.149	502.096	407.962	pinger.sesame.org.jo	JO	Middle_East	adl-a-ext1.aarnet.net.au	AU	Oceania
JO.SESAME.ORG.N1	AU.AARNET.BRISBANE.NET	?B	997.777	980.794	994.282	997.719	999.840	969.414	688.378	947.639	966.921	962.519	685.207	954.240	913.618	697.767	494.611	416.351	968.092	673.935	689.954	490.122	490.873	686.606	688.252	412.494	350.744	948.652	358.718	490.392	486.463	696.239	957.346	644.268	342.607	683.431	683.788	341.267	348.244	711.169	356.105	408.077	313.644	293.737	337.569	293.215	988.718	489.594	400.278	397.297	691.713	694.652	698.658	963.800	402.792	399.874	393.713	344.588	416.353	512.734	513.235	360.246	pinger.sesame.org.jo	JO	Middle_East	bne-a-ext1.aarnet.net.au	AU	Oceania
JO.SESAME.ORG.N1	AU.AARNET.CANBERRA.NET	?B	1004.836	993.390	1008.068	1010.708	730.454	980.364	440.438	968.296	715.332	982.081	700.699	969.234	477.301	714.970	504.619	989.009	358.709	694.833	190.149	713.667	412.078	499.210	408.391	505.379	706.289	707.756	711.675	713.089	707.260	412.474	714.875	661.053	701.419	373.805	495.375	496.352	414.398	733.597	349.158	516.271	417.379	175.819	348.352	739.587	210.900	420.482	971.104	407.298	503.136	229.009	359.374	509.334	488.597	960.773	941.904	415.155	738.458	522.306	369.852	513.364	pinger.sesame.org.jo	JO	Middle_East	cbr-a-ext1.aarnet.net.au	AU	Oceania
JO.SESAME.ORG.N1	AU.AARNET.HOBART.N2	?B	973.427	959.170	974.082	973.225	969.605	942.414	670.283	920.199	938.611	935.832	920.022	928.681	647.104	933.395	479.635	481.004	451.291	464.742	669.846	480.619	683.297	922.557	301.781	481.183	389.596	927.732	388.119	934.728	675.689	482.078	937.712	443.835	920.756	386.946	473.963	386.984	482.199	492.593	257.444	399.822	487.611	216.651	380.878	703.687	351.322	479.661	933.388	673.856	677.577	680.539	342.352	686.017	940.759	475.657	293.753	390.584	693.478	316.848	697.241	346.877	pinger.sesame.org.jo	JO	Middle_East	hba-a-pm1.aarnet.net.au	AU	Oceania
JO.SESAME.ORG.N1	AU.AARNET.PERTH.NET	?B	904.728	892.952	903.419	659.997	908.358	886.371	466.588	873.914	889.344	887.343	872.470	881.536	845.231	454.428	643.491	645.930	645.899	363.546	628.859	878.401	452.192	635.942	875.893	882.655	318.007	450.276	287.872	451.443	317.080	453.753	880.841	240.051	867.481	869.742	446.166	395.869	370.522	463.091	263.721	246.202	647.659	269.761	360.457	295.507	295.732	368.870	318.583	448.323	368.546	321.133	288.098	888.103	642.174	291.942	317.715	372.305	233.897	470.645	914.934	467.893	pinger.sesame.org.jo	JO	Middle_East	per-a-ext1.aarnet.net.au	AU	Oceania
JO.SESAME.ORG.N1	BA.UTIC.NET.N1	?B	3487.569	2396.967	2534.399	3481.159	2511.019	782.127	2757.125	2760.579	2986.298	495.192	554.627	1266.225	1128.848	819.784	1600.554	1539.342	2157.469	874.870	2095.396	1215.429	2958.664	2108.429	1091.706	2159.406	1446.375	2873.207	2045.132	1228.415	2624.930	1098.485	1510.785	806.337	2834.895	1987.260	1353.462	2025.877	2885.233	1038.637	2881.394	1048.489	866.522	597.681	2712.472	3225.730	1359.906	3179.073	2115.368	1986.765	1469.697	1482.809	2160.286	2947.532	1230.713	1373.089	1365.516	3380.011	1769.531	1815.810	1465.042	1388.491	pinger.sesame.org.jo	JO	Middle_East	linhost2.utic.net.ba	BA	Balkans
JO.SESAME.ORG.N1	BD.DUET.AC.N1	?B	814.263	804.713	591.768	814.153	814.683	790.935	787.126	396.563	576.604	576.862	178.511	252.064	143.330	141.724	271.705	787.574	257.575	518.661	275.720	126.932	152.715	162.974	285.460	368.838	186.843	138.036	169.381	151.736	499.398	158.409	375.516	304.247	176.375	182.333	103.026	116.671	189.873	130.477	173.202	319.282	275.567	156.995	129.546	372.513	458.078	265.695	319.846	440.706	328.171	76.315	.	396.343	314.633	316.736	204.131	181.681	649.806	272.581	460.559	272.629	pinger.sesame.org.jo	JO	Middle_East	www.duet.ac.bd	BD	South_Asia
