#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
MY.UNIMAS.N4	AF.MOD.GOV.AF	?B	422.957	376.411	307.819	217.725	227.082	420.737	420.590	420.216	373.542	152.781	85.369	176.356	110.934	109.162	420.380	57.471	304.110	51.652	112.915	89.741	49.156	420.699	421.460	303.455	414.462	92.159	82.215	414.318	127.956	66.564	303.837	144.944	142.840	452.583	80.776	38.598	49.770	48.296	52.773	89.673	85.830	145.300	26.357	25.329	86.620	110.469	40.961	20.273	16.218	107.646	327.853	82.941	64.393	56.649	61.115	112.115	202.153	186.510	106.773	125.083	pinger.unimas.my	MY	S.E._Asia	www.mod.gov.af	AF	South_Asia
MY.UNIMAS.N4	AL.ALBANIAONLINE.NET.N1	?B	186.680	181.216	135.861	236.499	204.995	243.301	276.114	171.431	216.096	245.119	187.779	183.411	287.661	266.625	183.532	227.050	240.779	144.711	208.247	228.442	436.813	212.205	231.892	220.746	265.851	255.045	159.108	283.356	189.430	258.030	330.096	195.358	314.642	909.098	395.058	192.186	305.150	311.230	235.287	163.100	364.472	375.055	210.501	305.307	384.144	331.694	280.896	369.547	270.057	477.129	434.284	1387.592	400.076	293.259	454.371	229.887	523.448	483.798	498.047	692.005	pinger.unimas.my	MY	S.E._Asia	aol1.albaniaonline.net	NET	Balkans
MY.UNIMAS.N4	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	902.085	.	194.874	188.031	256.709	432.357	284.192	285.055	289.441	452.996	327.478	638.983	320.770	241.651	260.821	283.173	316.087	261.740	173.817	121.205	146.488	137.716	184.570	321.701	517.269	369.391	185.837	116.715	222.290	510.531	374.769	406.259	310.084	917.873	693.972	151.064	368.394	pinger.unimas.my	MY	S.E._Asia	www.sci.am	AM	Central_Asia
MY.UNIMAS.N4	AU.AARNET.ADELAIDE.N1	?B	1815.258	1794.505	1366.135	974.072	1881.510	1867.299	1858.483	319.380	508.527	429.470	1784.334	418.816	1772.845	1837.862	1326.854	1815.789	1330.145	655.326	950.016	1804.340	1820.284	1839.254	1832.896	1849.146	1793.971	668.954	591.035	1808.111	1769.925	1852.803	1830.092	1845.463	1791.544	1847.689	1275.859	1752.685	1739.550	1280.563	1744.982	1753.641	1741.468	1734.654	1758.157	1735.438	1705.979	949.202	1672.863	1182.774	902.918	1580.842	1591.225	1686.744	1693.159	1700.831	1690.734	1697.207	1721.903	1706.709	694.943	1639.382	pinger.unimas.my	MY	S.E._Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
MY.UNIMAS.N4	AU.AARNET.BRISBANE.NET	?B	1892.128	1907.414	1984.334	1458.193	1949.912	1957.271	1967.809	285.012	615.957	568.975	1401.191	438.749	1966.099	1939.610	1904.958	1940.632	1396.025	860.528	739.975	1870.955	1904.450	981.706	1941.553	1995.637	1381.883	580.916	510.932	1927.043	1874.102	1957.502	1949.289	1966.447	1928.090	1912.915	1817.061	1831.347	1849.105	1858.080	1853.745	1804.213	1827.026	1829.317	1832.264	1847.102	1804.445	1834.052	1537.983	768.129	1216.742	1639.590	1204.426	1762.436	1769.294	1770.603	1771.025	1766.574	1774.462	1781.681	1290.598	1709.273	pinger.unimas.my	MY	S.E._Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
MY.UNIMAS.N4	AU.AARNET.CANBERRA.NET	?B	1968.457	1975.255	867.317	1510.450	2069.491	2094.320	2054.126	421.920	547.229	559.169	1967.835	423.959	2005.060	1458.138	2015.156	1466.473	1481.223	866.347	1462.862	1960.450	2020.282	753.006	1957.692	2086.001	2027.422	1453.595	1436.442	2060.319	1977.580	2027.289	2038.364	2040.873	2000.787	2043.965	1903.964	1385.639	1923.053	1910.584	1942.264	1925.600	1696.639	1920.038	1942.484	1392.989	1881.695	685.937	1821.872	721.422	1539.925	1709.658	1733.547	1323.362	1840.484	1818.563	1830.629	1850.074	1845.598	1844.670	979.934	1779.762	pinger.unimas.my	MY	S.E._Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
MY.UNIMAS.N4	AU.AARNET.HOBART.N2	?B	1784.724	1790.824	962.772	1867.006	1360.245	1875.734	1861.202	390.548	353.646	597.443	1294.222	410.105	1783.573	1818.070	1310.383	1813.487	1819.707	501.260	942.730	1788.077	1778.344	1328.379	1817.358	1809.613	1801.456	619.934	532.172	1336.104	1775.829	1872.911	1868.262	1816.175	1791.472	1837.968	1717.569	1757.804	1727.766	1758.851	1725.432	1723.475	1742.955	1734.566	1259.885	1245.739	1698.287	1732.567	1658.561	825.777	1159.474	1574.642	1582.744	1659.371	1690.433	1688.256	1678.051	1687.944	1699.539	1691.171	1684.077	1626.425	pinger.unimas.my	MY	S.E._Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
MY.UNIMAS.N4	AU.AARNET.PERTH.NET	?B	3968.889	4091.725	2933.499	4083.860	4068.629	3890.696	830.358	154.074	176.791	256.997	3818.539	1359.991	314.864	3843.058	3913.740	3986.457	3916.647	1784.105	2008.471	3574.245	3872.564	3886.711	3873.788	3845.727	3643.642	2782.424	1307.637	3684.259	3628.488	3754.108	3972.067	3861.821	2680.567	3784.708	3782.975	3935.687	2823.990	3778.397	3706.671	3886.487	3456.894	3873.378	3942.434	2726.343	3642.878	3820.859	3431.947	1726.480	3129.301	3063.310	3130.280	3447.422	1836.542	3520.163	2557.298	3611.914	3589.429	3578.069	1656.812	3276.223	pinger.unimas.my	MY	S.E._Asia	per-a-ext1.aarnet.net.au	AU	Oceania
MY.UNIMAS.N4	BA.UTIC.NET.N1	?B	829.546	583.918	519.108	1144.477	826.495	1137.109	1136.481	1134.139	1004.388	364.870	507.375	464.686	468.150	801.558	1136.452	1130.767	809.492	563.581	405.390	784.197	579.768	463.769	1116.479	556.730	779.651	319.849	284.792	755.880	784.002	566.584	547.271	1088.967	559.095	551.908	311.498	764.104	767.605	1044.420	379.928	1056.539	441.156	395.084	1221.849	655.134	432.817	1157.203	850.235	596.850	844.538	947.360	856.896	613.503	392.105	492.168	843.993	439.131	1193.250	861.687	442.465	595.212	pinger.unimas.my	MY	S.E._Asia	linhost2.utic.net.ba	BA	Balkans
MY.UNIMAS.N4	BD.DUET.AC.N1	?B	2757.599	3893.786	3893.581	2352.414	2975.772	2866.883	3933.600	3940.486	2763.084	3654.296	1369.562	761.202	683.731	934.970	912.047	2657.712	3853.663	1673.418	590.504	392.378	387.441	469.015	733.509	696.544	200.912	142.732	123.539	125.774	685.326	1014.392	487.222	343.955	303.896	360.536	232.956	391.350	1471.352	261.638	140.205	709.264	324.514	107.847	340.548	2965.167	1243.506	1353.211	2015.578	3529.728	2007.646	342.675	.	2098.807	1845.985	3580.131	812.966	968.514	3617.326	2632.334	1522.998	1171.615	pinger.unimas.my	MY	S.E._Asia	www.duet.ac.bd	BD	South_Asia
