#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
MY.UTM.PINGER	AF.MOD.GOV.AF	?B	486.215	354.860	488.035	354.651	487.005	248.368	483.563	476.273	103.822	177.510	70.757	131.554	149.682	96.952	170.068	46.120	131.001	59.067	75.088	70.171	60.796	173.804	159.044	175.992	121.316	64.190	26.187	93.768	75.183	52.049	142.554	439.699	446.778	246.923	95.731	79.240	108.702	328.831	114.541	56.330	139.588	426.520	84.781	62.702	59.342	234.940	236.092	126.065	141.941	195.535	330.056	72.192	56.027	57.961	52.897	335.720	174.036	.	340.023	172.775	pinger.fsksm.utm.my	MY	S.E._Asia	www.mod.gov.af	AF	South_Asia
MY.UTM.PINGER	AL.ALBANIAONLINE.NET.N1	?B	207.392	232.147	168.267	269.218	219.173	438.921	326.486	265.970	252.152	340.791	293.585	231.799	162.832	242.112	264.316	223.407	167.317	174.581	243.899	204.655	342.656	227.283	235.669	212.582	218.357	208.805	88.192	215.261	174.194	222.352	285.555	450.426	358.842	729.402	312.110	244.461	356.148	401.058	222.437	143.515	547.880	725.199	228.893	215.195	1150.013	366.704	334.787	341.130	369.104	1103.340	411.028	572.573	511.013	314.026	304.447	643.975	721.362	.	1571.103	476.530	pinger.fsksm.utm.my	MY	S.E._Asia	aol1.albaniaonline.net	NET	Balkans
MY.UTM.PINGER	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1075.214	.	251.089	357.469	324.982	288.134	263.614	361.328	528.156	1097.638	1337.130	283.278	716.756	552.543	1091.009	505.818	722.689	422.379	237.105	171.614	209.014	395.706	175.068	326.617	459.500	917.984	255.308	175.773	1030.954	754.566	407.464	328.983	430.503	995.752	.	221.942	449.985	pinger.fsksm.utm.my	MY	S.E._Asia	www.sci.am	AM	Central_Asia
MY.UTM.PINGER	AU.AARNET.ADELAIDE.N1	?B	2068.943	2080.572	2073.752	2076.942	2079.940	2017.887	394.394	106.474	116.552	146.985	1997.356	401.222	166.444	1998.861	2034.711	2025.245	2063.006	1493.926	528.600	739.323	1032.445	591.886	1025.927	840.854	838.336	583.181	735.066	302.811	467.402	438.609	1015.087	486.274	1998.916	2037.581	470.970	573.853	888.778	562.788	819.508	1660.900	1240.101	1791.087	1707.068	581.422	927.812	482.437	554.276	356.672	434.198	1650.888	621.055	1876.279	1761.365	1903.944	1852.492	1789.382	1761.202	.	1835.418	947.505	pinger.fsksm.utm.my	MY	S.E._Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
MY.UTM.PINGER	AU.AARNET.BRISBANE.NET	?B	2174.999	2188.951	2189.595	2190.655	2189.024	1552.680	561.632	108.325	113.771	169.763	2110.370	616.661	191.914	2153.733	2190.894	2190.478	2184.808	2171.168	605.620	886.306	535.529	738.026	880.438	706.365	757.770	479.129	552.899	351.052	420.476	398.879	1516.895	310.612	1084.955	2153.951	537.942	695.603	2153.527	789.875	1104.251	689.201	1789.521	1869.331	1914.034	640.258	397.048	1194.148	667.631	1974.840	924.968	1679.168	1284.298	1371.523	429.689	1006.584	1343.836	1908.027	2070.792	.	1960.426	1357.541	pinger.fsksm.utm.my	MY	S.E._Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
MY.UTM.PINGER	AU.AARNET.CANBERRA.NET	?B	2284.392	2295.745	2296.915	2297.655	2291.570	2241.454	502.235	135.332	116.650	169.540	2220.366	549.182	180.041	2261.108	2256.644	2296.973	2287.228	1171.541	568.564	460.547	1151.514	1257.266	947.114	826.794	936.646	665.242	732.664	695.653	835.657	576.169	1184.716	693.113	1604.750	2249.286	787.077	743.296	2255.505	507.980	1600.260	819.048	1666.321	1639.707	1910.838	785.211	2042.192	1692.778	565.490	1426.798	564.647	1939.731	600.660	1742.598	1988.249	1900.738	2024.542	2076.761	1273.674	.	2048.024	1766.612	pinger.fsksm.utm.my	MY	S.E._Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
MY.UTM.PINGER	AU.AARNET.HOBART.N2	?B	2040.124	2060.417	2053.395	2059.408	2056.207	2006.303	461.372	112.543	115.522	157.047	1978.435	444.400	165.652	1970.132	2040.940	2012.063	2057.491	1474.680	652.642	604.587	519.218	1438.770	827.554	854.643	1968.205	623.101	419.041	504.356	724.056	752.876	1436.872	1020.239	1431.337	2020.214	776.497	530.223	881.695	813.306	1921.381	820.369	1759.443	1665.879	563.101	1549.202	298.297	426.842	1240.401	1821.610	915.829	1882.642	1823.598	1890.761	1767.375	924.080	1839.263	607.401	1615.049	.	913.485	1245.342	pinger.fsksm.utm.my	MY	S.E._Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
MY.UTM.PINGER	AU.AARNET.PERTH.NET	?B	5726.563	5806.111	5818.176	5806.628	5793.066	5447.187	952.206	170.468	181.830	296.158	5118.253	1147.343	391.263	5578.049	5543.113	5811.280	5775.936	5685.201	2310.913	1798.169	1499.616	3876.284	3996.564	5426.756	2209.842	1636.097	976.536	816.202	1501.215	2021.103	1810.298	1432.181	2837.572	5562.781	1926.406	4988.150	5561.238	691.015	3685.990	797.532	3390.966	2624.466	3171.528	2038.676	1629.510	456.711	1761.254	913.757	1121.576	2830.014	3754.541	3324.082	1593.294	3029.052	3335.801	2033.644	3748.888	.	4165.449	2753.227	pinger.fsksm.utm.my	MY	S.E._Asia	per-a-ext1.aarnet.net.au	AU	Oceania
MY.UTM.PINGER	BA.UTIC.NET.N1	?B	1673.982	1691.908	1687.004	1690.878	1674.928	851.667	1651.923	1145.580	488.722	1081.084	479.882	447.028	419.975	480.506	977.215	365.315	301.065	524.807	666.993	454.065	475.515	1160.294	1580.659	340.354	257.862	324.509	113.979	304.132	284.171	639.134	522.558	999.812	742.607	1614.145	395.375	482.212	1182.752	1097.188	214.794	265.234	1131.176	707.381	459.986	322.069	791.516	1481.974	480.177	525.810	601.964	519.100	1179.088	1594.099	1167.280	683.909	1642.467	1189.059	1183.895	.	1556.125	1141.301	pinger.fsksm.utm.my	MY	S.E._Asia	linhost2.utic.net.ba	BA	Balkans
MY.UTM.PINGER	BD.DUET.AC.N1	?B	3407.574	3524.467	3534.996	3582.327	3278.010	2556.817	3484.221	3120.787	1488.890	1215.628	1071.888	687.914	381.142	382.481	556.859	662.637	536.671	1081.712	312.238	259.272	261.496	997.992	343.863	265.355	122.931	109.251	124.369	121.712	260.678	414.740	345.450	302.961	601.842	601.387	222.976	249.978	323.886	250.146	219.101	414.596	217.177	164.457	189.539	673.020	628.127	1293.343	2427.940	637.978	1176.719	520.587	.	1473.708	2160.797	3491.800	1692.372	1201.701	4919.689	.	2087.332	1153.281	pinger.fsksm.utm.my	MY	S.E._Asia	www.duet.ac.bd	BD	South_Asia
