#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
ORG.CALTECH.ULTRALIGHT.N1	AF.MOD.GOV.AF	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	t2-monitor.ultralight.org	ORG	North_America	www.mod.gov.af	AF	South_Asia
ORG.CALTECH.ULTRALIGHT.N1	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	t2-monitor.ultralight.org	ORG	North_America	aol1.albaniaonline.net	NET	Balkans
ORG.CALTECH.ULTRALIGHT.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1152.933	.	291.021	306.101	384.791	267.017	305.198	390.727	325.385	315.239	353.626	313.703	272.186	286.538	218.811	233.236	249.541	267.406	195.402	183.404	168.350	124.958	195.135	555.939	815.198	575.558	441.124	1083.326	.	.	.	.	1077.394	1082.837	1082.637	.	.	t2-monitor.ultralight.org	ORG	North_America	www.sci.am	AM	Central_Asia
ORG.CALTECH.ULTRALIGHT.N1	AU.AARNET.ADELAIDE.N1	?B	1929.656	1929.350	1929.621	1929.599	1930.585	1929.596	1927.098	1928.465	1924.713	1926.988	1929.561	1927.328	1929.653	1929.663	1929.675	1929.646	1929.591	1929.687	1930.583	1929.657	1929.662	1929.719	1929.673	1929.644	1929.669	1929.688	1929.700	1929.663	1929.730	1929.699	1929.667	1929.615	1929.660	1929.649	1929.694	1929.741	1929.476	1929.687	1929.701	1929.699	1929.701	1929.700	1929.729	1929.675	1929.643	1929.496	1929.530	1929.635	1927.834	1929.722	1929.705	1913.164	1905.324	1905.298	1905.312	1905.340	1905.363	1905.336	1905.233	1383.660	t2-monitor.ultralight.org	ORG	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
ORG.CALTECH.ULTRALIGHT.N1	AU.AARNET.BRISBANE.NET	?B	1985.592	1985.571	1985.564	1985.558	1985.323	1985.531	1982.973	1984.032	1985.273	1981.338	1985.181	1984.882	1983.121	1985.550	1985.002	1985.502	1984.991	1985.572	1984.934	1985.300	1984.945	1984.463	1982.778	1985.159	1984.034	1985.111	1978.859	1985.287	1983.116	1979.275	1984.373	1985.375	1984.108	1982.907	1984.762	1984.781	1984.231	1985.595	1990.884	1984.804	1985.112	1984.637	1985.291	1984.925	1985.123	1984.907	1985.477	1985.543	1985.563	1985.662	1985.635	1975.573	1970.736	1970.752	1970.783	1976.924	1970.931	1970.890	1970.809	1970.118	t2-monitor.ultralight.org	ORG	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
ORG.CALTECH.ULTRALIGHT.N1	AU.AARNET.CANBERRA.NET	?B	2118.166	2116.370	2117.327	2118.131	2114.964	2116.092	2114.555	2115.822	2115.478	2115.079	2117.236	2116.970	2113.884	2113.566	2109.537	2116.444	2118.120	2115.944	2113.430	2115.336	2113.698	2118.137	2113.630	2118.154	2118.203	2117.656	2113.757	2118.149	2115.926	2118.234	2118.169	2113.918	2118.158	2102.745	2118.275	2118.311	2118.229	2118.211	2118.239	2118.257	2118.267	2118.199	2118.341	2118.237	2118.213	2118.256	2118.259	2118.185	2118.216	2118.283	2118.250	2106.597	2101.155	2101.217	2101.233	2101.284	2101.268	2101.290	2101.083	2099.874	t2-monitor.ultralight.org	ORG	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
ORG.CALTECH.ULTRALIGHT.N1	AU.AARNET.HOBART.N2	?B	1913.026	1911.184	1912.908	1912.982	1903.262	1893.501	1890.932	1891.313	1893.544	1891.202	1893.334	1891.724	1890.614	1886.211	1890.660	1891.081	1891.056	1893.528	1890.237	1893.520	1875.302	1893.427	1893.490	1892.675	1886.120	1886.858	1888.896	1891.078	1892.281	1885.588	1891.671	1891.454	1890.253	1891.844	1891.666	1893.419	1892.398	1883.662	1892.667	1893.246	1893.634	1892.177	1893.381	1893.505	1893.521	1896.454	1893.433	1893.535	1893.511	1893.568	1893.512	1890.540	1889.171	1888.894	1889.091	1889.039	1889.184	1889.105	1889.088	1888.862	t2-monitor.ultralight.org	ORG	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
ORG.CALTECH.ULTRALIGHT.N1	AU.AARNET.PERTH.NET	?B	1689.266	1688.882	1689.209	1689.166	1689.291	1689.226	1687.337	1687.483	1688.235	1688.098	1689.113	1688.468	1689.228	1689.244	1689.251	1689.227	1689.214	1689.264	1689.931	1689.254	1689.232	1689.277	1689.246	1689.230	1689.247	1689.272	1689.272	1689.259	1689.321	1689.267	1689.273	1689.239	1689.254	1689.272	1689.281	1689.322	1689.088	1689.258	1689.256	1689.274	1689.289	1689.303	1689.284	1689.254	1689.263	1689.216	1689.318	1689.240	1688.069	1689.301	1689.269	1676.654	1670.590	1670.566	1670.608	1670.616	1670.622	1670.592	1670.525	1669.468	t2-monitor.ultralight.org	ORG	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
ORG.CALTECH.ULTRALIGHT.N1	BA.UTIC.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	t2-monitor.ultralight.org	ORG	North_America	linhost2.utic.net.ba	BA	Balkans
ORG.CALTECH.ULTRALIGHT.N1	BD.DUET.AC.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	t2-monitor.ultralight.org	ORG	North_America	www.duet.ac.bd	BD	South_Asia
