#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.AIOU.EDU.N2	AF.MOD.GOV.AF	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	97.710	510.794	256.671	258.228	109.932	510.367	144.815	126.508	371.321	182.577	219.556	370.611	173.248	366.047	497.125	114.980	44.065	49.810	49.025	87.418	177.562	48.703	33.603	26.125	35.861	28.458	47.381	41.391	118.690	18.845	15.141	38.641	68.921	15.426	13.025	13.530	42.686	111.769	36.048	39.009	36.312	40.509	124.391	131.513	262.631	69.360	156.521	pinger.aiou.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.AIOU.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	301.416	304.073	315.031	465.772	235.147	415.977	314.595	434.543	397.241	228.213	320.720	429.291	427.596	642.216	557.531	417.871	477.010	277.927	698.646	561.563	456.167	430.781	477.857	373.037	694.164	174.189	448.861	446.427	470.023	452.819	447.445	437.087	470.220	325.657	511.385	333.914	628.426	550.893	520.745	445.582	387.054	506.281	878.300	490.012	914.658	1298.990	1813.486	pinger.aiou.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.AIOU.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1017.235	.	289.900	437.672	312.269	544.424	311.813	544.645	524.586	448.315	471.380	474.643	392.469	224.949	377.243	195.170	238.708	376.840	214.756	222.260	133.110	113.011	186.342	350.142	886.608	671.014	919.018	888.848	972.276	484.561	265.554	628.898	164.500	639.011	664.639	183.030	341.501	pinger.aiou.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.AIOU.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	313.693	401.833	1313.543	676.120	280.154	958.464	467.574	703.363	951.426	705.555	425.603	326.173	378.958	349.512	441.953	636.491	1192.126	659.862	670.971	849.395	1278.911	556.966	1319.033	1276.143	1137.901	318.142	211.133	390.568	671.005	1098.748	1264.058	552.984	254.948	321.630	148.393	918.862	664.678	889.293	437.097	864.131	243.172	631.209	888.912	939.097	943.964	927.114	917.387	pinger.aiou.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.AIOU.EDU.N2	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	308.607	422.356	1372.454	996.195	312.961	417.416	732.790	992.934	990.781	1364.045	755.424	271.587	481.651	283.044	456.828	463.442	1237.533	938.089	955.467	987.120	1329.992	978.298	1366.191	1319.553	1170.704	325.931	270.472	712.217	687.201	1128.069	1300.748	357.705	385.733	465.382	152.899	481.154	932.619	658.824	314.658	888.937	314.443	455.804	658.365	959.384	965.129	944.573	928.674	pinger.aiou.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.AIOU.EDU.N2	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	341.841	434.422	1413.559	1256.356	400.614	607.917	1020.426	589.792	721.254	1400.777	1075.614	386.582	495.486	658.805	664.260	475.652	1273.922	406.165	985.029	1017.973	1370.463	1384.679	1022.591	1356.390	1208.840	753.810	351.923	438.771	710.521	844.377	1339.835	367.142	310.896	921.311	158.222	854.513	955.166	927.951	474.377	658.508	336.422	307.149	924.196	981.859	987.945	968.445	960.064	pinger.aiou.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.AIOU.EDU.N2	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	318.052	400.454	1305.772	501.102	275.421	548.236	562.613	700.499	562.342	671.595	734.006	281.592	462.208	360.334	865.258	881.213	1188.531	910.406	929.912	958.089	1269.995	686.247	1310.490	1267.287	1133.479	356.366	298.644	699.749	675.239	1096.276	912.252	544.740	322.773	291.990	146.572	912.282	466.951	883.794	613.944	866.876	371.095	865.451	883.105	933.773	939.207	919.796	904.956	pinger.aiou.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.AIOU.EDU.N2	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	519.359	686.447	2251.341	1633.415	507.472	1150.079	1147.200	2235.763	2227.001	2229.128	1224.121	1103.393	756.060	305.276	712.195	517.957	1770.405	763.227	1061.973	800.507	2070.280	2159.060	2234.274	2044.790	1556.635	1144.944	186.342	1097.712	751.105	1060.196	2022.215	766.572	275.961	507.322	167.044	1030.215	1024.642	993.069	396.456	961.997	323.419	971.312	992.351	1055.548	1061.205	1040.222	1027.519	pinger.aiou.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.AIOU.EDU.N2	BD.DUET.AC.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	870.261	446.398	1205.309	1009.359	498.360	1262.561	524.133	449.985	792.305	1000.933	554.367	316.547	206.447	182.693	201.088	805.322	1054.323	1548.917	1104.336	1092.611	455.431	319.564	392.514	2359.659	614.286	210.113	392.297	351.124	228.867	676.034	842.304	750.807	729.817	805.085	1275.319	556.810	214.191	.	2252.485	602.280	754.634	627.772	428.137	2270.881	2309.967	753.332	860.113	pinger.aiou.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.AIOU.EDU.N2	BJ.GOUV.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	203.989	346.281	346.713	202.021	304.647	184.945	221.948	260.168	385.726	302.923	187.158	166.164	301.014	286.201	266.529	1167.617	849.920	204.935	229.957	267.705	182.401	301.109	601.915	1171.393	235.026	122.279	300.292	319.848	234.302	809.807	1140.385	410.078	252.629	241.045	172.789	182.572	418.459	198.752	128.439	132.405	159.598	166.423	173.701	682.720	388.143	149.482	133.307	pinger.aiou.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.AIOU.EDU.N2	BO.UMSS.EDU.N1	?M	.	.	.	.	.	.	.	.	.	.	.	.	.	279.586	901.087	908.776	350.320	261.992	659.846	327.817	659.108	391.242	484.569	904.794	206.006	478.942	634.629	885.919	857.272	877.262	626.012	264.095	842.025	333.577	350.625	238.562	263.181	911.757	455.094	190.863	400.754	334.617	613.657	461.403	460.895	336.552	577.689	428.211	627.834	438.241	458.179	799.179	576.381	292.983	566.240	830.961	834.032	865.204	631.330	874.645	pinger.aiou.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.AIOU.EDU.N2	BR.UNESP.N1	?M	.	.	.	.	.	.	.	.	.	.	.	.	.	296.919	.	757.805	561.464	184.625	775.178	563.823	561.888	772.228	773.721	236.335	843.521	845.120	834.447	232.731	829.183	786.903	824.534	771.968	534.885	565.155	171.582	773.793	772.536	796.785	227.420	303.711	349.814	438.396	802.714	760.125	385.713	315.704	270.202	124.757	752.512	751.735	752.922	192.989	749.284	749.098	732.873	545.212	750.732	749.408	751.197	752.324	pinger.aiou.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
