#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.AUP.SEECS.EDU	AF.MOD.GOV.AF	?B	510.360	511.303	511.900	371.362	509.465	506.269	112.925	508.256	368.452	506.651	507.678	208.298	366.299	354.090	504.081	112.951	259.774	132.139	217.811	195.820	506.972	507.117	504.423	505.814	366.861	189.841	357.769	503.170	507.142	505.489	507.737	508.853	504.918	506.713	46.744	41.229	.	47.162	30.464	45.001	43.065	112.596	30.994	32.816	46.662	272.293	.	56.942	194.570	91.247	74.100	39.707	49.337	35.509	40.303	145.944	369.042	511.752	.	198.103	aup.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.AUP.SEECS.EDU	AL.ALBANIAONLINE.NET.N1	?B	198.234	195.510	189.300	214.097	289.348	267.176	273.740	255.703	229.821	315.137	247.816	238.552	270.791	276.148	222.148	185.593	224.809	197.220	233.559	253.562	308.171	222.421	186.265	273.006	250.621	324.345	234.171	324.511	416.385	196.844	244.531	392.215	613.982	357.589	592.006	271.895	.	646.556	356.171	586.450	318.395	235.633	222.154	323.768	810.871	338.987	.	319.800	280.212	818.868	331.465	276.841	334.399	432.516	393.955	823.335	271.252	434.429	.	368.287	aup.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.AUP.SEECS.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1567.484	404.651	1566.992	1584.146	1580.155	1627.886	1157.102	1616.912	1178.565	1626.100	1627.155	.	1128.076	1613.385	1608.918	1595.974	1571.756	280.778	1540.455	806.089	1418.383	.	1137.394	801.315	1325.385	1234.530	934.451	660.060	423.939	658.385	339.906	1178.163	899.447	.	575.341	aup.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.AUP.SEECS.EDU	AU.AARNET.ADELAIDE.N1	?B	742.164	742.914	742.953	737.405	136.285	741.999	739.866	744.779	339.239	745.345	541.598	752.920	758.042	767.079	764.628	767.876	218.819	198.723	254.549	223.396	219.542	299.629	776.534	771.314	554.149	366.588	355.245	366.925	521.535	743.627	744.985	387.994	772.794	774.982	756.404	753.467	.	118.216	760.880	530.765	559.641	744.056	753.026	754.426	754.441	384.402	.	747.934	748.620	746.971	744.568	741.182	538.954	537.469	734.879	377.830	737.645	659.773	.	540.517	aup.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.AUP.SEECS.EDU	AU.AARNET.BRISBANE.NET	?B	748.402	751.578	752.175	744.387	150.759	750.952	738.489	740.644	738.879	741.064	538.235	748.173	545.486	766.939	763.746	767.890	331.798	198.433	395.067	557.167	322.901	776.696	777.319	768.277	762.018	258.405	501.418	713.154	717.191	741.973	743.532	753.509	774.476	398.616	553.669	759.786	.	116.126	768.330	535.380	564.287	746.698	758.368	759.313	759.633	752.532	.	133.047	752.558	753.450	752.510	753.140	746.980	541.994	752.283	545.454	753.592	751.572	.	750.703	aup.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.AUP.SEECS.EDU	AU.AARNET.CANBERRA.NET	?B	766.847	772.195	772.230	767.504	154.125	774.263	772.925	773.880	351.479	773.062	772.131	780.065	779.616	798.195	407.425	797.693	289.897	299.503	579.898	798.949	798.194	414.756	807.277	799.377	791.818	376.571	365.472	378.063	309.922	767.281	768.616	777.619	581.194	803.040	790.193	784.386	.	172.397	575.850	293.788	330.359	774.466	785.139	785.765	785.464	200.499	.	164.200	771.654	773.184	773.049	772.550	770.800	771.853	771.920	559.654	772.596	771.786	.	559.491	aup.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.AUP.SEECS.EDU	AU.AARNET.HOBART.N2	?B	744.027	748.739	749.160	540.605	140.280	751.115	747.358	748.114	339.286	745.632	748.867	744.157	382.824	764.013	763.758	765.525	366.842	247.666	284.998	283.815	284.649	558.664	769.557	768.725	206.423	727.558	500.375	366.168	715.391	742.065	742.817	386.765	769.624	773.762	756.076	757.461	.	752.367	761.308	264.575	767.999	744.342	754.751	755.421	755.431	747.552	.	146.417	736.455	736.682	378.355	733.998	743.730	743.956	741.789	537.928	736.345	736.425	.	733.556	aup.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.AUP.SEECS.EDU	AU.AARNET.PERTH.NET	?B	511.751	305.430	704.187	698.883	129.190	706.263	707.670	710.432	322.974	710.365	711.588	710.489	517.065	725.488	371.030	726.133	275.701	223.851	529.898	528.897	730.392	735.036	735.117	726.663	723.029	347.894	672.296	349.262	496.150	706.130	707.648	716.516	732.234	733.423	718.551	716.967	.	359.838	722.792	182.136	731.613	707.601	520.222	716.793	716.628	364.774	.	139.583	702.149	702.694	509.453	704.035	365.729	517.039	712.513	517.827	703.405	700.044	.	698.235	aup.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.AUP.SEECS.EDU	BD.DUET.AC.N1	?B	1289.763	1281.431	1295.522	1292.498	1284.113	1251.711	392.114	1258.800	893.962	1258.367	463.961	638.130	193.531	522.379	254.539	1282.613	389.023	351.327	1281.333	263.772	433.503	625.116	737.666	996.051	436.270	188.727	184.828	168.367	1468.299	1449.377	1059.841	766.321	1485.707	1052.816	262.927	1027.617	.	386.682	269.852	1486.364	459.767	319.659	502.291	1051.153	1334.773	596.832	.	537.635	1300.984	169.992	.	417.048	456.995	529.972	368.765	373.230	919.542	644.779	.	521.990	aup.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.AUP.SEECS.EDU	BJ.GOUV.N1	?B	259.920	221.764	171.213	230.665	164.460	155.685	175.325	425.727	277.540	214.524	384.523	185.502	164.618	217.511	344.828	261.757	171.004	198.527	168.143	202.592	307.064	854.666	422.404	154.158	226.949	259.464	339.187	241.922	1172.842	1169.335	184.516	318.476	255.159	169.271	240.181	1177.914	.	312.208	234.671	209.467	284.344	192.669	579.464	1146.538	270.416	1163.253	.	237.192	157.750	222.105	183.404	176.131	258.070	148.296	211.960	160.866	1134.457	315.949	.	175.874	aup.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
