#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.BUITMS.SEECS.EDU	AF.MOD.GOV.AF	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	264.960	375.541	272.454	130.578	369.401	524.721	524.042	282.246	123.728	524.906	373.562	380.398	522.355	525.025	525.480	522.735	buitms.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.BUITMS.SEECS.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	502.903	303.708	558.245	343.450	721.090	1705.182	554.480	734.577	487.960	526.144	1273.162	1684.773	550.345	732.367	434.496	468.181	buitms.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.BUITMS.SEECS.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	552.355	266.013	1097.453	1007.765	226.336	622.321	1547.212	1234.282	1523.906	443.354	971.329	521.388	1230.034	465.960	241.983	588.238	buitms.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.BUITMS.SEECS.EDU	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	435.825	351.842	241.326	172.126	770.895	768.568	558.105	769.413	770.559	770.766	768.841	765.934	767.772	768.892	769.989	767.954	buitms.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.BUITMS.SEECS.EDU	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	570.919	276.227	770.301	775.380	776.884	776.363	774.794	771.098	569.482	780.758	327.452	399.995	767.306	686.576	773.744	772.561	buitms.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.BUITMS.SEECS.EDU	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	259.971	323.680	572.320	790.945	793.390	791.802	787.702	789.657	422.933	787.118	794.327	330.892	790.943	788.400	786.602	783.490	buitms.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.BUITMS.SEECS.EDU	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	560.274	288.366	761.117	758.367	764.540	762.178	553.423	764.006	767.878	767.924	769.100	766.313	762.755	762.406	762.612	762.240	buitms.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.BUITMS.SEECS.EDU	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	402.830	211.852	717.199	715.598	718.485	718.387	520.699	722.816	713.952	714.025	366.679	517.565	716.774	717.613	717.617	715.419	buitms.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.BUITMS.SEECS.EDU	BD.DUET.AC.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	787.304	469.702	1088.996	273.039	396.791	1089.228	.	1085.637	790.495	773.691	197.426	209.747	1054.130	411.662	774.401	393.989	buitms.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.BUITMS.SEECS.EDU	BJ.GOUV.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	879.021	323.589	259.711	296.059	99.524	206.443	239.676	185.252	200.650	194.196	184.479	161.404	486.044	274.499	185.182	166.715	buitms.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
