#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.CAE.SEECS.EDU	AF.MOD.GOV.AF	?B	.	.	.	367.485	217.374	365.506	169.162	259.243	363.723	206.323	145.990	148.124	106.002	208.890	209.722	252.026	363.758	117.323	82.010	85.430	256.273	211.120	151.089	364.480	251.955	92.801	108.932	126.330	.	.	.	.	.	.	13.280	27.705	26.698	38.540	26.707	35.049	45.061	86.661	29.092	31.354	44.899	49.670	36.752	42.767	.	.	90.449	34.791	36.680	41.244	37.941	109.795	139.242	73.773	48.796	78.308	cae.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.CAE.SEECS.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	226.415	263.563	205.445	208.295	198.590	249.877	223.120	231.338	199.507	208.906	256.614	234.066	292.023	242.219	182.575	205.459	196.636	213.880	213.965	187.338	229.745	239.623	224.965	188.089	291.680	.	.	.	.	.	.	263.231	261.922	220.471	308.325	318.005	254.779	393.372	244.473	230.444	354.955	356.059	307.966	255.042	389.951	.	.	665.934	284.677	249.779	399.999	277.562	320.417	314.166	410.529	212.003	344.526	cae.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.CAE.SEECS.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	452.111	406.685	339.986	.	.	.	.	.	.	471.728	575.628	488.545	346.829	410.849	376.788	495.033	391.746	274.900	279.887	429.671	211.591	295.964	635.129	.	.	1462.979	659.711	342.849	274.767	414.401	301.299	602.522	432.597	249.148	255.056	cae.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.CAE.SEECS.EDU	AU.AARNET.ADELAIDE.N1	?B	.	.	.	706.576	409.620	523.364	408.650	978.142	972.436	263.708	196.302	283.742	283.111	280.351	420.601	728.207	723.640	245.666	361.032	260.318	330.600	726.043	732.087	222.681	168.035	200.816	249.696	195.964	.	.	.	.	.	.	190.222	198.441	229.285	199.825	173.941	152.532	189.804	272.867	296.577	234.008	343.543	386.099	266.908	932.493	.	.	671.832	273.463	266.786	256.373	283.194	471.820	469.933	905.894	231.314	904.304	cae.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.CAE.SEECS.EDU	AU.AARNET.BRISBANE.NET	?B	.	.	.	280.427	509.308	417.253	728.777	434.130	731.012	510.180	357.163	272.170	321.453	279.778	752.554	748.490	430.354	211.552	429.555	372.213	285.077	431.170	753.349	595.838	257.417	285.923	162.529	249.915	.	.	.	.	.	.	403.763	314.048	402.099	179.957	222.642	181.485	193.356	285.215	235.127	248.956	297.502	346.198	242.483	949.286	.	.	482.883	308.367	261.468	352.074	350.853	396.045	675.359	923.565	273.365	206.776	cae.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.CAE.SEECS.EDU	AU.AARNET.CANBERRA.NET	?B	.	.	.	744.989	528.035	526.751	1029.221	1035.164	532.991	284.741	214.964	333.730	364.572	325.987	387.249	394.431	383.914	274.116	234.379	299.885	350.754	772.301	550.442	305.507	414.683	270.167	228.638	346.895	.	.	.	.	.	.	190.741	409.159	226.286	262.911	240.130	203.786	198.573	299.296	351.031	300.519	408.681	315.602	301.930	976.198	.	.	966.407	183.967	219.895	273.536	328.108	351.032	957.759	688.783	153.940	396.320	cae.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.CAE.SEECS.EDU	AU.AARNET.HOBART.N2	?B	.	.	.	706.655	377.795	499.179	351.177	704.950	495.586	214.788	231.512	292.108	315.961	312.646	513.128	299.928	409.064	259.303	359.052	418.610	323.624	429.313	265.159	236.419	283.118	554.407	212.688	275.710	.	.	.	.	.	.	384.879	476.202	192.851	273.593	167.412	156.961	189.395	323.702	244.755	236.774	397.569	274.231	199.776	933.537	.	.	674.591	213.706	298.847	216.493	391.710	300.692	915.237	467.259	232.293	254.866	cae.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.CAE.SEECS.EDU	AU.AARNET.PERTH.NET	?B	.	.	.	278.732	378.140	377.754	655.130	656.350	464.898	384.662	227.601	293.326	231.109	224.131	394.920	403.675	259.814	263.831	345.958	308.399	324.658	481.166	684.439	553.051	243.581	375.880	195.326	315.122	.	.	.	.	.	.	456.360	346.232	390.345	200.250	179.370	212.940	177.876	170.858	294.212	319.429	1038.458	442.054	278.214	1039.295	.	.	753.298	378.579	301.219	739.358	289.055	334.396	380.358	420.699	230.874	249.211	cae.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.CAE.SEECS.EDU	BD.DUET.AC.N1	?B	.	.	.	1179.783	939.703	654.249	1632.150	803.170	1595.261	1070.974	457.582	531.762	293.776	550.894	508.216	634.164	712.152	432.327	396.696	232.083	189.717	338.567	459.245	448.238	170.698	138.527	127.227	162.941	.	.	.	.	.	.	133.164	251.517	338.633	217.990	189.675	351.115	240.472	117.791	149.586	458.628	378.888	351.731	402.655	2303.568	.	.	.	556.391	741.553	672.730	455.648	498.290	967.168	1150.892	509.630	569.214	cae.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.CAE.SEECS.EDU	BJ.GOUV.N1	?B	.	.	.	207.065	134.829	142.341	163.326	377.424	191.994	151.061	200.751	155.902	169.906	186.719	319.559	255.044	146.895	340.124	159.194	170.755	201.365	588.848	305.382	138.397	133.814	295.622	190.534	160.074	.	.	.	.	.	.	133.930	313.524	374.758	156.462	194.087	210.518	173.681	241.936	482.719	338.822	299.692	365.356	186.598	139.021	.	.	262.598	173.412	196.043	201.661	167.774	189.275	1101.233	400.359	132.623	181.071	cae.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
