#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.CEMB.EDU.N2	AF.MOD.GOV.AF	?B	274.396	366.824	184.998	516.327	514.992	513.179	105.900	234.223	368.941	367.036	365.645	503.387	512.980	263.097	511.875	511.420	.	511.086	156.169	120.728	371.345	211.308	371.065	118.652	115.381	369.603	509.619	511.280	511.845	258.678	221.051	372.118	511.495	261.108	42.114	26.675	27.260	38.521	26.881	43.252	41.992	91.789	18.170	12.764	37.561	74.429	16.685	12.786	12.175	64.816	134.433	36.220	44.255	34.948	40.013	159.291	212.043	148.769	64.613	199.397	pinger.cemb.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.CEMB.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	197.389	176.571	178.276	243.289	249.671	257.850	289.209	216.894	231.233	420.553	273.738	256.904	312.925	250.270	238.140	248.147	199.454	193.955	248.543	260.963	266.584	202.189	203.871	218.360	188.109	289.602	224.321	305.571	309.409	270.501	213.426	367.052	590.491	436.243	559.172	511.164	338.659	316.377	437.595	392.086	242.524	260.204	200.261	412.856	571.846	359.343	319.291	396.045	360.351	384.539	476.815	251.953	260.830	335.409	268.719	497.269	218.193	424.919	348.807	688.582	pinger.cemb.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.CEMB.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1385.026	.	1051.782	1686.787	1700.397	1709.565	1708.647	1710.986	1709.187	1235.771	1702.148	1709.642	1707.084	1700.997	1663.941	1697.019	1237.830	485.764	851.670	252.729	416.614	364.519	351.732	1075.760	908.039	1231.736	855.273	481.648	1678.935	1099.148	495.596	964.117	650.033	625.474	1273.434	241.396	1014.788	pinger.cemb.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.CEMB.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	959.540	959.250	958.322	954.989	959.544	963.385	965.005	967.024	964.674	968.370	960.575	960.940	285.631	507.701	509.422	984.492	105.160	555.410	427.011	506.356	716.575	305.419	530.960	128.933	160.190	228.929	257.798	741.527	569.909	917.170	769.138	782.904	763.348	996.008	216.338	965.979	937.237	835.745	256.862	686.667	143.873	268.395	190.045	418.168	405.569	291.975	434.272	699.213	959.747	950.228	688.392	947.194	689.425	689.863	487.642	958.913	953.696	953.412	954.457	956.725	pinger.cemb.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.CEMB.EDU.N2	AU.AARNET.BRISBANE.NET	?B	982.302	983.490	981.351	978.657	983.506	983.358	978.318	981.745	980.510	980.679	976.181	978.878	313.047	734.157	737.270	731.047	.	518.628	304.004	344.912	373.834	1003.579	735.553	118.902	128.751	136.551	213.779	547.821	580.158	935.710	781.267	797.458	564.386	439.561	232.777	987.464	956.777	852.816	301.440	358.188	182.729	533.381	249.174	505.748	715.905	363.525	967.690	711.748	981.046	972.014	967.445	696.340	956.986	951.854	344.115	693.379	958.575	970.330	971.484	972.469	pinger.cemb.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.CEMB.EDU.N2	AU.AARNET.CANBERRA.NET	?B	1009.625	734.495	1006.507	1003.164	730.898	1006.627	729.443	1006.189	1007.126	236.290	537.355	518.306	1009.587	1038.457	1041.626	532.853	1051.521	533.477	288.488	296.161	753.937	751.981	536.645	137.307	121.757	164.734	221.774	559.775	817.588	697.820	800.925	817.834	794.154	1051.635	249.949	1018.759	716.327	636.400	533.297	264.569	149.394	334.348	468.161	521.426	520.851	250.793	999.653	731.545	1010.294	1007.842	1005.274	1001.394	999.944	721.824	988.511	507.561	720.417	447.120	1005.264	1008.625	pinger.cemb.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.CEMB.EDU.N2	AU.AARNET.HOBART.N2	?B	956.925	958.929	957.553	952.490	956.320	957.696	969.152	704.490	965.571	245.318	962.013	955.987	287.915	715.764	985.423	980.062	.	527.491	716.658	979.905	714.097	681.418	990.047	122.834	130.072	146.460	263.475	741.047	784.949	663.154	768.513	781.673	391.372	994.824	219.419	961.423	935.529	427.860	363.366	687.666	169.414	524.873	266.098	405.133	494.239	269.867	429.264	689.347	944.368	945.949	950.011	951.339	966.145	965.047	437.372	699.582	946.941	945.663	947.772	948.745	pinger.cemb.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.CEMB.EDU.N2	AU.AARNET.PERTH.NET	?B	1098.686	1097.491	1095.234	1090.809	1096.421	793.117	1086.164	1087.274	1089.050	1089.016	1077.585	563.886	473.834	810.180	816.322	1112.125	.	629.367	290.913	406.723	810.447	546.366	603.435	140.997	124.678	173.669	250.301	511.043	549.853	973.618	732.048	740.181	722.831	1123.407	261.041	792.542	1040.233	851.055	250.724	196.682	150.415	499.596	351.393	314.195	396.433	295.543	465.480	791.227	1088.695	1083.130	781.861	1075.104	1066.980	1066.643	1064.703	553.186	1083.632	791.170	1085.858	1090.464	pinger.cemb.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.CEMB.EDU.N2	BA.UTIC.NET.N1	?B	516.214	1982.338	1984.955	1977.035	1975.197	1982.202	1957.157	1987.802	905.732	1983.539	1977.624	1445.180	1917.594	1709.235	1963.037	548.456	1985.657	1012.270	1009.929	1434.319	825.970	711.412	1959.813	264.491	346.668	846.070	1777.648	890.896	1780.450	1778.100	1764.097	1278.728	1726.462	544.155	1852.847	1427.424	1428.412	1928.961	1450.661	1413.120	460.347	979.028	440.317	477.781	1391.294	370.010	779.115	1921.000	1926.971	1902.020	1947.774	1929.765	1402.764	1400.444	1919.735	1916.351	1914.862	1939.144	1405.433	1931.608	pinger.cemb.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.CEMB.EDU.N2	BD.DUET.AC.N1	?B	2294.692	1667.995	2295.550	2295.274	2293.557	2294.291	2313.418	1730.797	1726.498	1190.424	603.566	488.674	526.981	609.734	589.764	1712.089	.	2108.896	1728.036	472.749	513.651	860.976	2362.020	291.774	200.645	178.017	185.875	208.364	584.343	2001.665	1556.476	512.333	784.796	712.930	320.773	545.147	2356.073	666.643	260.281	581.653	246.756	226.689	324.745	956.529	965.638	506.226	1651.756	1646.025	1276.977	241.949	.	2205.037	2194.224	2257.275	526.287	776.346	1681.970	1187.422	838.598	1683.224	pinger.cemb.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
