#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.KINNAIRD.SEECS.EDU	AF.MOD.GOV.AF	?B	.	.	.	.	.	264.334	348.820	.	.	221.678	80.640	263.388	96.346	.	.	.	512.764	79.233	168.879	117.469	43.589	.	.	99.528	110.174	172.910	272.002	337.442	.	.	141.109	512.150	509.686	505.500	116.471	.	.	512.158	372.751	372.441	197.924	512.132	.	.	508.363	507.617	51.290	.	.	.	.	340.163	249.643	161.516	87.759	520.254	.	.	517.468	518.568	kinnaird.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.KINNAIRD.SEECS.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	237.871	297.054	.	.	288.154	253.279	236.186	396.367	.	.	.	238.468	334.715	241.413	231.899	398.558	.	.	196.978	229.050	288.226	245.602	263.767	.	.	192.666	516.154	456.894	461.023	463.057	.	.	301.599	294.524	405.219	354.513	264.453	.	.	397.189	585.767	449.688	.	.	.	.	397.781	466.929	331.762	445.261	427.568	.	.	1094.236	311.306	kinnaird.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.KINNAIRD.SEECS.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1083.559	.	1656.056	1667.950	1674.267	.	.	1226.355	1686.764	1682.855	1670.229	1683.023	.	.	1197.366	1675.823	1678.214	457.032	1143.063	.	.	1634.360	1354.403	251.349	.	.	.	.	1080.485	1485.951	236.546	229.529	382.110	.	.	78.138	532.463	kinnaird.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.KINNAIRD.SEECS.EDU	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	957.554	962.138	.	.	964.314	650.311	691.297	546.000	.	.	.	658.602	495.330	529.785	984.364	264.901	.	.	114.623	146.932	128.428	216.816	738.269	.	.	555.097	785.797	255.690	998.073	971.977	.	.	431.307	197.340	356.040	512.745	603.583	.	.	241.073	374.892	474.703	.	.	.	.	951.152	965.971	965.209	959.484	963.267	.	.	949.992	947.685	kinnaird.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.KINNAIRD.SEECS.EDU	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	979.255	977.332	.	.	981.510	662.830	708.939	977.514	.	.	.	672.080	687.201	1009.368	518.432	1007.203	.	.	114.832	137.434	118.045	262.547	750.537	.	.	780.941	580.021	772.440	741.870	990.492	.	.	358.128	302.644	214.328	236.434	363.627	.	.	413.571	470.564	961.405	.	.	.	.	646.978	982.448	981.190	646.876	979.781	.	.	976.076	976.299	kinnaird.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.KINNAIRD.SEECS.EDU	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	512.891	996.124	.	.	230.854	477.221	513.911	994.984	.	.	.	212.149	705.976	754.653	754.187	313.784	.	.	128.208	118.894	177.522	734.024	506.506	.	.	794.157	591.154	787.053	539.062	1017.320	.	.	634.564	266.564	366.782	314.176	311.469	.	.	424.472	991.254	668.567	.	.	.	.	650.005	978.395	977.680	650.282	985.439	.	.	984.868	989.408	kinnaird.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.KINNAIRD.SEECS.EDU	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	952.369	941.893	.	.	238.644	943.917	496.067	555.012	.	.	.	306.607	816.782	981.813	712.849	975.176	.	.	110.510	131.949	134.049	233.615	248.148	.	.	549.838	566.720	752.956	990.522	965.200	.	.	605.230	195.814	353.486	231.605	719.640	.	.	958.677	961.595	645.708	.	.	.	.	932.639	937.804	937.617	914.573	944.640	.	.	958.738	962.164	kinnaird.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.KINNAIRD.SEECS.EDU	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	1074.934	1071.948	.	.	1074.619	1060.707	1080.606	1085.030	.	.	.	527.894	762.246	601.077	1119.123	394.171	.	.	114.617	141.513	139.891	250.494	700.349	.	.	727.865	539.873	719.765	822.018	525.635	.	.	621.672	492.898	244.651	248.973	688.809	.	.	234.136	1087.154	721.789	.	.	.	.	718.576	1062.682	1062.107	700.693	1058.997	.	.	1079.246	737.904	kinnaird.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.KINNAIRD.SEECS.EDU	BD.DUET.AC.N1	?B	.	.	.	.	.	2327.891	2362.977	.	.	2386.373	671.617	721.002	421.270	.	.	.	662.813	600.308	1749.121	480.370	389.517	.	.	450.931	192.165	211.928	209.863	181.449	.	.	1555.311	1092.308	496.270	469.293	285.051	.	.	426.808	239.950	1540.446	342.063	133.457	.	.	963.137	695.453	2228.973	.	.	.	.	2296.556	2287.993	908.575	1077.260	656.548	.	.	2377.665	2370.619	kinnaird.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.KINNAIRD.SEECS.EDU	BJ.GOUV.N1	?B	.	.	.	.	.	143.575	226.919	.	.	149.394	359.217	189.477	147.631	.	.	.	153.074	.	171.022	222.386	194.224	.	.	123.426	151.149	291.316	328.830	278.925	.	.	220.689	214.905	209.921	179.412	171.218	.	.	238.551	205.961	259.154	195.019	469.547	.	.	492.664	762.099	586.831	.	.	.	.	183.129	261.516	109.572	181.567	140.134	.	.	145.902	130.252	kinnaird.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
