#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.KOHAT.EDU.N2	AF.MOD.GOV.AF	?B	.	.	.	.	.	118.793	507.723	.	.	.	133.435	506.651	504.487	505.395	.	.	.	.	152.927	360.664	336.325	.	.	.	257.249	192.958	499.868	503.549	506.403	506.001	507.184	507.714	504.359	504.850	42.557	25.037	23.980	38.209	32.072	48.585	46.395	182.104	17.462	18.699	44.052	66.340	19.396	18.126	13.378	45.251	124.335	33.375	33.462	47.234	37.039	131.104	.	372.877	.	76.267	pinger.kohat.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.KOHAT.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	440.843	299.946	.	.	.	732.856	233.919	648.249	259.897	.	.	.	.	451.063	398.178	436.812	.	.	.	685.420	311.449	282.981	514.533	378.357	476.454	280.419	596.724	508.429	652.711	1055.186	475.812	481.442	473.737	404.062	527.553	682.029	490.088	441.189	319.558	654.623	327.053	789.972	725.876	253.244	535.883	674.795	526.724	756.940	1168.993	531.259	815.467	.	528.893	.	467.870	pinger.kohat.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.KOHAT.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1537.099	391.580	1530.639	1558.253	1550.838	1603.861	1602.958	1582.926	1566.901	613.842	1604.802	1595.414	1539.531	1593.265	1590.871	1588.052	841.927	257.332	561.252	551.341	512.916	1029.887	1135.992	1134.410	828.418	1213.962	831.728	1267.950	305.243	902.786	391.050	.	437.400	.	959.257	pinger.kohat.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.KOHAT.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	746.385	742.798	.	.	.	743.346	754.478	499.480	769.951	.	.	.	.	357.610	760.837	375.458	.	.	.	286.232	409.853	513.425	297.423	298.605	722.714	725.956	534.023	770.218	238.829	748.012	744.358	741.682	746.369	753.161	263.597	390.817	415.166	747.593	747.440	747.535	398.620	744.039	749.049	748.672	750.377	750.802	750.041	744.752	541.117	746.259	382.759	.	750.340	.	341.254	pinger.kohat.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.KOHAT.EDU.N2	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	758.153	756.333	.	.	.	752.612	503.452	756.257	782.055	.	.	.	.	363.664	774.025	515.336	.	.	.	765.266	738.896	232.885	241.983	524.370	732.878	736.474	746.009	568.898	777.991	758.891	756.302	753.184	757.227	543.293	203.423	773.946	543.254	757.175	756.919	754.899	324.072	747.493	315.266	755.604	754.146	753.914	754.067	755.637	754.958	750.015	754.123	.	751.564	.	546.948	pinger.kohat.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.KOHAT.EDU.N2	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	770.839	771.233	.	.	.	772.628	783.235	781.474	805.567	.	.	.	.	373.827	409.206	205.214	.	.	.	211.872	427.120	735.249	738.567	381.146	344.447	757.917	765.773	805.525	237.889	785.201	783.423	780.603	783.476	787.265	318.821	579.011	434.520	782.187	783.078	314.188	325.658	778.608	777.132	773.928	777.122	776.054	775.847	768.179	412.335	769.386	559.623	.	775.204	.	115.124	pinger.kohat.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.KOHAT.EDU.N2	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	733.736	728.238	.	.	.	731.314	731.970	731.533	764.068	.	.	.	.	257.429	756.426	761.134	.	.	.	191.197	724.847	361.168	705.752	514.913	719.305	379.528	531.888	764.666	239.907	757.903	344.191	755.487	754.490	540.994	207.169	556.871	745.969	550.503	758.891	396.988	399.033	187.511	380.015	739.726	737.952	737.836	489.557	738.087	737.114	307.813	393.684	.	733.254	.	736.677	pinger.kohat.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.KOHAT.EDU.N2	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	709.606	705.141	.	.	.	705.570	704.247	701.070	724.167	.	.	.	.	337.858	522.451	244.468	.	.	.	183.495	500.108	486.040	488.014	673.560	683.234	686.509	694.038	726.228	220.322	333.950	710.143	707.595	710.548	713.894	198.288	719.129	701.458	710.265	710.512	373.093	304.541	704.468	700.470	704.899	702.659	702.350	343.516	704.155	510.804	701.208	510.087	.	702.283	.	104.466	pinger.kohat.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.KOHAT.EDU.N2	BD.DUET.AC.N1	?B	.	.	.	.	.	1255.974	1280.934	.	.	.	138.567	1284.159	473.135	186.576	.	.	.	.	478.859	274.619	248.907	.	.	.	206.353	242.092	206.687	193.555	1058.008	1443.017	1482.485	463.159	1069.560	337.520	174.267	262.733	517.696	398.742	258.173	1312.380	979.738	260.999	337.210	1038.844	663.847	543.505	318.567	1276.893	449.766	144.712	.	713.383	503.149	1257.406	372.015	341.003	.	552.058	.	182.527	pinger.kohat.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.KOHAT.EDU.N2	BJ.GOUV.N1	?B	.	.	.	.	.	112.705	124.014	.	.	.	124.480	199.832	181.164	548.999	.	.	.	.	145.262	209.743	207.543	.	.	.	167.254	195.384	265.228	204.268	1168.725	531.907	212.912	192.314	244.088	174.498	190.578	1171.593	1171.670	236.047	201.236	357.591	356.159	237.497	810.676	830.905	360.337	326.336	366.551	183.701	194.759	156.942	284.498	162.363	208.029	151.051	169.374	194.885	.	481.555	.	219.801	pinger.kohat.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.KOHAT.EDU.N2	BO.UMSS.EDU.N1	?M	.	.	.	.	.	980.579	980.671	.	.	.	943.861	950.821	951.881	952.218	.	.	.	.	636.488	487.734	952.935	.	.	.	957.798	885.719	359.910	259.566	429.043	868.749	460.501	892.363	898.845	372.773	235.867	611.818	387.641	703.736	896.526	488.594	944.796	931.284	926.284	494.270	965.501	353.551	247.598	682.086	674.459	932.104	939.186	878.303	891.266	938.452	654.760	653.354	.	499.231	.	889.919	pinger.kohat.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.KOHAT.EDU.N2	BR.UNESP.N1	?M	.	.	.	.	.	901.091	893.497	.	.	.	608.794	835.929	902.960	847.484	.	.	.	.	357.132	902.697	447.370	.	.	.	354.138	489.456	831.042	363.301	431.835	873.417	834.032	865.370	447.391	501.477	993.059	1004.040	1003.880	995.312	991.384	988.804	991.501	974.918	995.521	992.702	521.175	292.519	254.370	982.372	982.642	982.871	982.311	655.297	651.288	981.632	905.795	651.044	.	924.906	.	981.571	pinger.kohat.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.KOHAT.EDU.N2	BY.MTEC.N1	?B	.	.	.	.	.	1234.889	1911.228	.	.	.	1918.632	1921.455	1926.336	1173.592	.	.	.	.	1149.583	1256.100	380.350	.	.	.	1247.727	882.650	1720.740	1726.941	1736.807	1752.899	1744.362	1748.472	1765.042	1250.124	1158.463	1755.439	1771.874	1742.422	1824.018	1802.726	394.175	1768.789	850.213	887.357	435.795	1333.807	1897.176	1917.314	1404.263	1897.887	1933.523	1930.062	1929.253	1929.372	361.207	1352.489	.	1929.393	.	285.831	pinger.kohat.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.KOHAT.EDU.N2	CA.CARLETON.N1	?B	.	.	.	.	.	1479.995	1467.839	.	.	.	1486.300	1463.341	241.996	1475.076	.	.	.	.	559.598	543.622	509.765	.	.	.	521.102	207.830	192.135	1046.746	1466.037	1463.026	1467.957	1475.813	1447.060	1449.864	1484.660	1477.111	1476.889	1444.201	1470.492	1470.804	751.938	1036.397	1369.734	1420.382	724.343	1435.350	1451.008	1447.632	1440.952	1429.499	1454.435	971.682	1448.172	1422.453	1402.095	976.242	.	1417.816	.	1455.811	pinger.kohat.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
PK.KOHAT.EDU.N2	CA.TRIUMF.N1	?M	.	.	.	.	.	1181.028	1181.268	.	.	.	1188.065	1187.246	203.297	1189.704	.	.	.	.	468.430	862.348	288.265	.	.	.	378.678	565.425	1133.253	835.909	591.866	1182.071	203.228	1190.026	392.423	986.194	786.167	1190.703	1190.689	1178.730	1187.025	853.482	602.749	1178.475	1189.280	638.378	846.048	863.007	1184.652	873.082	601.538	343.024	246.322	399.717	137.200	1185.531	1185.803	430.210	.	606.784	.	857.240	pinger.kohat.edu.pk	PK	South_Asia	sitka.triumf.ca	CA	North_America
PK.KOHAT.EDU.N2	CH.CERN.N1	?B	.	.	.	.	.	2341.465	2343.452	.	.	.	2338.386	2338.208	1526.567	2337.447	.	.	.	.	895.959	1696.747	2339.106	.	.	.	836.248	1669.933	1682.603	2309.206	2335.980	2320.962	2344.148	2344.900	2320.774	2344.534	2342.993	2346.420	2346.102	2314.317	2331.036	2324.132	798.644	2288.469	2107.346	2225.220	1139.584	750.077	1632.720	2302.083	2326.894	408.777	2324.227	2323.445	2326.848	2326.699	2312.401	1247.861	.	2320.133	.	2336.509	pinger.kohat.edu.pk	PK	South_Asia	ping.cern.ch	CH	Europe
PK.KOHAT.EDU.N2	CH.EPFL.N1	?B	.	.	.	.	.	2296.392	2297.580	.	.	.	1975.650	2311.957	2331.214	2329.666	.	.	.	.	688.059	1673.307	820.533	.	.	.	1210.942	1623.133	2060.184	992.790	1960.619	2038.238	1972.043	1987.835	1748.879	1386.771	1984.984	1994.612	586.713	1927.082	1999.072	1436.079	1078.983	2280.252	2104.253	2230.313	958.430	288.641	1392.070	1401.848	1988.167	443.870	1981.373	1979.439	2001.125	2046.377	2029.725	2029.315	.	2210.228	.	902.213	pinger.kohat.edu.pk	PK	South_Asia	eltca1.epfl.ch	CH	Europe
PK.KOHAT.EDU.N2	CM.CAMNET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	714.451	1373.997	1374.098	396.145	.	.	81.928	84.443	66.240	117.378	1375.120	.	1369.952	.	1368.410	pinger.kohat.edu.pk	PK	South_Asia	www.camnet.cm	CM	Africa
PK.KOHAT.EDU.N2	CN.IHEP.AC.N2	?B	.	.	.	.	.	781.347	783.779	.	.	.	533.561	518.356	518.976	787.798	.	.	.	.	308.684	568.670	521.395	.	.	.	569.232	402.557	784.948	791.575	577.794	791.784	787.583	795.345	787.282	401.239	529.111	799.057	800.202	338.959	787.284	784.816	790.710	569.939	554.229	777.845	409.103	569.589	560.400	789.155	791.455	785.528	789.480	789.275	790.920	790.922	128.476	134.103	.	789.265	.	787.265	pinger.kohat.edu.pk	PK	South_Asia	ihep.ac.cn	CN	East_Asia
