#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NCA.EDU.N2	AF.MOD.GOV.AF	?B	375.816	517.955	517.401	375.849	515.605	512.843	512.463	372.626	510.355	358.842	68.758	137.436	368.833	363.960	508.648	.	101.519	84.122	117.546	79.243	78.451	512.682	273.772	103.874	157.975	131.497	504.567	508.829	.	65.357	512.535	512.813	509.067	262.584	263.654	124.633	160.953	509.168	512.645	512.282	115.459	261.827	37.988	38.790	369.025	511.572	32.062	18.235	12.004	150.925	347.965	494.291	103.010	204.159	204.931	214.463	262.468	263.466	259.959	207.612	pinger.nca.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.NCA.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	284.982	289.461	235.870	385.831	451.890	468.495	477.411	283.586	291.793	1001.203	587.864	595.197	340.320	307.958	355.485	.	277.943	319.477	499.578	507.051	456.978	654.428	177.511	304.524	287.824	486.216	398.383	614.309	.	567.097	328.274	1436.964	998.279	437.087	619.985	337.840	522.769	672.521	341.461	577.143	320.915	366.000	339.699	375.249	265.848	470.057	544.599	601.374	215.507	1699.825	479.426	549.414	810.939	457.384	437.392	489.201	587.140	1283.029	618.016	683.086	pinger.nca.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NCA.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1647.561	1177.096	844.912	.	1226.667	1685.189	1686.486	1199.764	1197.855	1686.368	1690.336	1684.042	1617.607	633.151	1673.810	359.990	1640.960	279.232	499.418	456.075	1471.018	539.841	525.585	1616.714	473.756	1292.484	1465.517	641.227	562.576	458.393	554.148	576.598	856.629	204.702	515.682	pinger.nca.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NCA.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	969.402	967.106	965.767	495.396	968.999	963.260	694.981	959.559	493.217	263.337	695.356	496.480	965.317	198.880	989.875	.	292.913	532.359	265.980	985.876	715.183	288.656	530.483	112.644	118.683	173.551	212.212	544.667	.	911.731	766.360	786.371	754.858	327.525	953.401	966.183	244.444	833.314	266.510	179.767	350.287	296.036	317.461	498.444	184.085	966.062	901.398	182.408	751.708	752.925	363.457	363.569	254.463	509.076	515.987	540.406	754.120	765.064	754.068	749.994	pinger.nca.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NCA.EDU.N2	AU.AARNET.BRISBANE.NET	?B	976.690	979.706	978.293	974.918	976.129	973.901	969.084	972.722	974.154	225.033	499.055	973.923	502.599	228.838	1013.973	.	328.798	1012.724	273.663	519.004	1008.894	1004.149	1013.580	154.416	155.798	176.863	391.224	762.877	.	929.175	778.688	800.437	766.812	1026.313	972.642	987.127	249.389	847.724	265.159	185.683	290.417	272.915	306.978	413.475	381.276	981.941	906.290	196.942	760.617	390.313	725.716	364.703	237.053	515.118	366.821	750.071	755.397	766.822	762.611	756.734	pinger.nca.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NCA.EDU.N2	AU.AARNET.CANBERRA.NET	?B	1000.802	997.049	727.277	998.271	1001.366	1003.706	1001.724	1004.966	1006.249	1007.548	731.055	1004.679	1004.611	238.096	755.681	.	293.056	436.264	755.531	754.679	1035.652	283.291	1040.993	151.731	95.020	156.057	195.995	564.017	.	951.610	793.583	814.802	781.369	1054.001	998.164	1014.053	255.778	314.459	381.283	171.551	152.469	254.139	230.001	1014.859	288.798	1006.938	929.968	277.450	769.948	765.936	732.998	369.124	259.542	368.113	725.004	765.977	771.134	781.827	559.742	766.462	pinger.nca.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NCA.EDU.N2	AU.AARNET.HOBART.N2	?B	950.055	949.716	950.338	947.412	945.974	686.837	239.848	949.014	950.171	949.115	948.303	951.626	690.808	218.821	985.224	.	272.953	304.017	529.298	713.592	355.169	397.513	372.621	137.034	88.890	133.261	188.517	745.278	.	907.042	763.064	782.227	751.769	1000.222	948.132	959.970	243.231	299.532	382.961	144.537	349.188	305.555	300.773	517.958	204.442	692.245	884.579	719.088	741.114	735.732	501.306	501.760	191.625	287.566	374.338	732.662	739.227	749.769	739.127	735.102	pinger.nca.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.NCA.EDU.N2	AU.AARNET.PERTH.NET	?B	559.741	1091.589	1089.113	1086.323	1088.291	1082.596	781.114	1077.486	1079.005	1073.900	1077.002	788.640	1091.491	265.345	815.363	.	226.014	470.038	274.122	1117.294	375.213	258.277	433.622	118.172	122.120	218.654	224.542	710.073	.	957.427	731.108	742.661	715.026	1137.590	383.142	1090.345	271.016	611.791	354.268	221.329	246.293	356.444	291.345	561.143	226.667	1091.078	946.270	347.944	713.945	711.806	487.239	345.562	217.152	342.441	675.286	512.336	713.259	724.324	519.108	515.562	pinger.nca.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NCA.EDU.N2	BD.DUET.AC.N1	?B	2352.047	2351.754	2351.100	2350.997	2349.290	2349.814	2396.849	1254.623	2440.366	2338.989	998.800	678.381	457.705	800.457	596.761	.	2427.011	1766.875	1017.296	456.579	733.747	964.046	658.556	418.785	183.280	204.169	205.051	177.486	.	1484.470	683.323	455.713	1540.171	473.065	374.684	552.363	1007.812	518.901	286.969	1553.864	262.130	215.851	523.340	776.175	638.845	858.644	1672.870	385.551	211.789	82.445	.	607.513	291.622	265.056	231.900	329.782	738.240	1025.424	232.123	335.640	pinger.nca.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.NCA.EDU.N2	BJ.GOUV.N1	?B	306.125	263.939	160.931	253.357	184.244	150.133	156.931	432.932	237.248	181.762	283.450	195.044	230.858	191.052	433.678	.	173.358	389.583	172.645	210.545	230.528	282.983	392.409	128.957	132.293	236.315	325.426	268.185	.	612.227	236.167	158.051	258.228	263.289	245.929	867.016	612.947	164.136	334.140	416.680	284.440	171.894	476.002	391.791	308.364	856.693	251.127	196.892	197.844	539.578	207.717	146.890	159.499	157.002	130.686	144.532	578.038	404.133	120.350	193.441	pinger.nca.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
