#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NCP.EDU.N3	AF.MOD.GOV.AF	?B	512.776	513.733	513.651	513.478	511.572	510.088	510.215	371.215	370.982	214.485	84.089	369.762	111.901	498.647	507.902	159.304	139.517	68.746	121.092	231.099	54.473	369.699	506.940	505.664	147.593	143.782	216.997	503.891	176.413	64.172	509.482	509.299	.	.	.	121.461	510.450	509.233	509.545	509.110	261.655	368.358	497.986	367.618	260.612	507.176	369.742	516.367	511.949	373.969	516.197	517.757	211.808	517.619	513.293	515.851	458.520	517.729	517.469	517.112	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.NCP.EDU.N3	AL.ALBANIAONLINE.NET.N1	?B	394.310	326.457	199.041	379.853	532.548	504.207	337.496	290.914	442.235	440.902	493.935	374.177	386.181	404.017	340.752	551.801	261.191	241.607	424.004	399.026	525.424	431.441	241.475	544.172	372.943	514.398	394.692	450.668	339.675	347.877	279.424	607.551	.	.	.	379.134	398.476	671.948	1208.970	696.632	1210.222	535.893	271.666	427.277	453.383	339.614	342.630	715.504	444.372	770.828	719.021	841.071	428.443	413.045	629.646	503.812	513.532	563.962	1676.048	442.252	pinger-ncp.ncp.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NCP.EDU.N3	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1023.466	.	374.600	249.587	379.839	1043.018	258.549	320.087	290.814	.	.	.	391.373	275.139	267.339	251.336	534.720	754.228	145.055	131.439	145.914	125.942	182.228	344.220	433.867	325.511	979.440	767.929	577.212	577.087	580.179	288.052	331.139	386.598	280.087	213.987	418.594	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NCP.EDU.N3	AU.AARNET.ADELAIDE.N1	?B	1308.185	1313.497	1310.954	950.847	1313.042	1308.376	603.330	1278.719	1287.619	851.064	1271.095	1289.240	290.099	1282.143	370.657	928.146	1276.809	648.674	1265.273	1275.515	1264.824	1279.477	1277.852	925.252	1265.323	1281.924	1295.088	1292.038	935.751	1284.244	1289.332	1286.394	.	.	.	1321.174	1272.134	1297.300	1293.073	1305.223	1309.201	1148.363	307.791	846.188	873.244	1195.816	391.416	300.484	1212.669	139.878	124.417	1204.904	1208.119	362.074	1208.384	1212.346	1206.584	311.335	1205.609	1204.434	pinger-ncp.ncp.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	AU.AARNET.BRISBANE.NET	?B	1356.342	1356.494	1356.966	985.921	1358.733	1352.779	627.981	965.325	1338.248	755.042	1309.364	1334.324	320.075	970.848	385.150	1325.772	1325.305	959.615	1323.107	967.116	1333.304	1329.021	1332.065	1330.723	1314.915	1339.615	1347.642	1339.491	1339.258	975.924	1195.411	1334.920	.	.	.	1370.050	1316.086	1343.590	1345.075	1347.512	1351.490	1195.398	344.990	1232.058	899.420	1229.920	636.585	307.942	1249.823	155.872	125.342	1243.419	1248.347	899.454	1247.351	1249.004	1243.176	303.016	902.156	1241.549	pinger-ncp.ncp.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	AU.AARNET.CANBERRA.NET	?B	994.620	1367.116	993.974	1362.122	994.727	1363.413	643.022	1364.974	1221.934	1388.439	1356.885	1379.237	1380.566	1381.917	396.090	1374.546	1370.486	704.220	997.572	1373.965	1377.817	1374.741	1381.009	1377.938	1358.105	1381.068	1390.555	1388.412	1387.190	1389.307	1392.470	1382.762	.	.	.	1382.452	373.344	1389.688	1394.769	1396.632	1393.743	1233.697	365.048	1275.986	1294.021	1262.883	416.262	332.254	1263.730	1256.068	229.453	1262.339	1271.433	381.140	1273.141	1279.148	1268.206	1265.920	1269.583	1268.046	pinger-ncp.ncp.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	AU.AARNET.HOBART.N2	?B	536.621	930.291	1278.263	928.010	659.142	927.870	598.381	1273.432	1282.359	1295.634	1270.930	1288.914	1283.385	1288.052	369.979	1278.580	1282.126	1260.972	1267.637	1275.805	1268.811	1289.867	1287.226	1277.558	1271.393	728.721	1293.217	1292.110	1294.782	1287.483	1294.047	1292.409	.	.	.	1287.719	1260.748	1297.855	1292.082	1305.273	1304.404	1148.130	333.015	1196.478	1216.118	1188.661	498.533	299.954	1188.143	859.980	213.779	1190.350	1198.464	1188.739	869.023	1203.049	868.341	1192.399	641.719	1190.408	pinger-ncp.ncp.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	AU.AARNET.PERTH.NET	?B	2212.231	1608.502	2213.618	1600.905	2216.654	2196.503	858.407	2137.135	2157.459	2170.092	2058.806	479.258	508.239	2153.384	604.379	1543.910	2130.299	2116.424	2116.151	2134.233	2148.761	2135.324	2146.718	2143.374	2099.059	2162.744	2184.418	2163.945	2163.095	2172.357	2175.460	2150.254	.	.	.	2245.368	567.586	2172.159	2177.724	2185.179	2190.468	1627.386	456.046	1346.055	1909.599	1880.215	823.122	591.887	1941.600	215.102	209.657	1896.297	1929.786	556.319	1934.888	1937.202	1924.262	406.442	1905.420	1918.402	pinger-ncp.ncp.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	BD.DUET.AC.N1	?B	2261.473	2269.100	2266.934	2269.384	2257.766	2261.235	2307.852	1719.833	2362.907	2333.834	852.958	847.263	554.438	986.084	505.218	1711.002	658.611	446.273	664.949	501.356	465.766	712.024	1212.281	1543.583	234.615	166.167	168.850	200.832	531.452	361.664	664.277	657.275	.	.	.	768.072	1206.186	515.373	247.352	464.893	547.304	277.942	461.571	2271.159	1648.875	551.685	1636.711	2274.286	2236.320	269.356	.	2275.705	1164.775	973.951	815.805	584.889	1711.893	2354.440	1709.997	851.623	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.NCP.EDU.N3	BJ.GOUV.N1	?B	320.701	226.417	163.031	205.828	153.875	147.602	178.612	383.575	263.316	220.198	264.355	173.911	183.791	218.645	596.469	284.289	160.845	248.200	165.664	226.742	303.209	495.939	380.748	158.724	159.155	186.829	247.700	198.365	841.538	1165.099	189.418	197.096	.	.	.	1165.768	598.908	271.056	297.896	258.215	283.799	188.991	565.512	824.864	482.837	613.985	282.165	193.769	196.401	305.526	235.507	142.400	152.912	155.742	156.899	149.612	1103.205	310.935	155.660	167.993	pinger-ncp.ncp.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
