#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NU.EDU.N2	AF.MOD.GOV.AF	?B	515.128	458.873	515.416	515.531	513.907	512.466	117.482	262.724	366.529	511.732	370.935	211.416	196.772	369.223	511.798	85.928	88.433	.	245.743	347.751	348.035	99.423	371.548	132.731	126.444	222.234	235.164	347.992	505.373	512.061	240.029	.	512.013	372.114	41.178	28.183	26.560	32.621	27.205	47.330	30.846	204.021	14.190	14.810	36.673	73.672	16.782	10.903	11.582	.	.	33.820	40.434	31.913	33.073	64.986	214.295	164.554	27.953	117.906	pinger.lhr.nu.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.NU.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	197.441	174.923	168.646	238.054	255.822	227.826	307.978	336.636	230.849	290.432	306.022	260.660	243.566	335.135	310.228	300.098	295.698	.	273.155	480.536	632.616	264.537	239.102	215.786	230.411	1667.294	305.764	306.382	312.696	205.624	194.074	.	547.530	286.826	459.737	290.095	298.326	341.880	470.765	378.915	278.734	681.532	304.888	280.414	868.733	387.763	521.712	561.229	179.397	.	.	566.633	449.415	303.544	337.593	515.984	345.671	397.122	614.309	692.201	pinger.lhr.nu.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NU.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1601.307	745.726	1585.155	1700.335	1708.617	1113.936	.	1666.778	863.153	1704.476	1701.828	1232.296	1665.727	1691.576	1696.135	290.364	752.939	174.278	533.367	583.782	472.828	608.018	689.845	1486.079	.	.	633.010	882.703	390.927	697.677	350.408	1149.158	1175.428	204.207	1257.357	pinger.lhr.nu.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NU.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	963.085	957.193	964.277	960.994	698.465	693.598	947.389	691.004	949.514	224.635	346.719	667.058	942.567	207.539	995.521	981.016	142.228	.	672.121	990.771	1001.378	979.090	994.026	104.677	113.692	95.976	229.375	705.286	753.741	948.217	714.411	.	764.435	514.973	967.200	970.301	939.782	840.488	266.378	463.632	190.579	469.922	161.804	272.238	419.290	207.057	155.240	583.322	745.196	.	.	343.009	703.150	240.020	667.877	497.518	754.249	753.038	746.351	751.861	pinger.lhr.nu.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NU.EDU.N2	AU.AARNET.BRISBANE.NET	?B	983.796	983.681	983.687	980.366	984.338	984.286	978.820	981.406	984.533	379.393	711.391	483.723	984.479	235.165	602.786	1007.091	189.493	.	396.152	1011.635	1022.207	1000.761	735.514	152.385	81.646	135.914	96.260	716.870	762.879	967.385	724.294	.	777.931	525.155	986.394	989.166	695.789	595.496	293.946	331.998	120.115	281.155	191.038	398.542	508.475	169.369	609.536	735.158	759.726	.	.	281.441	724.344	727.195	328.220	752.805	770.033	765.808	758.624	765.138	pinger.lhr.nu.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NU.EDU.N2	AU.AARNET.CANBERRA.NET	?B	896.670	1007.760	1007.708	1004.021	1008.272	1007.695	680.216	1005.720	1003.032	1002.475	730.171	1006.135	1009.037	239.399	621.204	1038.255	534.120	.	360.683	1039.289	716.099	1029.279	450.639	126.624	97.212	118.064	262.990	732.150	784.272	993.334	740.665	.	577.665	1055.491	706.732	1018.215	984.701	877.449	308.903	114.106	250.882	281.481	185.090	690.925	426.928	195.611	627.469	753.366	778.024	.	.	290.056	503.991	744.463	274.383	763.326	704.152	523.683	781.086	786.891	pinger.lhr.nu.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NU.EDU.N2	AU.AARNET.HOBART.N2	?B	965.044	959.340	964.340	961.061	964.492	960.709	644.446	956.697	953.769	955.851	954.661	963.718	951.329	314.518	989.765	977.335	981.839	.	473.412	398.046	997.796	976.697	989.942	131.069	154.381	124.700	178.687	703.626	751.114	946.797	705.284	.	553.990	999.841	385.978	966.196	680.174	837.359	499.716	266.975	266.528	743.110	494.530	654.835	318.558	155.463	189.042	589.976	741.837	.	.	330.815	486.053	718.024	272.433	500.696	673.396	753.755	745.446	748.213	pinger.lhr.nu.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.NU.EDU.N2	AU.AARNET.PERTH.NET	?B	784.879	1078.954	1079.537	1076.838	1080.544	1085.481	1090.953	1096.225	1098.335	1097.858	1093.510	530.958	1076.837	254.442	1128.929	1117.681	418.833	.	761.700	763.309	458.691	802.546	634.810	125.643	85.871	91.240	241.820	455.830	714.624	1038.126	678.884	.	525.738	1132.783	1083.187	1095.121	758.210	598.863	477.415	220.964	190.620	301.882	300.632	1095.169	330.134	1072.055	962.837	320.858	702.265	.	.	664.300	679.976	682.749	309.943	705.600	714.141	709.118	466.473	706.734	pinger.lhr.nu.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NU.EDU.N2	BA.UTIC.NET.N1	?B	1990.446	1980.402	1980.017	1444.288	1962.784	1984.439	1991.336	1992.670	1987.839	1991.871	1982.540	1985.141	1987.946	1964.658	1988.024	1977.753	820.920	.	1348.450	1000.645	1346.666	386.399	1966.690	314.049	325.986	551.996	1174.995	482.540	1942.215	1283.292	751.006	.	1898.533	1930.542	1944.982	1974.871	1969.886	1960.477	2050.536	1953.411	366.394	1620.837	223.572	735.549	996.031	579.761	1849.638	1232.203	2021.497	.	.	1790.799	1659.091	1152.583	1069.032	1828.689	1817.598	1843.786	1912.130	2019.415	pinger.lhr.nu.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.NU.EDU.N2	BD.DUET.AC.N1	?B	2318.557	2063.952	1685.359	2319.038	1683.976	2318.131	1600.972	2407.361	2139.165	2318.331	528.568	726.185	376.853	819.460	495.751	2382.475	1725.988	.	798.772	554.381	2394.712	793.539	984.637	262.138	189.789	205.187	260.003	146.156	1487.620	2217.459	1533.049	.	639.461	493.040	341.136	550.352	1714.688	437.044	182.947	1065.312	290.609	255.302	496.259	1551.447	566.839	362.123	1879.984	539.208	1027.428	.	.	294.373	443.904	636.440	161.492	279.037	1010.449	1008.278	1005.541	488.872	pinger.lhr.nu.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
