#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NUKHIMAIN.SEECS.EDU	AF.MOD.GOV.AF	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	525.842	143.190	.	.	.	.	.	.	.	.	.	.	.	.	.	523.708	.	.	.	.	89.427	17.836	45.887	24.123	78.088	.	.	24.359	355.541	40.427	40.466	533.870	.	.	.	.	.	535.053	344.213	.	.	.	65.365	nukhimain.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.NUKHIMAIN.SEECS.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	549.668	422.055	.	.	.	.	.	.	.	.	.	.	.	.	.	566.392	.	.	.	.	812.627	627.728	439.534	538.177	916.123	.	.	864.584	350.324	470.715	535.725	545.525	.	.	.	.	.	274.793	617.272	.	.	.	780.902	nukhimain.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NUKHIMAIN.SEECS.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1160.042	.	.	.	.	428.499	765.569	220.632	154.206	122.239	.	.	103.475	992.696	1100.025	1112.796	1032.991	.	.	.	.	.	1077.866	97.296	.	.	.	1113.227	nukhimain.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NUKHIMAIN.SEECS.EDU	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1463.830	1449.588	.	.	.	.	.	.	.	.	.	.	.	.	.	219.475	.	.	.	.	159.151	426.075	423.075	298.900	638.148	.	.	1382.734	1395.747	943.913	1395.961	1396.263	.	.	.	.	.	1315.689	1395.815	.	.	.	1395.178	nukhimain.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NUKHIMAIN.SEECS.EDU	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1516.475	1516.436	.	.	.	.	.	.	.	.	.	.	.	.	.	179.668	.	.	.	.	114.925	616.489	618.394	612.890	962.250	.	.	1443.666	1443.565	1437.284	1442.001	1441.325	.	.	.	.	.	1356.755	931.938	.	.	.	1440.438	nukhimain.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NUKHIMAIN.SEECS.EDU	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1566.945	1560.642	.	.	.	.	.	.	.	.	.	.	.	.	.	212.660	.	.	.	.	911.945	314.833	440.931	324.921	665.752	.	.	1489.187	1488.901	1482.993	1487.857	1488.314	.	.	.	.	.	1396.552	1487.782	.	.	.	1486.616	nukhimain.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NUKHIMAIN.SEECS.EDU	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1453.460	1450.075	.	.	.	.	.	.	.	.	.	.	.	.	.	100.382	.	.	.	.	872.503	272.927	875.618	344.198	631.698	.	.	1376.820	1386.106	938.056	1387.041	1386.932	.	.	.	.	.	1307.586	1387.639	.	.	.	1386.471	nukhimain.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.NUKHIMAIN.SEECS.EDU	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2658.282	2659.768	.	.	.	.	.	.	.	.	.	.	.	.	.	203.720	.	.	.	.	975.961	680.625	385.600	980.406	707.224	.	.	2443.823	2441.073	2420.322	1661.547	2443.408	.	.	.	.	.	2210.210	2442.663	.	.	.	2440.903	nukhimain.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NUKHIMAIN.SEECS.EDU	BA.UTIC.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2220.925	2194.808	.	.	.	.	.	.	.	.	.	.	.	.	.	2074.739	.	.	.	.	1958.792	2320.621	543.589	1467.938	2129.068	.	.	2050.417	360.034	1427.231	2090.289	2117.397	.	.	.	.	.	2106.728	2119.041	.	.	.	2130.553	nukhimain.seecs.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.NUKHIMAIN.SEECS.EDU	BD.DUET.AC.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2748.904	1056.179	.	.	.	.	.	.	.	.	.	.	.	.	.	1685.380	.	.	.	.	453.583	778.884	575.876	418.705	231.250	.	.	2573.740	1793.867	2645.462	2646.205	.	.	.	.	.	.	739.386	1021.199	.	.	.	274.500	nukhimain.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
