#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NWFPUET.EDU.N1	AF.MOD.GOV.AF	?B	511.335	362.809	511.382	510.845	509.561	506.414	360.247	451.970	505.594	191.597	26.830	506.623	109.970	507.325	367.055	114.580	115.019	73.110	138.679	118.660	55.230	122.610	368.910	332.569	115.189	186.787	271.638	505.525	128.608	65.959	43.646	509.334	286.434	509.635	509.350	142.245	124.945	508.397	369.460	508.101	369.312	450.069	255.267	365.844	212.463	507.599	506.672	514.546	220.809	215.212	373.852	516.415	173.382	515.553	369.362	264.104	513.186	515.068	128.586	373.159	pinger.nwfpuet.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.NWFPUET.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	217.579	201.086	171.981	223.244	292.341	268.217	319.661	231.771	221.873	221.245	94.733	261.596	262.918	270.723	213.111	231.984	255.695	210.866	265.070	221.307	282.775	254.424	220.427	253.446	240.743	270.669	207.225	204.195	247.838	272.533	119.261	543.003	426.238	443.325	451.294	435.802	230.867	263.832	288.582	312.481	763.900	380.368	293.596	329.070	546.111	389.837	442.321	285.803	308.853	351.558	353.352	378.208	227.162	366.395	385.638	420.448	418.060	266.066	339.896	373.701	pinger.nwfpuet.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NWFPUET.EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	235.872	.	1558.382	1561.386	1563.092	1141.079	1565.499	161.675	1607.842	1610.735	1602.258	1168.848	1609.028	274.236	1574.092	1160.279	1164.898	1161.285	1136.941	257.823	628.396	520.104	297.446	721.663	1584.409	1142.188	511.113	1215.298	1289.480	324.878	655.090	1272.835	450.470	1177.094	628.731	163.152	557.874	pinger.nwfpuet.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NWFPUET.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	730.764	163.640	731.911	731.986	732.887	736.095	265.222	743.025	740.575	187.743	50.616	738.582	540.817	407.503	757.103	757.105	214.004	215.826	277.093	191.740	757.376	766.000	766.571	757.893	387.300	265.841	509.013	359.119	514.351	729.029	69.068	543.040	763.427	188.311	751.849	750.679	160.239	748.433	753.387	392.701	765.081	419.705	747.544	747.660	748.805	212.854	126.980	246.501	732.169	728.991	527.559	168.696	396.825	737.913	267.143	653.728	162.571	729.622	388.398	710.341	pinger.nwfpuet.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NWFPUET.EDU.N1	AU.AARNET.BRISBANE.NET	?B	754.997	177.873	755.605	754.047	755.431	749.844	307.551	756.867	754.768	202.846	48.110	760.964	767.269	568.371	777.237	778.953	326.615	248.896	325.070	205.115	783.674	790.745	790.311	777.615	561.875	420.637	369.024	260.370	726.985	544.258	58.843	558.477	699.198	192.262	391.134	761.258	154.187	758.778	289.680	229.657	774.017	754.243	756.375	756.070	757.003	195.621	136.234	752.080	751.483	751.041	749.225	173.602	746.427	744.216	321.351	312.056	750.505	546.745	545.173	749.407	pinger.nwfpuet.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NWFPUET.EDU.N1	AU.AARNET.CANBERRA.NET	?B	782.739	186.161	785.961	783.721	785.929	785.169	279.347	568.561	780.112	167.370	42.329	780.618	302.335	580.372	578.278	793.933	259.675	330.636	263.792	163.097	580.197	805.407	804.304	407.743	261.889	392.913	531.888	530.425	538.667	765.203	62.613	321.740	801.694	201.706	795.095	790.278	133.600	791.449	796.475	396.889	804.643	787.722	790.096	790.435	791.119	254.278	137.524	418.395	776.638	779.391	777.563	174.795	231.476	779.160	399.811	780.324	185.882	778.014	202.281	779.697	pinger.nwfpuet.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NWFPUET.EDU.N1	AU.AARNET.HOBART.N2	?B	740.515	152.873	743.986	742.389	743.890	745.481	265.728	742.145	740.925	144.775	45.326	740.036	380.457	558.231	764.563	766.055	188.337	146.842	322.439	207.948	557.431	775.080	776.398	277.994	214.676	535.784	305.917	707.082	715.704	738.662	66.694	550.047	770.478	189.193	548.960	751.983	130.091	752.584	756.920	205.032	558.944	749.648	751.253	751.199	753.068	285.522	133.326	738.072	739.579	740.193	740.939	171.052	744.936	742.948	744.346	744.630	741.610	739.600	538.301	740.070	pinger.nwfpuet.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.NWFPUET.EDU.N1	AU.AARNET.PERTH.NET	?B	713.523	161.843	712.191	710.588	712.708	714.600	271.219	518.994	712.049	165.649	42.858	714.229	718.168	729.847	726.185	727.015	305.444	185.079	373.688	196.542	728.025	736.534	737.632	726.123	239.498	701.253	283.083	282.571	495.486	701.691	61.361	718.791	337.097	177.054	726.467	722.860	142.687	723.990	728.729	363.318	739.128	720.713	722.265	723.025	723.535	242.537	713.594	710.650	706.495	706.644	705.573	163.582	178.382	516.406	366.612	366.529	157.617	705.995	162.103	511.557	pinger.nwfpuet.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NWFPUET.EDU.N1	BD.DUET.AC.N1	?B	1263.494	1244.407	1263.383	1263.458	917.347	1236.842	451.667	461.831	461.717	1296.485	69.885	335.556	266.444	419.933	337.706	1310.407	546.132	442.577	947.981	296.179	315.555	321.502	751.068	706.753	297.343	181.304	168.062	223.381	442.224	1474.912	129.190	1064.131	1062.455	610.507	214.118	487.252	313.219	744.256	279.570	538.437	389.458	227.515	317.136	1024.062	679.684	469.271	626.230	1277.839	1262.253	148.586	.	537.147	426.396	1272.766	329.788	243.526	1277.023	936.148	275.602	358.030	pinger.nwfpuet.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.NWFPUET.EDU.N1	BJ.GOUV.N1	?B	317.969	237.397	154.760	228.295	164.819	148.515	156.141	282.122	338.948	142.430	67.392	178.878	156.703	197.765	299.623	243.938	149.808	242.351	197.101	174.889	217.725	485.339	375.540	178.974	162.986	204.329	378.637	206.346	1154.897	1150.272	85.660	213.365	203.444	213.041	206.239	595.127	311.409	208.671	320.198	281.872	592.888	170.189	1092.659	372.019	349.302	405.306	321.153	184.019	193.691	189.554	220.966	159.077	117.298	170.591	160.097	136.750	1114.809	363.239	124.029	170.564	pinger.nwfpuet.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.NWFPUET.EDU.N1	BO.UMSS.EDU.N1	?M	947.379	278.538	941.575	986.694	717.777	716.502	982.128	717.425	245.929	187.118	55.019	974.579	939.363	349.924	710.383	980.768	235.858	320.629	525.102	297.526	281.738	980.397	980.658	972.687	293.682	818.272	444.924	459.751	623.742	898.056	66.171	455.964	906.584	201.481	253.611	364.348	135.038	527.046	679.819	177.623	947.794	345.173	666.345	964.468	975.702	954.103	349.744	193.509	689.693	957.846	967.774	471.579	128.985	936.849	933.488	921.651	921.268	956.856	228.737	370.238	pinger.nwfpuet.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.NWFPUET.EDU.N1	BR.UNESP.N1	?M	926.265	932.489	930.343	931.617	930.772	929.839	932.658	689.827	949.362	182.720	50.101	626.267	620.615	470.749	948.342	481.423	342.161	269.108	937.537	273.143	938.121	939.336	940.078	936.074	947.679	903.414	260.597	300.440	608.051	449.758	81.458	835.164	959.125	990.231	985.876	986.330	176.356	983.522	985.212	715.539	979.093	711.303	986.336	529.170	979.661	526.635	967.895	250.137	980.396	976.699	973.800	242.721	264.267	333.305	896.278	878.729	883.255	898.130	221.246	425.391	pinger.nwfpuet.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.NWFPUET.EDU.N1	BY.MTEC.N1	?B	1888.145	1942.142	1942.324	1942.169	1906.441	1927.065	1883.097	1845.679	1918.988	456.057	101.235	1915.321	1828.584	1747.497	891.057	1753.141	396.715	449.583	620.261	405.542	890.101	1258.650	1259.209	1197.728	638.911	909.732	1705.643	1723.166	1722.492	1741.305	135.353	1731.685	1753.733	896.790	1733.254	1270.796	310.615	1739.996	1309.525	1792.984	1786.832	1753.134	1196.410	879.722	1278.714	937.076	1877.932	1911.631	1922.259	1374.610	1918.745	693.189	501.960	1908.232	203.725	1326.635	1280.658	1688.272	470.568	496.640	pinger.nwfpuet.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.NWFPUET.EDU.N1	CA.CARLETON.N1	?B	1457.345	1459.412	1461.269	1460.285	1061.621	1473.238	1459.368	1068.200	1468.401	297.973	87.424	1489.581	1444.289	1406.161	1451.896	1474.903	303.500	386.244	452.655	370.828	1077.439	1486.852	752.576	733.873	1053.873	256.439	160.689	1056.107	1474.583	1474.694	113.434	1480.087	1447.069	383.207	1495.120	1485.594	333.920	1474.493	1479.160	1483.441	440.921	1034.326	1377.176	1427.726	1454.079	1438.884	754.952	443.165	1463.323	250.477	788.153	342.056	335.574	1433.399	1422.740	979.510	1386.330	1435.862	167.998	1386.735	pinger.nwfpuet.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
