#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PERN.EDU.N1	AF.MOD.GOV.AF	?B	507.639	261.814	510.510	510.384	509.550	120.443	122.897	510.487	137.160	504.028	505.612	281.805	501.209	506.496	506.560	271.903	121.354	22.949	68.075	113.999	449.370	212.331	317.891	222.453	172.676	266.873	500.382	502.564	504.674	506.984	501.724	498.132	.	.	42.508	26.032	27.683	31.520	30.169	42.764	45.327	117.699	32.040	11.553	25.964	48.368	34.828	77.641	176.316	69.381	154.159	34.200	48.519	30.164	44.079	78.295	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PERN.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	380.572	391.271	274.615	454.007	527.973	624.785	1094.845	463.050	437.250	796.873	496.496	371.078	427.196	450.516	421.194	469.448	261.670	371.456	482.106	416.905	496.228	316.431	375.263	394.666	767.893	373.063	451.173	549.996	373.802	468.019	525.380	813.311	.	.	606.186	336.031	401.356	698.806	649.137	867.195	975.543	342.271	368.812	417.226	699.419	439.629	379.564	289.979	272.591	1748.870	704.417	824.556	582.590	386.045	565.169	1786.267	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PERN.EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1160.040	.	276.953	1546.026	1558.931	1555.005	1497.710	1527.465	1537.059	.	.	925.324	1284.489	1125.503	1442.268	1532.461	1481.733	1561.012	273.502	235.179	534.397	508.737	197.911	862.507	1182.715	1449.576	1236.000	1132.208	1165.708	1231.448	255.260	317.628	289.544	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PERN.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	206.427	754.749	768.663	770.300	760.528	518.771	757.825	738.435	254.975	232.668	270.093	386.067	529.582	776.066	781.837	752.083	542.753	758.248	739.956	315.977	564.076	565.800	557.249	253.821	180.759	165.285	200.904	738.130	759.017	788.814	766.757	779.539	.	.	732.093	731.118	726.114	736.636	504.591	228.922	231.314	153.547	509.714	521.993	202.412	170.674	369.967	453.779	745.692	539.075	523.767	509.684	325.797	632.233	360.190	725.263	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PERN.EDU.N1	AU.AARNET.BRISBANE.NET	?B	233.856	755.894	774.697	773.849	765.896	367.149	757.361	535.718	311.915	294.245	363.651	454.636	739.192	790.533	796.410	764.380	499.556	689.696	547.256	556.322	789.800	799.490	403.760	183.685	224.064	189.660	186.172	750.096	771.408	800.263	777.664	791.578	.	.	742.239	660.757	736.519	747.359	181.465	296.082	304.915	201.055	366.258	527.982	330.551	212.800	528.594	529.969	754.300	545.563	529.521	362.908	306.643	513.605	624.976	727.356	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PERN.EDU.N1	AU.AARNET.CANBERRA.NET	?B	210.580	781.738	801.445	801.238	792.150	268.908	794.531	769.562	529.108	333.930	308.832	539.582	755.116	806.428	809.257	778.854	300.930	789.489	322.452	781.400	453.161	814.229	580.071	195.194	192.246	249.158	231.303	410.316	787.119	593.264	792.877	807.946	.	.	755.166	757.520	751.538	555.730	315.917	260.354	267.966	156.136	527.897	741.624	317.739	158.989	384.352	422.063	774.262	769.843	400.582	645.050	235.003	529.818	304.186	751.447	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PERN.EDU.N1	AU.AARNET.HOBART.N2	?B	189.149	741.994	757.930	757.171	750.730	514.768	757.036	655.565	194.305	210.710	314.909	513.204	712.721	771.410	778.606	749.214	620.936	496.335	533.925	749.465	769.234	773.205	554.464	166.097	213.962	191.737	263.568	735.246	754.682	781.500	553.554	775.129	.	.	725.067	727.331	721.664	532.874	354.520	288.513	362.702	308.983	506.054	712.561	381.935	274.976	710.544	710.381	736.010	531.686	263.405	354.265	240.758	358.986	615.493	186.496	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PERN.EDU.N1	AU.AARNET.PERTH.NET	?B	182.248	517.543	725.532	726.124	719.964	361.625	713.060	696.138	241.240	163.918	487.030	312.943	691.169	733.989	738.548	711.590	707.521	402.640	700.463	713.187	732.965	533.272	322.350	198.369	167.733	175.147	257.066	699.615	718.136	744.915	725.028	736.582	.	.	694.429	617.938	501.218	701.357	179.918	238.759	489.449	149.786	342.855	349.937	614.787	163.304	498.077	451.305	710.838	362.949	367.658	341.541	179.915	278.646	478.453	677.054	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PERN.EDU.N1	BD.DUET.AC.N1	?B	2348.433	2344.882	2356.967	2361.891	2355.508	2353.258	2317.765	2291.634	1175.109	2257.466	650.276	652.380	360.824	745.814	505.602	1872.000	450.788	722.654	387.355	329.493	409.828	361.237	381.014	1266.908	278.248	171.235	132.363	225.074	1297.998	1207.434	991.668	580.727	.	.	204.883	221.646	1035.842	363.228	208.411	303.466	334.808	157.767	222.553	1139.733	977.020	552.477	1156.296	2382.036	1185.159	263.122	.	1731.795	732.852	1668.875	852.305	966.704	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PERN.EDU.N1	BJ.GOUV.N1	?B	358.540	201.829	139.315	191.093	162.774	132.745	143.542	961.653	327.349	224.595	283.988	188.226	159.593	158.101	323.659	306.460	157.703	262.380	149.708	237.014	232.795	356.272	313.537	186.800	156.784	239.688	281.104	259.871	1123.049	577.787	216.867	283.779	.	.	207.188	1124.338	469.233	258.667	265.822	212.028	226.083	206.914	1121.562	818.604	243.853	325.851	217.040	143.595	175.795	185.279	268.888	161.264	204.880	150.002	141.272	122.480	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.PERN.EDU.N1	BO.UMSS.EDU.N1	?M	860.140	853.435	881.207	480.201	876.938	296.817	650.072	900.464	620.566	946.445	957.778	957.132	926.119	700.157	955.525	953.971	913.631	682.946	687.907	934.458	947.850	489.216	946.799	403.476	901.098	290.300	660.802	470.035	909.277	919.436	627.263	257.554	.	.	229.905	224.856	366.478	368.701	901.329	455.813	664.841	248.408	929.877	955.911	940.385	482.361	844.760	885.075	925.636	899.645	362.883	746.589	429.082	752.173	748.175	351.337	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.PERN.EDU.N1	BR.UNESP.N1	?M	838.849	840.597	840.342	425.760	840.666	843.485	842.946	860.589	864.535	847.405	613.260	790.936	758.489	189.244	.	838.526	201.589	227.668	452.858	611.027	617.166	621.107	759.991	914.710	389.814	929.852	924.988	821.344	912.483	870.441	904.997	837.476	.	.	895.236	893.969	896.961	931.371	969.010	971.769	976.372	973.594	657.245	891.840	286.206	880.726	871.794	890.742	890.615	646.672	886.868	890.304	889.149	887.950	828.658	816.777	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.PERN.EDU.N1	BY.MTEC.N1	?B	1740.136	1749.599	1857.523	1870.372	1766.743	563.860	1735.664	1617.917	415.036	334.971	1494.357	823.173	1550.029	1747.092	1780.073	1180.648	818.130	498.547	579.444	620.090	1251.361	1754.856	1747.373	1210.291	1636.877	596.243	1533.100	1593.432	1650.038	1785.275	1668.030	1654.745	.	.	575.032	1114.424	1085.271	459.813	885.218	576.307	520.330	329.953	736.664	1502.293	1568.060	1571.019	572.950	1552.589	1723.298	1691.692	1587.423	790.170	1569.875	848.600	259.742	1494.151	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.PERN.EDU.N1	CA.CARLETON.N1	?B	1110.708	1098.450	1149.791	1159.587	1128.898	748.216	1127.594	553.077	308.027	425.984	247.540	788.711	1064.933	1134.880	1149.910	1091.531	1069.109	804.274	771.020	1086.342	1132.851	1145.437	625.725	256.375	340.858	192.151	123.770	775.814	1101.697	1164.031	1116.837	1125.580	.	.	773.320	1064.346	1053.876	1071.571	342.695	499.143	420.336	1078.790	894.018	753.700	1065.692	939.997	539.749	763.236	1111.450	797.869	764.912	568.193	751.380	1021.765	730.305	1059.004	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
PK.PERN.EDU.N1	CA.TRIUMF.N1	?M	1135.310	1021.927	840.919	1160.819	392.578	594.787	1155.245	1001.202	334.851	239.863	375.054	455.000	434.486	1114.989	1157.921	576.356	762.383	483.277	535.698	1065.863	1103.363	817.503	825.165	336.959	819.550	1128.285	1149.428	1020.237	1148.178	1145.837	815.247	702.646	.	.	1134.760	1136.504	1126.459	491.674	1113.646	233.042	254.399	301.191	713.998	1013.834	458.900	379.067	733.773	893.735	284.713	400.974	484.866	570.768	123.502	734.835	979.159	417.587	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	sitka.triumf.ca	CA	North_America
PK.PERN.EDU.N1	CH.CERN.N1	?B	2078.149	2046.688	2194.475	2214.392	1532.453	1788.067	2099.523	998.111	633.646	526.155	1287.039	1311.310	1900.058	1147.779	2180.788	1977.838	983.698	1314.667	1879.918	1963.481	2124.435	2171.255	2156.813	1042.448	1458.657	1365.124	1336.190	1382.921	2014.939	2232.979	2065.322	2096.439	.	.	1848.706	1906.116	1347.606	806.982	1200.695	418.683	632.902	319.985	620.408	1796.830	918.704	1637.530	1839.254	1854.831	2040.700	2002.463	948.447	1791.396	1848.735	982.831	1729.998	1859.445	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	ping.cern.ch	CH	Europe
PK.PERN.EDU.N1	CH.EPFL.N1	?B	2188.855	2204.266	2220.318	2180.561	2216.587	2220.409	2220.381	2213.888	2121.754	2048.271	2050.670	2024.551	1126.209	2210.387	2211.909	2215.369	1133.705	690.094	1135.319	921.437	2219.474	1081.504	453.706	1957.902	815.991	1601.740	1896.585	1992.603	2015.359	2022.432	454.902	1542.675	.	.	2063.806	2066.416	2066.900	2031.425	2050.854	2057.564	2015.278	936.005	1678.186	1739.189	908.540	1994.098	2042.262	2062.078	2089.877	2090.734	2082.714	1507.489	1517.110	2055.375	2055.238	1442.373	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	eltca1.epfl.ch	CH	Europe
PK.PERN.EDU.N1	CM.CAMNET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1013.300	405.586	853.057	1292.638	.	.	182.642	88.595	99.498	161.833	1239.671	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	www.camnet.cm	CM	Africa
PK.PERN.EDU.N1	CN.IHEP.AC.N2	?B	744.011	235.715	760.475	762.277	749.097	256.056	745.682	724.374	353.953	251.560	341.417	360.962	714.577	543.537	753.154	259.277	715.562	391.474	368.135	389.103	747.471	405.744	410.764	318.634	214.295	523.101	269.079	719.927	730.894	757.433	377.171	450.410	.	.	294.318	711.450	360.180	184.395	492.538	225.419	183.249	142.435	686.021	509.713	206.035	365.507	362.536	364.162	735.780	529.129	707.826	505.944	514.557	307.595	685.676	232.378	.	.	.	.	pinger.pern.edu.pk	PK	South_Asia	ihep.ac.cn	CN	East_Asia
