#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PERNFSBDPOP.EDU.N1	AF.MOD.GOV.AF	?B	52.649	25.663	23.186	14.584	15.581	23.597	37.190	111.096	170.476	79.476	23.158	18.986	64.308	28.878	38.737	35.478	28.337	26.315	30.740	33.989	92.993	26.264	23.912	17.988	10.520	21.208	15.793	37.246	20.501	21.283	40.478	15.516	19.829	14.722	19.486	14.298	17.356	13.405	13.886	10.199	24.784	23.301	.	6.566	24.818	24.948	11.066	12.622	8.868	.	.	.	.	.	170.688	48.286	27.085	28.876	71.631	70.164	pingerfsbd.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PERNFSBDPOP.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	244.152	368.012	205.433	351.570	991.331	389.267	564.177	309.174	575.438	439.500	477.588	292.392	231.989	359.128	379.147	307.731	226.682	692.306	358.013	333.249	670.540	380.908	288.716	625.527	413.524	702.144	371.957	432.710	360.764	441.795	294.192	995.015	515.638	566.094	605.038	719.440	850.268	423.298	1213.220	1670.829	1032.933	1672.562	.	418.704	545.258	743.876	335.872	615.233	292.228	.	.	.	.	.	902.655	221.111	452.402	438.861	1671.096	488.711	pingerfsbd.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PERNFSBDPOP.EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1628.570	1581.419	412.771	1206.793	1676.499	1675.780	1217.305	1624.425	1629.610	1677.001	1678.233	1671.204	1634.589	1665.979	1674.853	1659.902	1638.000	.	659.390	594.094	311.545	410.037	1654.785	718.603	.	.	.	.	.	1332.803	284.831	367.586	223.537	322.217	383.488	pingerfsbd.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PERNFSBDPOP.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	371.090	741.333	766.666	766.452	757.800	369.913	249.887	750.135	371.072	198.161	258.780	717.234	732.645	775.021	771.614	745.601	118.503	411.300	745.794	739.571	758.245	774.176	292.474	201.436	132.946	155.104	193.071	743.460	756.117	784.575	765.907	777.995	673.161	381.726	741.460	731.771	727.602	743.127	214.223	226.311	243.937	766.839	.	323.980	232.728	380.385	717.428	687.828	448.234	.	.	.	.	.	.	722.273	310.203	731.656	631.418	753.161	pingerfsbd.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNFSBDPOP.EDU.N1	AU.AARNET.BRISBANE.NET	?B	762.492	544.920	777.790	776.608	768.191	534.227	257.224	773.457	275.217	411.666	729.560	528.583	744.655	788.715	570.507	756.685	183.346	418.221	551.533	752.904	773.067	559.415	697.728	218.123	207.397	327.049	161.999	755.551	773.099	797.922	781.122	406.493	768.621	756.315	547.576	744.782	739.317	755.510	309.111	296.294	150.183	779.574	.	262.934	244.674	750.994	358.423	507.348	744.131	.	.	.	.	.	.	745.252	751.734	743.495	754.827	765.960	pingerfsbd.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNFSBDPOP.EDU.N1	AU.AARNET.CANBERRA.NET	?B	780.869	768.142	795.964	795.228	785.414	380.135	253.416	766.210	379.790	152.270	193.182	743.801	758.590	803.093	799.085	396.604	159.053	793.810	773.123	393.811	784.366	318.884	336.042	208.473	121.190	234.652	202.905	559.186	787.564	813.259	795.850	806.695	402.666	769.369	767.037	757.827	752.541	769.840	528.694	186.706	140.189	794.178	.	127.230	219.836	225.975	741.826	711.126	461.838	.	.	.	.	.	.	744.532	319.551	749.185	764.036	399.157	pingerfsbd.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNFSBDPOP.EDU.N1	AU.AARNET.HOBART.N2	?B	744.356	733.050	760.250	757.540	745.645	518.252	248.518	746.693	520.937	215.848	268.764	515.106	722.439	772.290	766.215	742.488	240.579	554.723	742.349	735.776	753.393	311.460	481.368	197.360	103.208	161.932	137.606	739.524	750.435	779.417	766.956	398.133	752.249	737.146	536.328	729.145	526.663	739.173	252.972	269.427	138.627	763.817	.	146.804	236.100	222.040	258.160	350.499	723.038	.	.	.	.	.	.	719.560	726.941	717.244	730.016	540.304	pingerfsbd.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PERNFSBDPOP.EDU.N1	AU.AARNET.PERTH.NET	?B	716.688	704.271	729.179	728.653	522.976	249.391	238.945	638.220	251.554	497.023	607.619	682.531	694.010	732.997	729.890	513.225	130.750	527.294	707.110	509.375	522.235	532.231	729.272	136.031	122.533	148.159	290.038	704.848	716.062	741.809	724.642	735.945	716.105	511.707	361.181	694.509	690.569	704.467	242.548	481.299	126.939	725.651	.	129.782	201.467	245.462	683.342	477.329	696.177	.	.	.	.	.	.	694.304	693.581	695.553	705.464	716.587	pingerfsbd.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNFSBDPOP.EDU.N1	BD.DUET.AC.N1	?B	2329.281	2328.773	2328.370	2328.265	2327.752	2328.212	2321.908	1754.309	2412.274	2374.673	499.617	592.954	806.316	457.772	574.736	2073.948	2415.144	2407.412	1595.870	1230.640	444.105	985.506	2078.729	489.539	248.292	200.992	244.032	180.462	1154.518	1994.771	1142.433	1138.894	621.618	521.980	576.622	519.035	1274.313	699.460	305.491	632.863	452.553	1509.248	.	1642.847	2272.728	318.901	1227.074	2291.808	2302.209	.	.	.	.	.	2388.051	376.502	633.674	547.947	2364.888	1723.561	pingerfsbd.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PERNFSBDPOP.EDU.N1	BJ.GOUV.N1	?B	276.074	254.207	157.084	296.402	164.751	141.282	251.201	1189.434	310.814	197.945	246.562	154.457	227.783	212.569	529.454	226.829	231.325	.	178.737	424.420	264.878	852.305	350.121	254.745	142.524	190.834	256.749	232.449	1182.891	864.379	314.801	540.061	179.731	158.705	169.806	1189.741	1188.172	225.893	266.036	225.614	289.339	472.279	.	1159.519	399.311	776.304	271.881	351.754	165.273	.	.	.	.	.	177.499	146.790	190.413	225.655	169.522	146.595	pingerfsbd.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
