#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PERNSINDHUPOP.EDU.N2	AF.MOD.GOV.AF	?B	140.428	382.930	131.877	114.100	191.311	525.029	118.547	525.372	519.084	.	62.907	107.367	519.661	181.277	99.790	372.741	523.864	521.053	72.270	182.453	524.117	77.378	380.414	227.706	79.948	73.610	95.777	521.534	95.358	56.665	190.596	98.583	213.786	49.491	35.581	37.612	21.257	30.389	30.629	25.820	37.923	106.456	18.778	16.993	38.352	55.121	48.904	11.349	11.383	531.258	111.556	36.375	30.844	.	47.169	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PERNSINDHUPOP.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	345.533	477.301	297.021	409.165	457.694	448.921	504.300	581.464	714.162	.	676.066	462.408	572.735	376.386	753.146	489.380	340.007	312.947	508.036	475.943	572.809	503.950	279.706	376.329	462.430	814.742	579.638	376.348	334.814	640.472	340.558	1103.550	1089.145	415.638	457.442	340.995	364.443	628.590	1818.365	1814.384	1848.585	770.885	390.341	479.591	921.146	314.541	581.340	735.534	421.661	1800.065	1299.067	574.701	717.344	.	1306.047	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PERNSINDHUPOP.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1770.023	.	1767.755	460.667	1291.464	959.515	1784.146	1787.927	1787.145	1303.626	1780.400	1788.213	1299.825	1782.400	1735.601	1787.751	1783.861	1757.912	363.698	338.095	822.055	452.132	1586.414	830.624	1245.903	882.064	.	1479.926	1731.702	1549.042	.	994.491	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PERNSINDHUPOP.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	405.326	790.843	572.702	786.711	787.318	785.519	568.623	777.982	775.995	.	777.535	781.176	557.906	797.009	808.281	800.199	807.611	805.113	804.306	802.914	803.910	801.183	807.677	296.358	801.707	556.478	536.632	543.712	749.556	777.222	563.258	576.884	813.346	814.404	797.873	576.769	793.059	794.480	790.858	394.667	795.769	572.723	788.610	404.829	789.369	181.411	397.688	260.393	778.794	776.273	776.037	769.060	560.491	.	769.798	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNSINDHUPOP.EDU.N2	AU.AARNET.BRISBANE.NET	?B	788.930	790.788	789.626	788.568	791.440	796.123	799.087	801.652	799.907	.	801.133	794.966	796.468	417.453	823.648	818.374	824.849	822.606	598.880	820.500	820.974	818.152	286.835	817.020	216.692	568.103	546.666	553.179	226.851	793.344	575.107	810.719	831.256	826.439	804.529	804.907	805.403	802.389	796.957	772.197	800.065	576.268	794.349	792.489	796.515	196.784	784.336	785.620	784.679	784.916	785.044	782.638	789.976	.	576.140	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNSINDHUPOP.EDU.N2	AU.AARNET.CANBERRA.NET	?B	805.034	586.920	810.443	805.934	803.788	803.543	801.647	801.372	801.622	.	801.834	585.131	425.227	828.953	841.084	833.290	840.263	836.990	429.765	606.944	835.825	831.866	839.483	348.157	603.446	793.931	555.862	777.186	774.317	805.399	803.708	824.499	844.816	844.146	828.872	596.127	597.094	825.005	820.860	334.079	825.866	814.899	818.353	420.099	819.470	234.171	232.236	248.076	409.120	799.251	799.546	802.087	804.988	.	805.874	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNSINDHUPOP.EDU.N2	AU.AARNET.HOBART.N2	?B	783.355	567.992	785.062	782.211	785.271	785.247	775.648	776.156	775.295	.	777.237	785.326	786.971	789.008	799.986	795.010	798.731	798.420	411.961	797.130	579.602	794.811	365.673	798.180	579.802	764.532	735.841	746.998	221.920	775.986	396.337	792.584	811.260	413.311	785.925	781.061	781.137	782.392	778.783	317.953	782.349	775.275	776.739	775.634	777.432	252.248	769.930	775.048	771.112	772.597	772.267	774.884	779.600	.	779.334	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PERNSINDHUPOP.EDU.N2	AU.AARNET.PERTH.NET	?B	379.997	742.746	737.884	736.434	737.638	733.784	729.964	728.187	727.570	.	726.927	394.303	524.741	544.726	760.729	754.894	759.893	758.299	551.914	756.528	550.259	754.492	552.667	752.931	233.324	722.640	507.694	513.785	708.025	733.181	730.980	747.782	764.701	766.916	753.652	746.216	744.433	748.362	747.302	527.713	751.793	744.938	745.344	744.625	382.704	170.283	217.442	252.119	727.541	726.405	726.126	725.577	727.622	.	729.896	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNSINDHUPOP.EDU.N2	BD.DUET.AC.N1	?B	1101.112	1095.619	1101.428	1100.216	1096.469	1092.242	1096.919	1101.336	1107.548	.	340.000	286.315	202.859	293.076	179.626	1098.703	803.675	506.320	594.369	229.205	286.694	806.180	317.875	577.891	345.545	184.192	217.210	242.904	571.192	225.476	1183.527	640.183	1194.514	359.148	168.556	812.318	574.330	306.482	321.363	898.125	359.518	229.070	239.191	579.792	796.135	488.053	1101.555	1092.827	1099.402	.	.	691.932	312.379	.	1116.854	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PERNSINDHUPOP.EDU.N2	BJ.GOUV.N1	?B	412.557	294.080	191.779	460.825	179.060	163.863	157.840	471.197	174.946	.	274.177	204.307	153.000	173.966	348.756	376.701	198.383	262.073	262.663	290.752	320.789	453.559	530.060	172.333	277.711	306.430	418.086	237.558	1270.113	1270.167	240.209	331.212	210.115	231.983	326.898	1270.061	922.781	239.218	498.160	322.892	408.827	242.419	868.760	1217.365	899.087	235.516	373.364	202.456	190.424	526.876	209.915	201.083	178.993	.	142.147	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.PERNSINDHUPOP.EDU.N2	BO.UMSS.EDU.N1	?M	918.700	911.036	915.180	951.825	951.706	691.995	939.156	927.213	957.326	.	1010.256	930.990	957.954	681.774	931.045	926.985	390.966	927.059	344.814	474.386	924.759	923.393	926.763	676.010	236.550	935.110	932.986	924.645	907.395	915.381	233.842	373.165	333.469	441.378	249.078	582.746	424.393	924.676	915.434	299.381	910.753	889.158	896.251	922.246	933.802	186.460	944.346	924.241	898.856	915.277	920.753	891.813	354.119	.	668.524	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.PERNSINDHUPOP.EDU.N2	BR.UNESP.N1	?M	1025.278	1025.957	548.044	1020.899	1025.340	1046.601	1058.779	1060.879	1060.878	.	1060.150	1065.400	1069.011	521.651	1066.194	1070.261	447.471	570.106	1063.831	1069.070	1070.323	397.036	778.080	1059.254	463.640	999.078	508.430	496.444	744.439	1068.524	1068.199	284.153	396.783	1067.062	1060.166	1062.025	1061.307	1062.280	1064.859	775.593	1073.989	1054.356	1056.165	288.944	1056.559	1039.943	1032.062	1047.452	1044.370	1047.033	1051.473	193.103	1047.982	.	987.138	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.PERNSINDHUPOP.EDU.N2	BY.MTEC.N1	?B	1587.072	2214.797	2214.925	2214.800	2169.045	2187.501	2160.569	2122.181	2210.946	.	1546.587	2186.482	449.661	501.274	2006.429	2007.699	2006.161	755.561	1019.316	554.886	470.581	964.847	1055.483	806.536	573.572	959.351	358.377	330.285	409.365	341.422	332.692	303.582	349.623	758.872	889.115	563.569	1458.202	1062.705	236.175	2005.427	1450.597	330.067	978.375	1369.242	1925.880	789.823	2128.769	2150.652	2173.862	2174.464	2175.919	2178.415	2172.723	.	420.520	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.PERNSINDHUPOP.EDU.N2	CA.CARLETON.N1	?B	1611.416	1594.654	1613.761	1619.057	1614.614	1630.501	1635.170	1634.572	1639.873	.	380.869	1650.399	1579.411	1488.341	1636.111	1633.386	1632.157	1633.691	1187.073	840.382	1631.616	1634.720	854.287	1593.551	535.841	304.334	208.210	1576.428	1635.704	1633.661	1631.415	1633.735	1612.012	1611.593	1639.901	1635.922	1635.844	1623.295	1635.487	1635.517	1635.326	1616.880	1614.496	1611.984	1613.687	444.427	1612.263	1611.193	1611.852	1611.592	1611.433	1611.639	1610.920	.	1609.633	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
PK.PERNSINDHUPOP.EDU.N2	CA.TRIUMF.N1	?M	1282.703	659.071	932.099	932.169	1283.715	931.670	931.553	387.536	1283.332	.	1282.935	1288.629	919.737	1273.723	663.784	1292.395	694.729	939.478	559.851	558.060	544.276	664.730	499.083	466.995	280.913	616.920	374.021	502.649	841.944	1230.444	885.702	1242.928	694.356	927.953	540.924	1277.962	928.536	539.653	507.301	934.008	722.284	1277.062	1280.539	657.220	930.411	805.035	923.907	331.543	1249.798	486.122	686.214	643.735	146.402	.	904.508	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	sitka.triumf.ca	CA	North_America
PK.PERNSINDHUPOP.EDU.N2	CH.CERN.N1	?B	2781.732	2781.510	2781.585	2781.556	2781.284	2781.310	2775.587	2782.004	2781.773	.	2780.409	2781.423	2647.576	2373.836	2781.767	2781.348	2782.058	2781.454	2021.923	2781.412	2021.592	2020.106	2773.293	2688.258	1176.675	2633.847	2644.847	2698.692	2783.118	2784.301	2770.031	2778.014	2723.603	2720.352	2783.722	2784.386	2784.361	2695.625	2782.780	2779.182	2744.832	1950.619	2430.958	1305.211	2632.112	838.164	1924.007	2682.184	2717.850	2720.396	2716.471	2715.522	2718.417	.	2701.611	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	ping.cern.ch	CH	Europe
PK.PERNSINDHUPOP.EDU.N2	CH.EPFL.N1	?B	2744.108	1395.046	2741.925	2680.348	2731.846	2738.289	2743.170	2739.116	2743.446	.	2762.691	2758.772	2752.900	2653.727	2754.466	2747.041	1994.468	1996.546	1186.143	811.692	1407.308	1412.783	1054.153	2643.777	840.578	1373.871	2689.261	2754.114	2762.109	2763.024	2753.723	2762.470	2760.183	2762.512	2762.748	2762.815	2762.882	2714.486	2761.204	2760.746	2740.889	2667.573	2433.405	1289.812	999.150	2579.563	2629.154	2661.488	2698.411	2700.461	2696.255	2695.883	2698.074	.	1954.801	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	eltca1.epfl.ch	CH	Europe
PK.PERNSINDHUPOP.EDU.N2	CM.CAMNET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1517.137	1520.918	1501.600	332.966	.	.	84.055	126.909	.	139.174	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	www.camnet.cm	CM	Africa
PK.PERNSINDHUPOP.EDU.N2	CN.IHEP.AC.N2	?B	825.684	827.638	828.882	825.778	829.088	830.643	599.072	831.031	832.338	.	831.954	828.856	816.615	790.965	832.565	831.251	599.906	602.754	833.412	832.914	832.139	379.750	835.863	828.063	445.634	822.181	822.016	823.994	829.622	830.344	827.218	830.349	592.278	822.477	830.173	830.768	828.108	372.359	832.683	827.759	828.520	823.447	801.151	809.716	263.721	816.838	821.989	423.251	827.032	826.992	826.480	825.463	826.929	.	825.491	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	ihep.ac.cn	CN	East_Asia
PK.PERNSINDHUPOP.EDU.N2	CN.USTC.LCG.PS.EDU.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	ps.lcg.ustc.edu.cn	CN	East_Asia
PK.PERNSINDHUPOP.EDU.N2	CR.CUC.AC.N1	?B	124.272	391.677	817.382	841.459	1146.105	566.485	440.763	1227.740	1243.705	.	275.074	86.439	72.127	76.950	80.638	119.642	102.999	89.864	188.636	273.505	509.680	1267.530	475.807	1178.254	516.922	485.121	171.281	269.876	1251.771	1223.198	116.683	312.931	303.762	159.816	171.081	401.089	124.216	1296.843	121.947	1307.737	1315.917	1301.915	667.676	373.601	639.888	207.338	1188.461	458.325	99.566	1311.987	322.369	224.550	548.356	.	296.956	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	www.cuc.ac.cr	CR	Latin_America
PK.PERNSINDHUPOP.EDU.N2	DJ.EBANKSALAAM.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pingerjms.pern.edu.pk	PK	South_Asia	www.ebanksalaam.dj	DJ	Africa
