#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGERISL-AIR.PERN_EDU.N1	AF.MOD.GOV.AF	?B	.	.	.	511.334	133.317	506.284	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	63.766	34.492	33.859	36.710	62.278	36.819	79.229	.	49.182	62.084	34.158	44.317	34.703	46.128	215.302	153.744	194.688	57.291	129.687	pingerisl-air.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGERISL-AIR.PERN_EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	369.465	367.891	644.130	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	518.545	428.793	740.916	627.115	322.812	747.869	550.384	.	386.751	406.196	747.979	306.511	569.913	304.680	857.476	520.048	1245.621	662.042	398.517	pingerisl-air.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERISL-AIR.PERN_EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	364.891	195.216	262.483	726.806	231.042	1361.682	1531.734	.	524.548	1158.951	1333.951	630.933	573.730	548.351	274.192	1123.774	1164.196	200.528	896.673	pingerisl-air.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGERISL-AIR.PERN_EDU.N1	AU.AARNET.ADELAIDE.N1	?B	.	.	.	412.802	760.034	213.073	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	74.399	697.722	511.500	733.136	170.793	366.188	738.924	.	737.662	736.953	697.900	707.407	711.368	702.456	511.451	751.676	758.163	740.031	532.945	pingerisl-air.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-AIR.PERN_EDU.N1	AU.AARNET.BRISBANE.NET	?B	.	.	.	416.235	767.763	372.947	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	75.189	230.166	383.892	744.318	231.080	721.840	747.365	.	269.799	742.669	702.380	364.931	367.343	364.744	297.608	756.202	765.374	746.330	378.856	pingerisl-air.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-AIR.PERN_EDU.N1	AU.AARNET.CANBERRA.NET	?B	.	.	.	574.128	782.193	711.280	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	75.088	642.971	246.665	763.222	168.266	266.519	773.042	.	387.956	753.551	365.398	719.520	730.303	709.497	721.757	477.022	772.359	759.823	750.630	pingerisl-air.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-AIR.PERN_EDU.N1	AU.AARNET.HOBART.N2	?B	.	.	.	554.433	750.793	185.535	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	76.960	697.121	296.760	376.699	268.355	365.116	745.372	.	733.307	730.736	693.734	357.034	362.073	695.227	291.459	746.992	753.400	739.668	729.745	pingerisl-air.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERISL-AIR.PERN_EDU.N1	AU.AARNET.PERTH.NET	?B	.	.	.	724.856	716.681	351.527	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	71.210	663.858	306.575	358.199	255.773	347.497	577.460	.	698.237	697.920	661.499	658.193	666.836	480.587	674.286	708.787	716.442	703.416	696.090	pingerisl-air.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-AIR.PERN_EDU.N1	BD.DUET.AC.N1	?B	.	.	.	2374.543	2372.540	2373.739	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	115.015	250.173	1173.846	1509.298	439.878	2318.240	2323.476	.	780.265	.	2292.459	623.266	2226.217	736.092	523.393	701.513	2188.475	801.569	965.122	pingerisl-air.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGERISL-AIR.PERN_EDU.N1	BJ.GOUV.N1	?B	.	.	.	275.347	148.082	135.723	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	227.966	1067.306	1068.132	766.288	700.974	325.689	222.124	.	221.876	196.445	126.471	147.576	171.373	131.646	143.910	589.003	318.607	127.471	149.458	pingerisl-air.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.PINGERISL-AIR.PERN_EDU.N1	BO.UMSS.EDU.N1	?M	.	.	.	960.673	284.085	514.015	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	902.493	935.722	960.841	949.240	438.421	431.835	927.081	.	922.857	897.027	435.445	145.705	445.931	614.452	910.752	908.534	684.703	948.615	950.496	pingerisl-air.pern.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.PINGERISL-AIR.PERN_EDU.N1	BR.UNESP.N1	?M	.	.	.	611.666	617.730	846.410	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	966.264	143.863	285.742	883.086	332.818	866.188	887.272	.	886.259	883.679	887.993	883.141	885.796	346.670	411.866	819.870	835.991	457.306	891.164	pingerisl-air.pern.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
