#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGERISL-QAU.PERN.EDU	AF.MOD.GOV.AF	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	502.610	.	.	.	.	484.571	38.561	26.412	30.630	55.949	35.438	.	.	.	.	38.431	55.226	57.497	.	.	156.000	.	78.946	49.700	45.280	.	.	.	.	108.771	71.978	90.929	pingerisl-qau.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGERISL-QAU.PERN.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	349.950	.	.	.	.	709.795	1231.337	319.278	409.475	888.002	365.935	.	.	.	.	406.117	474.098	696.802	.	.	305.593	.	551.294	490.441	767.586	.	.	.	.	1737.334	1273.436	487.755	pingerisl-qau.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERISL-QAU.PERN.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1602.841	.	.	.	.	673.128	1290.627	1310.560	956.404	642.701	1551.940	.	.	.	.	386.927	1462.900	338.656	.	.	1582.726	.	1138.846	1327.625	1220.389	.	.	.	.	474.022	270.062	917.964	pingerisl-qau.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGERISL-QAU.PERN.EDU	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	537.750	.	.	.	.	338.269	722.395	725.981	730.861	540.221	712.541	.	.	.	.	519.636	738.983	751.404	.	.	773.376	.	727.047	266.763	240.494	.	.	.	.	755.478	751.253	753.250	pingerisl-qau.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-QAU.PERN.EDU	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	770.256	.	.	.	.	257.328	734.907	736.736	741.084	546.975	723.618	.	.	.	.	527.110	203.390	407.593	.	.	781.895	.	733.255	364.333	270.679	.	.	.	.	762.291	758.143	761.318	pingerisl-qau.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-QAU.PERN.EDU	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	559.075	.	.	.	.	348.307	746.410	751.922	755.360	395.048	736.559	.	.	.	.	737.571	194.833	769.723	.	.	788.940	.	381.242	521.598	274.515	.	.	.	.	770.619	765.795	769.242	pingerisl-qau.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-QAU.PERN.EDU	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	533.711	.	.	.	.	261.164	512.466	720.002	726.133	737.221	363.627	.	.	.	.	324.313	742.797	546.579	.	.	776.394	.	728.573	701.262	318.806	.	.	.	.	752.125	752.960	755.980	pingerisl-qau.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERISL-QAU.PERN.EDU	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	715.141	.	.	.	.	206.271	687.761	689.135	693.712	705.997	343.463	.	.	.	.	493.359	256.992	709.490	.	.	732.476	.	689.665	279.394	180.579	.	.	.	.	716.675	710.499	710.966	pingerisl-qau.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-QAU.PERN.EDU	BD.DUET.AC.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	934.368	.	.	.	.	440.749	190.469	331.753	455.944	354.444	304.202	.	.	.	.	1163.992	394.521	521.055	.	.	2293.041	.	.	2292.992	2297.651	.	.	.	.	2384.772	785.515	1729.099	pingerisl-qau.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGERISL-QAU.PERN.EDU	BJ.GOUV.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1119.420	.	.	.	.	149.184	193.265	1124.896	809.051	309.372	357.969	.	.	.	.	789.402	273.429	420.969	.	.	260.922	.	196.751	158.453	146.408	.	.	.	.	249.400	177.634	145.381	pingerisl-qau.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
