#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.SEECS.EDU.N7	AF.MOD.GOV.AF	?B	157.874	99.250	110.065	96.754	55.353	95.993	113.195	120.253	113.687	102.425	165.957	102.409	365.513	175.672	149.065	257.205	93.760	109.854	124.653	89.647	264.960	162.574	164.881	93.638	104.330	91.810	93.905	149.521	124.191	126.347	88.409	77.566	86.998	82.152	34.341	32.416	34.514	32.790	30.577	42.704	39.490	71.839	32.515	36.296	37.435	54.904	38.078	62.253	118.172	61.086	61.256	36.667	34.228	40.082	33.402	107.878	76.713	95.939	69.474	52.815	maggie2.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.SEECS.EDU.N7	AL.ALBANIAONLINE.NET.N1	?B	171.190	209.282	164.008	244.389	170.173	228.522	227.696	218.766	231.299	233.048	307.658	228.090	227.171	264.402	306.897	296.873	273.217	218.177	318.053	197.407	353.453	330.141	255.403	302.184	271.179	231.290	206.084	259.874	251.862	276.560	289.205	210.006	251.836	261.692	281.010	212.093	337.973	268.682	253.860	379.656	294.378	219.536	218.250	217.095	214.386	264.856	229.432	270.396	208.045	256.356	233.467	323.926	246.281	246.284	297.224	270.896	248.112	323.354	327.286	358.268	maggie2.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.SEECS.EDU.N7	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	219.214	320.789	254.311	288.440	304.739	376.778	233.133	274.028	235.429	260.508	264.791	262.832	334.206	323.811	244.911	243.385	240.111	222.628	168.322	268.200	236.185	156.051	314.372	396.186	413.236	228.419	277.416	384.716	270.895	216.638	270.118	249.929	167.026	225.017	179.309	402.668	maggie2.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.SEECS.EDU.N7	AU.AARNET.ADELAIDE.N1	?B	162.283	149.329	122.972	133.104	90.208	148.579	136.161	139.316	201.115	141.249	163.074	150.164	241.997	392.725	275.754	188.730	162.184	224.373	202.701	178.145	392.764	256.207	185.650	113.718	93.092	101.267	121.076	144.056	207.561	182.660	126.590	126.587	120.976	112.091	124.848	201.404	200.575	237.784	126.357	101.760	136.672	116.698	110.553	108.361	132.954	166.538	260.642	185.182	188.139	170.634	172.161	143.782	125.864	149.415	151.926	168.085	233.334	174.052	212.557	176.654	maggie2.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N7	AU.AARNET.BRISBANE.NET	?B	172.986	252.652	143.908	196.927	104.642	166.962	229.821	128.400	130.302	143.499	151.135	377.553	382.939	778.867	249.862	231.930	125.841	210.741	186.881	308.547	398.473	578.385	198.039	143.458	127.460	120.507	130.248	158.272	227.440	217.017	140.892	145.221	146.783	132.571	117.965	155.892	172.499	186.879	115.916	117.134	127.076	117.754	125.592	112.843	119.879	150.073	244.527	131.147	182.506	209.400	194.623	222.642	131.683	148.313	198.026	235.169	154.842	263.963	197.610	210.904	maggie2.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N7	AU.AARNET.CANBERRA.NET	?B	166.639	164.540	154.353	163.822	108.804	172.722	129.607	177.516	178.396	153.237	191.797	169.322	550.151	570.939	273.256	259.738	153.616	330.596	327.131	256.402	202.152	257.073	192.997	138.244	109.247	96.745	126.481	171.471	201.950	257.762	124.696	123.025	147.977	123.885	138.008	160.170	171.221	157.083	114.299	109.335	130.155	127.667	104.625	135.330	124.521	156.175	179.606	154.465	177.628	121.606	154.387	166.736	133.396	115.757	330.876	276.679	149.869	237.976	207.021	169.815	maggie2.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N7	AU.AARNET.HOBART.N2	?B	123.525	115.630	146.974	153.513	119.751	195.507	323.571	199.897	111.260	121.446	157.888	189.545	372.962	554.736	389.210	276.821	121.776	154.821	244.896	264.522	250.097	280.424	255.626	172.433	149.217	149.422	129.143	168.162	244.544	181.723	115.765	127.052	143.321	131.073	114.018	146.284	154.953	119.725	126.593	107.074	158.007	118.786	120.423	104.900	118.975	156.773	160.154	141.532	246.794	150.819	240.925	150.540	114.230	130.794	185.535	199.423	192.881	201.125	205.537	208.846	maggie2.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N7	AU.AARNET.PERTH.NET	?B	117.730	116.649	122.069	179.477	92.667	123.026	187.096	138.370	117.849	137.582	133.414	152.763	300.024	715.001	216.704	235.357	122.535	138.814	221.359	288.147	365.597	372.313	176.175	125.397	113.709	97.313	114.909	156.719	208.428	202.423	116.959	111.757	102.609	136.911	102.728	194.351	225.662	152.018	131.262	134.137	105.295	120.795	103.805	143.650	143.737	150.931	201.662	186.467	194.097	203.026	155.087	123.614	116.376	131.493	210.289	203.321	315.764	161.552	230.272	185.843	maggie2.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N7	BD.DUET.AC.N1	?B	212.943	229.886	214.166	239.223	175.317	208.101	325.328	296.592	133.156	263.697	185.024	187.581	155.812	163.699	306.106	247.908	194.957	207.675	223.052	156.893	205.865	245.699	210.371	238.906	195.466	131.766	121.301	136.867	303.681	391.723	193.646	212.933	171.690	118.106	100.430	134.851	151.676	125.678	151.257	219.243	218.313	172.682	155.294	112.116	169.022	124.704	280.196	211.041	357.276	73.153	.	172.874	154.146	146.711	146.632	180.013	178.420	141.437	214.391	181.533	maggie2.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.SEECS.EDU.N7	BJ.GOUV.N1	?B	227.540	180.758	138.828	143.986	108.446	113.617	150.907	197.622	192.956	169.283	170.811	143.435	149.349	161.282	233.562	258.755	165.476	140.526	200.952	186.571	289.062	334.462	349.560	143.748	144.200	154.943	142.471	199.658	427.244	208.009	122.429	121.360	146.596	133.850	145.816	291.074	357.252	183.987	186.023	222.006	173.906	135.364	142.710	186.695	199.642	796.720	143.155	147.234	156.402	181.975	129.451	128.599	111.998	120.385	153.953	162.992	298.828	170.421	158.454	158.569	maggie2.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
