#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.USINDH.EDU.N2	AF.MOD.GOV.AF	?B	529.014	529.965	.	.	527.766	526.325	.	525.882	524.965	519.356	516.211	517.520	382.143	519.551	.	.	.	.	162.502	122.128	513.062	380.914	280.882	268.418	380.690	184.493	380.053	522.715	380.765	524.767	115.312	.	524.043	96.880	39.259	23.517	27.603	32.137	.	38.429	43.670	60.911	13.099	10.497	42.769	57.772	13.523	12.323	13.530	91.022	384.039	44.302	40.001	.	48.767	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.USINDH.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	259.510	300.206	.	.	635.072	1089.986	.	425.604	900.675	536.177	544.963	928.130	500.422	629.691	.	.	.	.	474.064	471.282	396.924	346.650	332.236	471.458	474.099	478.974	459.925	411.631	446.639	397.227	271.027	.	765.575	482.407	756.709	470.820	545.509	548.846	.	950.987	1326.622	744.308	396.346	317.769	324.706	279.205	243.735	916.868	254.828	362.547	520.375	408.039	1792.070	.	682.393	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.USINDH.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	181.348	.	636.951	1773.859	1761.094	1787.562	1786.620	1788.114	.	1291.941	1780.211	1787.034	1787.487	1781.112	1731.569	.	1781.921	1772.346	967.621	314.476	1176.439	451.340	802.961	1202.382	507.949	1717.597	1425.989	1592.198	1726.859	1550.046	.	574.551	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.USINDH.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	785.990	785.531	.	.	223.103	122.371	.	788.302	790.201	789.384	789.589	782.446	782.840	794.901	.	.	.	.	432.900	804.693	807.225	581.907	809.171	187.557	408.892	760.796	540.486	739.174	748.542	770.423	542.325	.	814.035	816.518	796.719	794.478	793.436	795.102	.	393.332	791.151	692.962	787.970	787.972	788.544	265.316	778.424	776.645	775.041	774.267	773.527	773.976	566.875	.	778.492	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.USINDH.EDU.N2	AU.AARNET.BRISBANE.NET	?B	799.466	797.983	.	.	225.156	800.911	.	364.815	800.287	800.161	797.590	801.037	803.023	807.736	.	.	.	.	595.377	594.835	821.116	593.446	823.082	813.857	593.852	772.910	388.069	545.707	760.280	328.258	551.273	.	828.270	827.732	805.026	801.643	581.442	802.026	.	325.489	156.678	403.506	325.582	795.227	276.686	405.612	791.369	788.387	788.049	789.018	787.705	787.145	789.301	.	782.093	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.USINDH.EDU.N2	AU.AARNET.CANBERRA.NET	?B	804.748	804.740	.	.	217.312	810.545	.	814.284	815.829	814.854	814.652	806.185	808.815	820.342	.	.	.	.	361.475	836.251	837.118	832.125	840.986	347.823	606.061	789.120	285.757	766.548	775.005	798.708	807.631	.	841.066	846.309	823.950	826.738	826.283	823.889	.	406.582	823.028	412.491	813.681	813.115	592.737	802.253	805.898	804.629	803.909	804.659	804.137	808.068	813.502	.	814.595	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.USINDH.EDU.N2	AU.AARNET.HOBART.N2	?B	774.484	774.266	.	.	229.727	774.393	.	786.444	787.143	783.421	785.703	792.802	792.750	800.515	.	.	.	.	414.577	809.839	812.219	587.261	814.100	249.229	807.332	177.096	383.998	743.513	273.493	773.273	545.018	.	818.953	820.508	799.434	797.100	794.087	799.036	.	323.039	796.219	782.566	792.229	792.976	426.157	401.307	135.807	210.189	771.715	771.483	770.006	772.456	768.351	.	768.477	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.USINDH.EDU.N2	AU.AARNET.PERTH.NET	?B	745.253	745.332	.	.	202.977	738.342	.	301.453	735.282	735.171	734.606	740.750	745.578	750.403	.	.	.	.	552.202	759.502	761.955	548.906	763.429	755.096	388.731	713.920	700.663	506.109	704.333	724.202	732.238	.	763.133	768.403	753.758	750.492	749.706	752.032	.	204.635	749.057	737.716	746.179	746.274	747.034	214.130	737.759	732.010	300.149	732.642	731.741	730.061	732.160	.	732.653	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.USINDH.EDU.N2	BA.UTIC.NET.N1	?B	2181.072	2189.063	.	.	2174.915	2169.702	.	2178.898	2189.696	2182.055	2173.628	2183.618	2178.113	2084.369	.	.	.	.	2181.620	2168.537	937.092	893.889	1163.875	731.337	1513.465	1408.536	2027.673	2099.273	2104.910	2122.281	2104.735	.	2101.268	2112.596	2122.933	2167.702	2173.534	2125.197	.	2157.872	2144.486	2096.059	1990.918	438.516	1473.631	976.619	309.851	1920.713	1927.079	1925.023	1951.557	1937.069	1943.674	.	1988.415	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.USINDH.EDU.N2	BD.DUET.AC.N1	?B	814.861	1119.912	.	.	809.925	1114.312	.	1090.260	1073.480	787.512	419.436	388.454	319.652	188.453	.	.	.	.	1093.085	250.588	201.342	1091.257	1086.315	1419.449	303.070	198.942	206.394	221.160	1093.048	1424.775	1623.084	.	1177.395	393.445	128.484	261.173	584.852	293.296	.	540.965	436.014	404.176	337.500	825.012	1095.184	803.888	1102.645	1102.689	1105.132	120.378	.	357.372	1106.683	.	321.117	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.USINDH.EDU.N2	BJ.GOUV.N1	?B	451.415	303.597	.	.	165.186	403.186	.	367.625	1242.258	221.035	273.471	204.164	178.175	212.061	.	.	.	.	185.310	204.422	402.439	902.977	631.661	174.153	192.475	363.059	298.270	166.502	1233.828	639.266	217.203	.	203.477	214.212	242.491	1243.760	451.982	285.331	.	215.139	340.335	254.593	1182.792	868.828	424.984	524.295	198.924	280.308	183.238	166.050	228.093	181.922	226.423	.	221.910	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.USINDH.EDU.N2	BO.UMSS.EDU.N1	?M	1012.019	467.151	.	.	1034.852	1034.358	.	598.778	1008.495	944.766	954.799	1011.040	1017.689	1010.218	.	.	.	.	1014.028	736.493	738.751	1017.539	739.119	1012.170	719.510	968.959	989.032	975.865	981.504	997.046	484.181	.	931.608	386.425	378.493	219.725	646.819	1011.984	.	380.101	985.910	952.061	999.947	733.185	991.688	218.172	989.425	703.768	703.163	974.751	990.506	945.051	493.888	.	977.016	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.USINDH.EDU.N2	BR.UNESP.N1	?M	1015.190	1015.225	.	.	1008.464	1043.203	.	328.995	1052.694	1051.660	539.990	1049.905	1058.134	1000.056	.	.	.	.	567.279	1054.633	1057.967	314.082	544.148	383.340	386.361	504.755	692.318	690.058	1007.612	1065.156	1064.963	.	1066.115	1071.226	1063.874	1067.052	1068.124	1065.120	.	1061.410	1065.211	1035.495	1055.526	767.971	766.996	473.784	1038.332	1047.125	1046.287	1046.845	1050.160	1045.773	1045.445	.	976.239	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.USINDH.EDU.N2	BY.MTEC.N1	?B	2160.252	2201.660	.	.	2162.347	2200.196	.	2037.924	160.788	2204.539	2134.549	2160.088	2069.734	299.443	.	.	.	.	655.556	1757.324	1969.274	1373.116	1454.380	518.690	1003.580	595.016	291.750	356.814	423.183	479.493	399.555	.	529.686	992.707	1955.222	1395.927	1976.798	1913.023	.	1975.173	1975.426	313.932	765.400	1859.750	989.767	2035.105	2135.061	1548.974	2160.098	2125.508	2170.449	2167.148	2168.934	.	331.809	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.USINDH.EDU.N2	CA.CARLETON.N1	?B	1610.426	1607.536	.	.	861.065	1630.530	.	1631.934	1631.845	1618.139	354.745	1646.188	1632.983	1592.600	.	.	.	.	875.660	1632.528	1181.947	364.610	1622.503	1615.151	683.345	508.365	211.548	1611.156	1633.316	1632.923	1632.498	.	1632.143	1632.694	1635.933	1633.243	1633.235	1631.313	.	1619.876	1633.287	1607.626	1611.995	1609.748	611.314	814.943	1607.167	1609.376	1611.112	1611.742	1611.340	1609.789	1610.332	.	1608.842	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
PK.USINDH.EDU.N2	CA.TRIUMF.N1	?M	1259.055	1259.107	.	.	918.641	646.022	.	675.746	1259.433	1257.291	1258.903	750.627	925.412	1246.094	.	.	.	.	474.332	1263.295	923.545	654.118	1272.972	927.512	415.108	666.794	611.853	609.573	595.289	1203.923	1225.551	.	939.155	655.260	1292.466	1293.836	940.467	1292.053	.	1287.483	1271.122	1251.765	1279.791	1278.034	582.536	1282.312	192.717	683.942	653.911	1235.247	464.305	458.340	109.597	.	911.285	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	sitka.triumf.ca	CA	North_America
PK.USINDH.EDU.N2	CH.CERN.N1	?B	2763.468	2763.032	.	.	2762.508	2758.665	.	1028.799	2763.404	2763.674	2762.861	2761.820	2666.332	2494.082	.	.	.	.	2006.431	2007.043	2748.814	2761.947	1989.509	2662.957	2610.918	941.733	2665.910	2674.389	2712.562	2763.189	2759.209	.	2618.880	2702.293	2760.519	2762.682	2763.154	2643.862	.	2750.386	2760.966	1367.705	2462.461	1074.872	932.256	1378.079	2675.877	2656.499	2700.971	2646.163	2701.774	2694.868	2702.969	.	648.092	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	ping.cern.ch	CH	Europe
PK.USINDH.EDU.N2	CH.EPFL.N1	?B	2737.387	2736.612	.	.	2712.515	2729.569	.	2736.727	2736.169	2739.214	1990.688	2738.890	2734.251	2632.279	.	.	.	.	1988.000	1148.830	2722.791	1148.954	1460.607	1926.888	1148.081	849.702	2708.063	2698.028	2742.091	2742.905	2740.156	.	2735.393	2742.246	2740.223	2742.916	2742.620	2666.025	.	2728.286	2739.293	901.615	2451.835	1300.576	1362.492	2587.111	2656.212	2642.055	2678.921	496.280	2678.904	2673.789	2678.904	.	2674.413	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	eltca1.epfl.ch	CH	Europe
PK.USINDH.EDU.N2	CM.CAMNET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1525.239	262.565	1128.842	1523.333	.	.	1495.095	999.966	.	421.572	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	www.camnet.cm	CM	Africa
PK.USINDH.EDU.N2	CN.IHEP.AC.N2	?B	831.264	829.877	.	.	825.515	825.221	.	490.153	828.858	828.778	829.023	830.101	816.040	794.417	.	.	.	.	831.086	830.925	829.884	833.045	833.513	345.991	819.298	415.284	818.415	821.518	825.382	827.806	826.157	.	412.587	820.803	827.664	826.558	826.495	809.853	.	825.038	827.637	312.702	804.080	809.757	805.665	819.895	823.931	820.313	823.991	161.995	824.160	822.193	824.229	.	823.030	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	ihep.ac.cn	CN	East_Asia
PK.USINDH.EDU.N2	CN.USTC.LCG.PS.EDU.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.usindh.edu.pk	PK	South_Asia	ps.lcg.ustc.edu.cn	CN	East_Asia
