#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
TW.NCHC.ORG.N2	AF.MOD.GOV.AF	?B	173.161	101.108	124.079	64.395	79.653	86.143	79.169	118.266	294.756	37.779	30.349	75.199	81.991	137.711	150.263	370.107	157.083	188.655	127.099	182.082	92.540	104.545	110.687	106.639	111.173	67.259	157.090	95.609	73.847	44.357	67.015	84.093	124.666	92.790	36.297	23.296	24.133	26.547	24.770	20.946	36.994	41.290	26.526	26.622	31.075	43.866	31.749	46.349	65.940	59.046	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	www.mod.gov.af	AF	South_Asia
TW.NCHC.ORG.N2	AL.ALBANIAONLINE.NET.N1	?B	197.053	205.018	118.214	246.715	224.565	238.481	172.004	177.510	263.905	213.146	214.321	232.768	235.452	216.766	179.334	241.411	175.009	203.778	277.195	333.417	273.662	190.157	207.322	277.513	261.558	335.096	227.664	325.244	212.799	364.855	274.129	390.268	416.012	451.130	275.316	227.200	311.568	451.206	250.420	177.169	325.635	554.764	199.802	253.295	266.035	303.249	781.701	270.538	192.616	496.423	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	aol1.albaniaonline.net	NET	Balkans
TW.NCHC.ORG.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	903.104	.	561.181	275.039	205.061	631.954	239.627	285.174	302.812	373.780	343.115	346.472	330.018	200.952	237.307	384.651	384.762	269.654	155.412	111.136	130.657	113.807	171.644	899.119	334.700	235.407	922.397	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	www.sci.am	AM	Central_Asia
TW.NCHC.ORG.N2	AU.AARNET.ADELAIDE.N1	?B	1174.989	1174.700	1173.894	1174.512	1173.108	1170.200	1170.571	1167.538	658.229	599.705	336.585	1170.791	1170.750	1170.925	1168.916	1167.250	1169.823	1149.558	1133.555	1114.026	1101.211	1100.835	1101.338	1101.389	1101.483	1101.473	1101.452	1113.732	1113.529	1114.385	1114.109	1114.186	1112.845	1101.327	1100.988	1100.292	1097.968	1099.256	1100.683	1100.473	1099.587	1099.542	1099.735	1099.694	1097.844	1099.002	1099.600	1099.471	1098.711	1099.700	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
TW.NCHC.ORG.N2	AU.AARNET.BRISBANE.NET	?B	1195.179	1195.189	1194.248	1194.947	1195.444	1194.952	1195.338	500.092	500.850	612.249	613.112	1194.929	1195.265	1195.294	1193.303	1192.825	1193.743	1172.894	1157.704	1136.684	1122.694	1122.375	1122.676	1121.473	1122.909	1122.657	1122.496	1135.695	1135.342	1135.996	1136.163	1136.174	1134.613	1122.954	1122.476	1118.683	1119.163	1120.995	1123.642	1121.234	1121.631	1120.895	1121.097	1121.041	1119.178	1120.048	1121.020	1120.756	1120.317	1120.853	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
TW.NCHC.ORG.N2	AU.AARNET.CANBERRA.NET	?B	1241.505	1240.957	1240.292	1240.473	1241.404	1239.365	1240.713	635.839	636.350	634.574	351.317	1241.103	1240.770	1238.453	1236.794	1236.395	1238.315	1214.741	1200.537	1174.292	842.632	1163.123	1162.203	1161.961	1163.521	1162.055	1160.381	1175.090	1177.307	1177.763	1177.164	1177.169	1176.389	1163.515	1163.062	1161.837	1160.516	1160.717	1162.341	1162.560	1162.426	1161.515	1161.595	1161.533	1159.586	1160.347	1161.446	1161.362	1161.145	1161.510	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
TW.NCHC.ORG.N2	AU.AARNET.HOBART.N2	?B	1166.447	1158.692	1167.207	1161.862	1166.416	1164.111	1138.141	181.825	412.443	176.288	259.241	1163.693	1161.208	1163.754	1163.308	1159.068	1160.791	1143.272	1128.599	1107.666	1091.198	1091.914	1091.937	969.620	1095.934	1093.110	1096.236	1118.124	1118.713	1121.003	1118.566	1121.630	1115.526	1084.684	1072.961	1088.987	1089.795	1094.295	1094.406	1093.033	1094.994	1092.600	1089.696	1088.087	1091.441	1092.811	1093.215	1093.019	1089.111	1093.085	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
TW.NCHC.ORG.N2	AU.AARNET.PERTH.NET	?B	1081.352	1080.922	1080.207	1080.800	1079.350	1077.037	1076.784	552.417	958.090	780.328	552.845	1077.630	1076.061	1077.501	1075.444	1074.106	1076.307	1059.482	1045.937	1029.168	1018.257	1017.707	1018.430	1018.465	1018.561	1018.630	1018.592	1029.178	1029.542	1029.743	1029.257	1029.520	1028.382	1018.511	1018.234	1017.468	1015.996	1016.622	1017.954	1017.818	1017.022	1017.141	1017.199	1017.151	1015.624	1016.597	1017.103	1016.950	738.322	1017.211	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
TW.NCHC.ORG.N2	BA.UTIC.NET.N1	?B	1083.863	1080.130	1083.943	1084.924	1080.586	1084.014	290.296	210.207	325.436	273.615	301.188	1073.978	1053.839	1049.340	1054.978	1055.576	765.748	1056.408	1051.662	1056.406	1021.342	1054.834	1054.091	1064.366	1077.498	1076.230	1075.610	1072.579	1078.746	1077.766	1069.733	1058.334	768.995	1034.087	1025.337	1067.260	1073.570	1075.215	1104.965	1071.055	768.116	1053.002	1068.139	783.500	1068.075	1071.084	1073.048	1069.949	779.453	1077.080	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	linhost2.utic.net.ba	BA	Balkans
TW.NCHC.ORG.N2	BD.DUET.AC.N1	?B	3325.571	3236.476	3331.308	2395.299	3237.352	3263.018	3080.938	500.902	664.910	483.310	605.534	806.412	985.573	917.235	640.370	1321.456	3249.429	1683.700	963.666	316.265	323.023	456.430	400.971	387.964	249.095	102.333	119.662	123.738	347.615	203.273	813.470	246.327	244.289	479.047	213.483	572.087	511.133	274.795	154.808	421.400	328.061	107.137	365.119	3241.642	1732.680	3230.416	3242.468	3240.580	1736.519	3107.265	.	.	.	.	.	.	.	.	.	.	pinger.nchc.org.tw	TW	East_Asia	www.duet.ac.bd	BD	South_Asia
