#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
UK.DL.AC.N2	CA.CARLETON.N1	?B	3341.973	3339.381	2314.664	2245.748	2305.369	3318.633	3340.194	3339.963	3321.851	3295.184	3313.340	3337.129	3336.536	3338.024	3346.962	3342.119	3342.940	3345.150	3314.788	3280.456	3330.467	3395.556	2309.398	3316.121	3342.059	3351.091	2319.276	3348.854	3348.013	3339.693	3100.278	1925.923	1093.224	1915.980	962.995	1943.152	2814.488	3231.118	2303.787	2239.549	1614.712	1028.790	2302.920	926.087	2296.885	3321.254	2287.933	936.643	2626.949	3343.245	3321.808	3339.207	3279.793	3334.300	3324.940	2313.736	2307.622	3324.958	3340.571	2314.205	icfamon.dl.ac.uk	UK	Europe	ftp.physics.carleton.ca	CA	North_America
UK.DL.AC.N2	CA.TRIUMF.N1	?M	2172.706	2174.384	1505.603	751.433	2128.335	707.922	1505.406	2174.583	1037.224	2116.549	1502.289	1229.592	2129.311	2127.884	2173.884	2171.872	2174.000	869.460	1505.999	1055.386	2130.559	963.409	1224.430	1223.805	2174.099	1229.706	2174.470	1506.560	2174.352	2129.236	2042.614	1345.808	952.404	673.258	627.184	1347.869	1347.156	2077.929	2127.638	1063.864	802.403	1229.839	1229.034	586.576	868.270	1506.483	2167.760	286.046	1957.471	447.192	313.938	378.840	651.527	2127.748	1499.012	753.273	1506.146	2124.849	2171.774	2166.357	icfamon.dl.ac.uk	UK	Europe	sitka.triumf.ca	CA	North_America
UK.DL.AC.N2	CH.CERN.N1	?B	18941.839	18920.977	18729.723	18801.626	18762.507	18823.105	18848.400	18955.206	18851.887	18820.867	18853.090	18836.184	18832.263	18406.767	18936.013	18896.897	18799.553	18831.583	17891.694	18442.136	16407.197	18895.890	18928.250	18842.390	18807.809	18650.555	18589.346	18603.898	18718.174	18729.564	18657.306	18635.420	18608.232	18637.301	18605.655	18611.788	18577.814	18600.189	18571.975	18618.746	18638.046	18583.383	18507.377	18559.766	18619.411	9592.833	18603.976	18601.750	18540.279	18211.855	18482.680	18610.576	18594.766	18369.844	18616.986	18595.858	18592.036	18418.164	18583.422	18603.937	icfamon.dl.ac.uk	UK	Europe	ping.cern.ch	CH	Europe
UK.DL.AC.N2	DE.DESY.N1	?M	12221.582	12230.317	12255.121	12244.203	12229.557	12153.218	12238.253	12241.058	12240.872	12236.141	12237.915	12242.292	12224.363	11869.919	12232.477	12233.439	12200.220	12247.874	12197.735	12237.357	12248.060	12232.021	12237.509	12263.208	12245.099	12211.766	12233.220	12241.734	12249.296	12247.502	12234.976	11984.355	12238.624	12241.548	12239.909	12234.925	12234.249	12247.688	12353.167	12390.169	12407.737	12406.504	12468.383	12410.516	12345.477	12347.936	12345.013	12355.371	12354.131	12351.876	12350.706	12359.454	12278.938	12339.428	12359.350	12358.299	12350.706	12344.789	12355.285	12355.526	icfamon.dl.ac.uk	UK	Europe	ping.desy.de	DE	Europe
UK.DL.AC.N2	DE.IFH.N1	?r	11833.354	11826.200	8280.240	11628.501	11764.750	11639.582	8209.117	12214.950	.	12193.474	11795.571	11807.373	11857.829	11914.886	11903.381	12185.093	12121.460	11875.632	12148.422	8306.659	11438.510	11696.261	6586.747	8109.180	8293.669	11813.444	12158.352	12056.193	11805.672	12183.988	10844.628	9175.073	9242.622	9061.221	9071.470	9261.974	9257.390	11383.201	8456.040	12329.971	12257.019	8534.856	12026.255	11882.845	12130.451	6888.290	12225.847	12178.447	8440.421	11897.414	12212.338	12233.017	8401.487	11738.863	11980.057	12240.416	12229.456	12215.704	11953.495	12144.311	icfamon.dl.ac.uk	UK	Europe	znsun1.ifh.de	DE	Europe
UK.DL.AC.N2	DK.NBI.N1	?r	18267.181	18305.167	18296.741	18294.665	18274.901	17900.839	18301.614	18247.853	18281.572	18243.834	18278.519	17669.372	18282.213	12684.863	18325.412	18356.682	18277.087	18256.083	17954.236	17960.622	18244.510	18315.227	18281.572	18301.161	18256.948	18285.155	18244.323	6242.660	18272.340	18218.638	14217.818	5225.888	9254.500	9253.012	5230.811	9249.208	9247.925	15192.174	17916.942	16927.704	18244.060	18244.135	18276.710	18291.569	18261.950	17930.440	18278.217	18304.373	17913.650	10198.802	18296.401	18263.305	17910.064	17881.895	18276.672	18272.490	18280.215	18289.078	17747.902	18282.251	icfamon.dl.ac.uk	UK	Europe	www.nbi.dk	DK	Europe
UK.DL.AC.N2	EDU.CORNELL.N2	?r	3380.598	3379.695	3359.147	3358.133	3375.255	3367.165	1649.850	3380.562	3380.797	3355.310	2301.692	3362.614	3370.045	3377.652	3381.945	3370.499	3380.424	3376.119	3356.282	3352.097	3374.601	3490.853	3367.452	3381.437	3374.885	3375.445	3379.694	3377.063	3366.211	3379.665	3144.740	2836.769	2837.501	2842.688	2841.524	2835.188	1968.029	3243.978	3356.144	3348.400	3376.110	3369.233	3364.872	2339.099	3363.501	3371.221	3366.571	3351.594	3012.914	3377.876	3381.496	2339.498	3369.337	3371.051	3360.623	3370.969	3378.238	3377.256	3359.521	2327.612	icfamon.dl.ac.uk	UK	Europe	lns62.lns.cornell.edu	EDU	North_America
UK.DL.AC.N2	EDU.NOAO.N1	?r	1852.403	1848.633	1990.500	2064.446	1347.027	1944.755	1346.957	550.048	1944.703	1346.063	1945.749	1501.074	2176.946	2177.679	2150.152	2056.106	1424.555	1428.610	2042.033	2045.383	1002.519	1013.423	2046.604	2045.549	2050.482	2044.937	2041.522	2043.779	2045.947	2046.379	1989.510	1336.782	949.844	1906.005	1937.265	1926.703	1939.519	2020.830	2045.069	2082.079	2045.354	2044.620	1419.147	2045.712	2044.453	1417.200	2046.545	2042.953	1940.283	2042.307	2042.735	2043.535	1415.222	1406.733	2044.422	2041.759	2046.039	2043.900	2045.724	1413.795	icfamon.dl.ac.uk	UK	Europe	ftp.noao.edu	EDU	North_America
UK.DL.AC.N2	EDU.SDSC.N1	?M	2303.388	2302.877	2303.798	2294.579	2295.820	2300.021	2300.451	2303.304	2302.839	1596.139	2303.113	2297.636	2302.185	2303.481	2303.318	2302.543	1596.008	2303.450	2303.806	2303.859	2303.563	2303.157	2302.529	2302.902	2303.519	2303.236	2302.652	1595.274	2302.551	2302.979	2181.591	1940.573	1950.947	1946.675	1948.720	1951.598	1949.776	2220.635	2286.995	2302.800	2301.251	2303.358	2303.962	2303.899	2301.793	2303.954	2303.214	2285.017	2034.603	2301.477	1594.187	2303.852	2302.581	2296.546	2304.090	2296.106	2301.879	2303.957	1595.822	2302.811	icfamon.dl.ac.uk	UK	Europe	multivac.sdsc.edu	EDU	North_America
UK.DL.AC.N2	EDU.SLAC.STANFORD.N1	?B	2462.019	2461.958	2462.052	2449.302	2462.132	2462.001	2460.238	2461.594	2462.132	2461.812	2461.903	2461.658	2461.869	2459.558	2461.778	2462.052	2459.481	2461.890	2460.025	2461.002	2461.648	2461.792	2461.365	2461.772	2462.037	2461.810	2457.051	2461.827	2460.561	2461.544	2319.188	2039.567	2040.408	1818.287	2051.344	2050.702	2049.256	2363.634	2461.817	2461.810	2461.460	2460.352	2456.372	2461.385	2462.258	2462.160	2461.877	2451.585	2157.811	2461.931	2454.666	2461.991	2460.878	2457.063	2458.162	2461.382	2461.927	2461.512	2460.222	2461.646	icfamon.dl.ac.uk	UK	Europe	ping.slac.stanford.edu	EDU	North_America
UK.DL.AC.N2	EDU.STANFORD.N1	?r	2051.281	2051.791	2051.000	2041.717	2046.531	2051.303	2051.457	2051.817	2051.696	2051.872	2051.801	2051.568	2051.444	2051.723	2051.569	2051.075	2051.490	2050.032	2051.519	2051.696	2051.259	2073.002	2050.953	916.810	2053.882	2051.415	2051.044	2050.583	2050.469	2051.253	1983.853	1835.575	1846.180	1830.097	1844.291	1845.914	1649.345	2004.721	2051.565	2050.067	2049.355	2050.305	2050.761	2051.125	484.535	2049.847	2051.331	2048.763	1935.250	2051.410	2050.741	2051.208	2047.226	2049.444	2051.520	2051.103	2051.391	2051.480	2047.470	2051.454	icfamon.dl.ac.uk	UK	Europe	argus.stanford.edu	EDU	North_America
UK.DL.AC.N2	EDU.STSCI.N1	?r	3357.209	3367.630	3365.629	3356.719	3369.136	2326.347	3358.646	3367.454	3367.697	3359.936	2325.485	3367.380	3367.115	2331.473	3369.095	2334.532	3368.985	3366.975	3347.433	1513.294	3349.363	3483.044	3368.134	3343.053	2290.714	1615.658	3329.385	3354.073	2331.049	3340.508	3123.243	1881.122	2737.924	1863.072	2793.684	2815.493	2811.882	3235.610	3256.073	3353.176	3352.820	3358.296	3360.251	3367.453	3331.935	3344.408	3365.692	2327.909	2271.201	3350.967	3352.810	3368.754	2226.869	2172.256	3205.377	3301.416	3373.227	3368.543	3226.432	1196.244	icfamon.dl.ac.uk	UK	Europe	ftp.stsci.edu	EDU	North_America
